horizon,round_trip_cost_bps,n,share_abs_return_ge_cost,share_return_ge_cost,share_return_le_minus_cost,mean_abs_return_bps_when_ge_cost,perfect_direction_mean_net_bps,perfect_direction_positive_net_share
1,0.5,69880,0.006038923869490555,0.0029336004579278764,0.003105323411562679,0.8656304470467389,-0.4921477009253193,0.006038923869490555
1,1.0,69880,0.0011161991986262164,0.0006153405838580423,0.000500858614768174,1.6046696050635407,-0.9921477009253193,0.0011161991986262164
1,2.0,69880,0.00015741270749856898,0.0001001717229536348,5.7240984544934173e-05,3.811240583774143,-1.9921477009253192,0.00015741270749856898
1,3.0,69880,7.155123068116771e-05,4.293073840870063e-05,2.8620492272467087e-05,5.624831247847073,-2.992147700925319,7.155123068116771e-05
1,5.0,69880,2.8620492272467087e-05,1.4310246136233543e-05,1.4310246136233543e-05,8.085894169365115,-4.99214770092532,2.8620492272467087e-05
5,0.5,69784,0.02947667087011349,0.014358592227444686,0.015118078642668807,0.9591201365971195,-0.46279108647707556,0.02947667087011349
5,1.0,69784,0.008483319958729795,0.004284649776453055,0.0041986701822767395,1.5932884329069579,-0.9627910864770755,0.008483319958729795
5,2.0,69784,0.0010747449272039437,0.0005588673621460507,0.0005158775650578929,3.452495419392114,-1.9627910864770755,0.0010747449272039437
5,3.0,69784,0.00045855783560701593,0.00024360885016622722,0.00021494898544078872,4.756397474263569,-2.9627910864770755,0.00045855783560701593
5,5.0,69784,0.00012896939126447323,8.597959417631549e-05,4.2989797088157744e-05,7.999238477873884,-4.9627910864770755,0.00012896939126447323
10,0.5,69664,0.057404111162149746,0.02800585668350942,0.02939825447864033,1.0032242754307372,-0.42731523018439294,0.057404111162149746
10,1.0,69664,0.018416972898484152,0.009100826825907212,0.00931614607257694,1.6284935705882158,-0.9273152301843929,0.018416972898484152
10,2.0,69664,0.002756086357372531,0.0014354616444648598,0.001320624712907671,3.2565570536327115,-1.9273152301843925,0.002756086357372531
10,3.0,69664,0.0011483693155718878,0.0006028938906752412,0.0005454754248966467,4.411159726763356,-2.9273152301843925,0.0011483693155718878
10,5.0,69664,0.0002727377124483234,0.0001579007808911346,0.00011483693155718879,7.517522871142741,-4.9273152301843925,0.0002727377124483234
20,0.5,69424,0.10977471767688407,0.05361258354459553,0.056162134132288544,1.0591347820104202,-0.35952240434992594,0.10977471767688407
20,1.0,69424,0.03955404471076285,0.019805830836598294,0.019748213874164554,1.6793216093971932,-0.8595224043499259,0.03955404471076285
20,2.0,69424,0.006899631251440424,0.003615464392717216,0.0032841668587232082,3.219153131711035,-1.8595224043499259,0.006899631251440424
20,3.0,69424,0.002938465084120765,0.0013107858953675961,0.0016276791887531688,4.263713080439014,-2.859522404349926,0.002938465084120765
20,5.0,69424,0.000576169624337405,0.00031689329338557273,0.0002592763309518322,7.596812136634907,-4.859522404349926,0.000576169624337405
50,0.5,68704,0.245167675826735,0.11802806241266885,0.12713961341406613,1.168843835531811,-0.17593253790159408,0.245167675826735
50,1.0,68704,0.10765020959478341,0.05458197484862599,0.053068234746157426,1.7478528399409623,-0.675932537901594,0.10765020959478341
50,2.0,68704,0.022851653469958082,0.011309385188635305,0.011542268281322775,3.1522776484517223,-1.6759325379015941,0.022851653469958082
50,3.0,68704,0.009053330228225432,0.004613996273870517,0.004439333954354914,4.323268752292679,-2.675932537901594,0.009053330228225432
50,5.0,68704,0.001644736842105263,0.0009315323707498836,0.0007132044713553796,7.976034101850921,-4.675932537901594,0.001644736842105263
100,0.5,67504,0.39725053330173027,0.19192936714861342,0.20532116615311685,1.3385213388624428,0.07972761874990734,0.39725053330173027
100,1.0,67504,0.20503970135103106,0.09857193647783835,0.1064677648731927,1.90785296375376,-0.4202723812500926,0.20503970135103106
100,2.0,67504,0.06090009480919649,0.030650035553448685,0.030250059255747808,3.136107480581501,-1.4202723812500926,0.06090009480919649
100,3.0,67504,0.023302322825314057,0.011066010903057597,0.012236311922256458,4.350871404667817,-2.420272381250093,0.023302322825314057
100,5.0,67504,0.003614600616259777,0.002044323299360038,0.0015702773168997392,8.259847659310951,-4.420272381250093,0.003614600616259777
