deadzone_type,horizon,dead_zone_bps,total_rows,up_count,down_count,flat_count,unknown_count,nonflat_count,up_share_total,down_share_total,flat_share_total,unknown_share_total,nonflat_share_total,up_share_nonflat,mean_abs_return_bps_nonflat,median_abs_return_bps_nonflat
bps,1,0.0,69904,659,663,68558,24,1322,0.009427214465552758,0.009484435797665369,0.9807450217441062,0.0003433279926756695,0.018911650263218126,0.49848714069591527,0.415067064552716,0.3354466633925801
bps,1,0.25,69904,380,386,69114,24,766,0.0054360265506981,0.005521858548867018,0.9886987869077593,0.0003433279926756695,0.010957885099565117,0.4960835509138381,0.6457877749099812,0.528660614320664
bps,1,0.5,69904,205,217,69458,24,422,0.0029325932707713435,0.003104257267109178,0.9936198214694438,0.0003433279926756695,0.006036850537880522,0.48578199052132703,0.8656304470467389,0.719049288120388
bps,1,1.0,69904,43,35,69802,24,78,0.0006151293202105745,0.0005006866559853513,0.9985408560311284,0.0003433279926756695,0.0011158159761959258,0.5512820512820513,1.6046696050635407,1.2319874904159756
bps,1,2.0,69904,7,4,69869,24,11,0.00010013733119707026,5.722133211261158e-05,0.9994993133440147,0.0003433279926756695,0.00015735866330968186,0.6363636363636364,3.811240583774143,2.6194923775157974
bps,1,3.0,69904,3,2,69875,24,5,4.291599908445869e-05,2.861066605630579e-05,0.9995851453421836,0.0003433279926756695,7.152666514076448e-05,0.6,5.624831247847073,4.688730592090629
bps,1,5.0,69904,1,1,69878,24,2,1.4305333028152895e-05,1.4305333028152895e-05,0.999628061341268,0.0003433279926756695,2.861066605630579e-05,0.5,8.085894169365115,8.085894169365115
bps,5,0.0,69904,2512,2517,64755,120,5029,0.03593499656672007,0.036006523231860835,0.9263418402380408,0.0017166399633783474,0.0719415197985809,0.49950288327699344,0.5163226926394427,0.4000150405658598
bps,5,0.25,69904,1635,1626,66523,120,3261,0.023389219501029984,0.02326047150377661,0.951633669031815,0.0017166399633783474,0.04664969100480659,0.5013799448022079,0.7449087196404526,0.5926614101325889
bps,5,0.5,69904,1002,1055,67727,120,2057,0.0143339436942092,0.015092126344701305,0.9688572899977111,0.0017166399633783474,0.029426070038910505,0.48711716091395235,0.9591201365971195,0.783411501279474
bps,5,1.0,69904,299,293,69192,120,592,0.004277294575417716,0.004191462577248798,0.9898146028839552,0.0017166399633783474,0.008468757152666513,0.5050675675675675,1.5932884329069579,1.311195450470759
bps,5,2.0,69904,39,36,69709,120,75,0.0005579079880979629,0.0005149919890135042,0.9972104600595102,0.0017166399633783474,0.0010728999771114672,0.52,3.452495419392114,2.8988608993962828
bps,5,3.0,69904,17,15,69752,120,32,0.00024319066147859923,0.00021457999542229343,0.9978255893797208,0.0017166399633783474,0.00045777065690089265,0.53125,4.756397474263569,3.5180158390657468
bps,5,5.0,69904,6,3,69775,120,9,8.583199816891738e-05,4.291599908445869e-05,0.9981546120393683,0.0017166399633783474,0.00012874799725337606,0.6666666666666666,7.999238477873884,7.736269919096372
bps,10,0.0,69904,4475,4446,60743,240,8921,0.0640163653009842,0.06360151064316777,0.8689488441290913,0.003433279926756695,0.12761787594415197,0.5016253783208161,0.567594642353374,0.4475470823539496
bps,10,0.25,69904,3055,2974,63635,240,6029,0.04370279240100709,0.04254406042572671,0.9103198672465095,0.003433279926756695,0.0862468528267338,0.5067175319290098,0.7936897748926782,0.6391915505266077
bps,10,0.5,69904,1951,2048,65665,240,3999,0.0279097047379263,0.02929732204165713,0.9393596932936599,0.003433279926756695,0.05720702677958343,0.487871967991998,1.0032242754307372,0.8153653196352195
bps,10,1.0,69904,634,649,68381,240,1283,0.009069581139848936,0.009284161135271229,0.9782129777981231,0.003433279926756695,0.018353742275120166,0.49415432579890883,1.6284935705882158,1.3431221353721323
bps,10,2.0,69904,100,92,69472,240,192,0.0014305333028152894,0.0013160906385900665,0.993820096131838,0.003433279926756695,0.002746623941405356,0.5208333333333334,3.2565570536327115,2.722738729210583
bps,10,3.0,69904,42,38,69584,240,80,0.0006008239871824216,0.00054360265506981,0.9954222934309911,0.003433279926756695,0.0011444266422522317,0.525,4.411159726763356,3.434096101981865
bps,10,5.0,69904,11,8,69645,240,19,0.00015735866330968186,0.00011444266422522316,0.9962949187457084,0.003433279926756695,0.000271801327534905,0.5789473684210527,7.517522871142741,6.985020567449318
bps,20,0.0,69904,7697,7694,54033,480,15391,0.11010814831769283,0.11006523231860837,0.7729600595101854,0.00686655985351339,0.2201733806363012,0.500097459554285,0.633650614021879,0.49625527371310874
bps,20,0.25,69904,5515,5371,58538,480,10886,0.07889391165026322,0.0768339436942092,0.8374055848020142,0.00686655985351339,0.15572785534447242,0.5066139996325556,0.8562656759213007,0.6563155698413592
