regime,horizon_events,dead_zone_bps,n_observations,up_share,down_share,flat_share,nonflat_share
Saturday Day 25,10,0.5,69664,0.02800585668350942,0.02939825447864033,0.9425958888378503,0.057404111162149746
Saturday Day 25,10,1.0,69664,0.009100826825907212,0.00931614607257694,0.9815830271015158,0.018416972898484152
Saturday Day 25,10,2.0,69664,0.0014354616444648598,0.001320624712907671,0.9972439136426274,0.002756086357372531
Saturday Day 25,20,0.5,69424,0.05361258354459553,0.056162134132288544,0.8902252823231159,0.10977471767688407
Saturday Day 25,20,1.0,69424,0.019805830836598294,0.019748213874164554,0.9604459552892372,0.03955404471076285
Saturday Day 25,20,2.0,69424,0.003615464392717216,0.0032841668587232082,0.9931003687485596,0.006899631251440424
Saturday Day 25,50,0.5,68704,0.11802806241266885,0.12713961341406613,0.7548323241732651,0.245167675826735
Saturday Day 25,50,1.0,68704,0.05458197484862599,0.053068234746157426,0.8923497904052166,0.10765020959478341
Saturday Day 25,50,2.0,68704,0.011309385188635305,0.011542268281322775,0.9771483465300419,0.02285165346995808
Saturday Day 25,100,0.5,67504,0.19192936714861342,0.20532116615311685,0.6027494666982698,0.39725053330173027
Saturday Day 25,100,1.0,67504,0.09857193647783835,0.1064677648731927,0.794960298648969,0.20503970135103106
Saturday Day 25,100,2.0,67504,0.030650035553448685,0.030250059255747808,0.9390999051908036,0.06090009480919649
Tuesday Day 28,10,0.5,104423,0.22951840111852753,0.2231213429991477,0.5473602558823247,0.45263974411767527
Tuesday Day 28,10,1.0,104423,0.1374505616578723,0.1290999109391609,0.7334495274029668,0.26655047259703324
Tuesday Day 28,10,2.0,104423,0.043046072225467566,0.03910058128956265,0.9178533464849697,0.08214665351503021
Tuesday Day 28,20,0.5,104063,0.31337747326138976,0.30111567031509756,0.3855068564235127,0.6144931435764873
Tuesday Day 28,20,1.0,104063,0.21479296195573835,0.20377079269288798,0.5814362453513737,0.41856375464862633
Tuesday Day 28,20,2.0,104063,0.09538452668095289,0.08761038985998866,0.8170050834590584,0.18299491654094155
Tuesday Day 28,50,0.5,102983,0.40614470349475157,0.37997533573502423,0.21387996077022423,0.7861200392297758
Tuesday Day 28,50,1.0,102983,0.3253352495072002,0.3019333288018411,0.3727314216909587,0.6272685783090413
Tuesday Day 28,50,2.0,102983,0.20263538642300186,0.1792723070798093,0.6180923064971888,0.3819076935028112
Tuesday Day 28,100,0.5,101183,0.46587865550537144,0.40535465443799845,0.12876669005663008,0.8712333099433699
Tuesday Day 28,100,1.0,101183,0.40478143561665497,0.3477560459761027,0.24746251840724232,0.7525374815927577
Tuesday Day 28,100,2.0,101183,0.29812320251425634,0.24392437464791517,0.4579524228378285,0.5420475771621716
Wednesday Day 29,10,0.5,104578,0.16578056570215532,0.16961502419246877,0.6646044101053759,0.3353955898946241
Wednesday Day 29,10,1.0,104578,0.08445370919313813,0.08419552869628412,0.8313507621105778,0.16864923788942227
Wednesday Day 29,10,2.0,104578,0.022624261316911778,0.020271950123352905,0.9571037885597353,0.04289621144026468
Wednesday Day 29,20,0.5,104218,0.24412289623673453,0.25037901322228406,0.5054980905409814,0.4945019094590186
Wednesday Day 29,20,1.0,104218,0.1433725460093266,0.14817018173444127,0.7084572722562321,0.2915427277437679
Wednesday Day 29,20,2.0,104218,0.05343606670632712,0.049866625726841814,0.8966973075668311,0.10330269243316893
Wednesday Day 29,50,0.5,103138,0.3405728247590607,0.34824216098819055,0.31118501425274875,0.6888149857472512
Wednesday Day 29,50,1.0,103138,0.24926797106788962,0.25659795613643854,0.49413407279567184,0.5058659272043282
Wednesday Day 29,50,2.0,103138,0.1266458531288177,0.12966123058426574,0.7436929162869166,0.2563070837130834
Wednesday Day 29,100,0.5,101338,0.3951429868361325,0.4048925378436519,0.19996447532021552,0.8000355246797844
Wednesday Day 29,100,1.0,101338,0.32554421835836506,0.33121829915727563,0.34323748248435926,0.6567625175156406
Wednesday Day 29,100,2.0,101338,0.1998657956541475,0.21257573664370719,0.5875584677021453,0.4124415322978547
Thursday Day 30,10,0.5,98666,0.14157865931526564,0.14139622565017332,0.717025115034561,0.282974884965439
Thursday Day 30,10,1.0,98666,0.07416942006364907,0.07383495834431314,0.8519956215920378,0.1480043784079622
Thursday Day 30,10,2.0,98666,0.016327813025763686,0.017229846147609106,0.9664423408266272,0.03355765917337279
Thursday Day 30,20,0.5,98326,0.2226674531659988,0.2231861359152208,0.5541464109187804,0.44585358908121964
Thursday Day 30,20,1.0,98326,0.13524398429713402,0.13286414580070377,0.7318918699021622,0.2681081300978378
Thursday Day 30,20,2.0,98326,0.04005044443992433,0.042715049935927424,0.9172345056241482,0.08276549437585176
Thursday Day 30,50,0.5,97306,0.3297021766386451,0.3282017552874437,0.3420960680739112,0.6579039319260889
Thursday Day 30,50,1.0,97306,0.23861837913386635,0.23364437958604814,0.5277372412800855,0.4722627587199145
Thursday Day 30,50,2.0,97306,0.10720818860090847,0.11007543214190287,0.7827163792571886,0.21728362074281132
Thursday Day 30,100,0.5,95606,0.39129343346651885,0.3954772713009644,0.2132292952325168,0.7867707047674832
Thursday Day 30,100,1.0,95606,0.31369370123214024,0.3119364893416731,0.37436980942618664,0.6256301905738133
Thursday Day 30,100,2.0,95606,0.1796958349894358,0.1883668389013242,0.63193732610924,0.36806267389076
