regime,horizon_events,round_trip_cost_bps,mean_abs_return_bps,perfect_direction_mean_net_bps,share_moves_covering_cost
Saturday Day 25,10,0.5,0.07268476981560704,-0.427315230184393,0.057404111162149746
Saturday Day 25,10,1.0,0.07268476981560704,-0.927315230184393,0.018416972898484152
Saturday Day 25,10,2.0,0.07268476981560704,-1.927315230184393,0.002756086357372531
Saturday Day 25,10,3.0,0.07268476981560704,-2.927315230184393,0.0011483693155718878
Saturday Day 25,10,5.0,0.07268476981560704,-4.9273152301843925,0.0002727377124483234
Saturday Day 25,20,0.5,0.14047759565007406,-0.35952240434992594,0.10977471767688407
Saturday Day 25,20,1.0,0.14047759565007406,-0.8595224043499259,0.03955404471076285
Saturday Day 25,20,2.0,0.14047759565007406,-1.8595224043499259,0.006899631251440424
Saturday Day 25,20,3.0,0.14047759565007406,-2.859522404349926,0.002938465084120765
Saturday Day 25,20,5.0,0.14047759565007406,-4.859522404349926,0.000576169624337405
Saturday Day 25,50,0.5,0.324067462098406,-0.17593253790159402,0.245167675826735
Saturday Day 25,50,1.0,0.324067462098406,-0.675932537901594,0.10765020959478341
Saturday Day 25,50,2.0,0.324067462098406,-1.675932537901594,0.022851653469958082
Saturday Day 25,50,3.0,0.324067462098406,-2.675932537901594,0.009053330228225432
Saturday Day 25,50,5.0,0.324067462098406,-4.675932537901594,0.001644736842105263
Saturday Day 25,100,0.5,0.5797276187499074,0.07972761874990741,0.39725053330173027
Saturday Day 25,100,1.0,0.5797276187499074,-0.4202723812500926,0.20503970135103106
Saturday Day 25,100,2.0,0.5797276187499074,-1.4202723812500926,0.06090009480919649
Saturday Day 25,100,3.0,0.5797276187499074,-2.4202723812500926,0.023302322825314057
Saturday Day 25,100,5.0,0.5797276187499074,-4.420272381250093,0.003614600616259777
Tuesday Day 28,10,0.5,0.6859317044442557,0.18593170444425566,0.4526397441176752
Tuesday Day 28,10,1.0,0.6859317044442557,-0.31406829555574434,0.26655047259703324
Tuesday Day 28,10,2.0,0.6859317044442557,-1.3140682955557443,0.08214665351503021
Tuesday Day 28,10,3.0,0.6859317044442557,-2.314068295555744,0.02741733143081505
Tuesday Day 28,10,5.0,0.6859317044442557,-4.314068295555744,0.0038593030271108857
Tuesday Day 28,20,0.5,1.1201889207280171,0.6201889207280171,0.6144931435764873
Tuesday Day 28,20,1.0,1.1201889207280171,0.12018892072801712,0.41856375464862633
Tuesday Day 28,20,2.0,1.1201889207280171,-0.8798110792719829,0.18299491654094155
Tuesday Day 28,20,3.0,1.1201889207280171,-1.8798110792719829,0.07762605344839184
Tuesday Day 28,20,5.0,1.1201889207280171,-3.879811079271983,0.014616145988487744
Tuesday Day 28,50,0.5,1.9799471041364587,1.4799471041364587,0.7861200392297758
Tuesday Day 28,50,1.0,1.9799471041364587,0.9799471041364587,0.6272685783090413
Tuesday Day 28,50,2.0,1.9799471041364587,-0.02005289586354131,0.3819076935028111
Tuesday Day 28,50,3.0,1.9799471041364587,-1.0200528958635413,0.21957993066816853
Tuesday Day 28,50,5.0,1.9799471041364587,-3.0200528958635413,0.07094374799724226
Tuesday Day 28,100,0.5,2.9216297488346923,2.4216297488346923,0.8712333099433699
Tuesday Day 28,100,1.0,2.9216297488346923,1.9216297488346923,0.7525374815927577
Tuesday Day 28,100,2.0,2.9216297488346923,0.9216297488346923,0.5420475771621716
Tuesday Day 28,100,3.0,2.9216297488346923,-0.07837025116530771,0.3740746963422709
Tuesday Day 28,100,5.0,2.9216297488346923,-2.0783702511653077,0.16910943537946097
Wednesday Day 29,10,0.5,0.4583281898370573,-0.04167181016294269,0.3353955898946241
Wednesday Day 29,10,1.0,0.4583281898370573,-0.5416718101629427,0.16864923788942224
Wednesday Day 29,10,2.0,0.4583281898370573,-1.5416718101629427,0.04289621144026468
Wednesday Day 29,10,3.0,0.4583281898370573,-2.5416718101629425,0.011417315305322343
Wednesday Day 29,10,5.0,0.4583281898370573,-4.541671810162943,0.001969821568589952
Wednesday Day 29,20,0.5,0.7715292085954345,0.2715292085954345,0.4945019094590186
Wednesday Day 29,20,1.0,0.7715292085954345,-0.2284707914045655,0.2915427277437679
Wednesday Day 29,20,2.0,0.7715292085954345,-1.2284707914045656,0.10330269243316893
Wednesday Day 29,20,3.0,0.7715292085954345,-2.2284707914045656,0.035732790880654015
Wednesday Day 29,20,5.0,0.7715292085954345,-4.228470791404566,0.00556525744113301
Wednesday Day 29,50,0.5,1.4099887496995245,0.9099887496995245,0.6888149857472513
Wednesday Day 29,50,1.0,1.4099887496995245,0.4099887496995245,0.5058659272043282
Wednesday Day 29,50,2.0,1.4099887496995245,-0.5900112503004755,0.2563070837130834
Wednesday Day 29,50,3.0,1.4099887496995245,-1.5900112503004755,0.12221489654637475
Wednesday Day 29,50,5.0,1.4099887496995245,-3.5900112503004755,0.027720141945742596
Wednesday Day 29,100,0.5,2.1227339793389604,1.6227339793389604,0.8000355246797844
Wednesday Day 29,100,1.0,2.1227339793389604,1.1227339793389604,0.6567625175156407
Wednesday Day 29,100,2.0,2.1227339793389604,0.12273397933896035,0.4124415322978547
Wednesday Day 29,100,3.0,2.1227339793389604,-0.8772660206610396,0.24616629497325782
Wednesday Day 29,100,5.0,2.1227339793389604,-2.8772660206610396,0.0826442203319584
Thursday Day 30,10,0.5,0.3839327634453091,-0.11606723655469092,0.28297488496543893
Thursday Day 30,10,1.0,0.3839327634453091,-0.6160672365546909,0.1480043784079622
Thursday Day 30,10,2.0,0.3839327634453091,-1.6160672365546909,0.03355765917337279
Thursday Day 30,10,3.0,0.3839327634453091,-2.616067236554691,0.009375063345022602
Thursday Day 30,10,5.0,0.3839327634453091,-4.616067236554691,0.0013378468773437657
Thursday Day 30,20,0.5,0.6719194768908316,0.17191947689083165,0.44585358908121964
Thursday Day 30,20,1.0,0.6719194768908316,-0.32808052310916835,0.2681081300978378
Thursday Day 30,20,2.0,0.6719194768908316,-1.3280805231091684,0.08276549437585176
Thursday Day 30,20,3.0,0.6719194768908316,-2.3280805231091684,0.025110347212334478
Thursday Day 30,20,5.0,0.6719194768908316,-4.328080523109168,0.004027418993958871
Thursday Day 30,50,0.5,1.2491316301077937,0.7491316301077937,0.6579039319260889
Thursday Day 30,50,1.0,1.2491316301077937,0.2491316301077937,0.4722627587199145
Thursday Day 30,50,2.0,1.2491316301077937,-0.7508683698922063,0.21728362074281135
Thursday Day 30,50,3.0,1.2491316301077937,-1.7508683698922063,0.0921012065031961
Thursday Day 30,50,5.0,1.2491316301077937,-3.7508683698922063,0.018333915688652294
Thursday Day 30,100,0.5,1.8963219774919526,1.3963219774919526,0.7867707047674832
Thursday Day 30,100,1.0,1.8963219774919526,0.8963219774919526,0.6256301905738133
Thursday Day 30,100,2.0,1.8963219774919526,-0.10367802250804736,0.36806267389076
Thursday Day 30,100,3.0,1.8963219774919526,-1.1036780225080474,0.2024454532142334
Thursday Day 30,100,5.0,1.8963219774919526,-3.1036780225080474,0.05738133589942054
