collection_batch,regime,run_name,horizon_events,n_observations,mean_return_bps,mean_abs_return_bps,median_abs_return_bps,share_abs_return_ge_0_5bps,share_abs_return_ge_1_0bps,share_abs_return_ge_2_0bps
fresh_trades_large_day25,Saturday Day 25,20260704_125643,10,2902,-0.011787902495984588,0.061951872452216054,0.0,0.04755341144038594,0.025499655410062026,0.0
fresh_trades_large_day25,Saturday Day 25,20260704_125643,20,2892,-0.023656939375524804,0.12308279813618435,0.0,0.0995850622406639,0.05532503457814661,0.0
fresh_trades_large_day25,Saturday Day 25,20260704_125643,50,2862,-0.05976071780429389,0.29843358572487577,0.0,0.24283717679944095,0.14709993011879804,0.0
fresh_trades_large_day25,Saturday Day 25,20260704_125643,100,2812,-0.12164679877088547,0.5400369529766862,0.0,0.41287339971550496,0.2592460881934566,0.006756756756756757
fresh_trades_large_day25,Saturday Day 25,20260704_130157,10,2903,-0.009309616291431696,0.03587176282856935,0.0,0.028591112642094386,0.012400964519462624,0.0
fresh_trades_large_day25,Saturday Day 25,20260704_130157,20,2893,-0.018683256422955572,0.07193600296342834,0.0,0.056688558589699276,0.029381265122709988,0.0
fresh_trades_large_day25,Saturday Day 25,20260704_130157,50,2863,-0.04719537429011163,0.1792919110247229,0.0,0.13272790778903248,0.07404820118756548,0.011875654907439748
fresh_trades_large_day25,Saturday Day 25,20260704_130157,100,2813,-0.09606663110979169,0.34474331203306163,0.0,0.2580874511198009,0.13544258798435835,0.029861357980803412
fresh_trades_large_day25,Saturday Day 25,20260704_130711,10,2902,-0.013724713145147355,0.03875592759758609,0.0,0.03859407305306685,0.009648518263266712,0.0
fresh_trades_large_day25,Saturday Day 25,20260704_130711,20,2892,-0.02754425349087711,0.07777984938273554,0.0,0.07676348547717843,0.020055325034578148,0.0
fresh_trades_large_day25,Saturday Day 25,20260704_130711,50,2862,-0.06958230578256885,0.19648784227323612,0.0,0.1928721174004193,0.0517120894479385,0.0
fresh_trades_large_day25,Saturday Day 25,20260704_130711,100,2812,-0.15260743584582193,0.3423043118150898,0.01600157455428075,0.32574679943101,0.08179231863442389,0.0
fresh_trades_large_day25,Saturday Day 25,20260704_131225,10,2902,-0.003912084685372862,0.05628821447843086,0.0,0.046519641626464506,0.021364576154376293,0.002067539627842867
fresh_trades_large_day25,Saturday Day 25,20260704_131225,20,2892,-0.007850636240535017,0.1129541931543226,0.0,0.08852005532503458,0.046680497925311204,0.005532503457814661
fresh_trades_large_day25,Saturday Day 25,20260704_131225,50,2862,-0.015152646897382873,0.2566002338276442,0.0,0.1904262753319357,0.10866526904262754,0.026554856743535988
fresh_trades_large_day25,Saturday Day 25,20260704_131225,100,2812,-0.02678657283773235,0.45787214853168284,0.04799865603866138,0.30014224751066854,0.17425320056899005,0.08534850640113797
fresh_trades_large_day25,Saturday Day 25,20260704_131740,10,2903,0.02501014072920834,0.04415344149361997,0.0,0.03685842232173613,0.0058560110230795725,0.0013778849466069584
fresh_trades_large_day25,Saturday Day 25,20260704_131740,20,2893,0.049148631438465845,0.08207471952204881,0.0,0.06844106463878327,0.00967853439336329,0.004839267196681645
fresh_trades_large_day25,Saturday Day 25,20260704_131740,50,2863,0.13045065842180717,0.18961012220172824,0.0,0.14634998253580161,0.04121550820817325,0.015368494586098498
fresh_trades_large_day25,Saturday Day 25,20260704_131740,100,2813,0.2681262026607929,0.3640529218900821,0.06396576552214484,0.3114113046569499,0.1226448631354426,0.03341628154994668
fresh_trades_large_day25,Saturday Day 25,20260704_132254,10,2903,0.0012132078578328185,0.03916503785088461,0.0,0.028935583878746125,0.00792283844299001,0.0
fresh_trades_large_day25,Saturday Day 25,20260704_132254,20,2893,0.0024347654212182653,0.07632914143743759,0.0,0.056688558589699276,0.014863463532665053,0.0
fresh_trades_large_day25,Saturday Day 25,20260704_132254,50,2863,0.006150871368125363,0.18378409840395268,0.0,0.13168005588543485,0.050646175340551866,0.0
fresh_trades_large_day25,Saturday Day 25,20260704_132254,100,2813,0.010246959320860432,0.34778702533365285,0.1598755528697815,0.23746889441877,0.11624600071098472,0.0
fresh_trades_large_day25,Saturday Day 25,20260704_132808,10,2903,0.00170898966606241,0.04247188986388481,0.0,0.027213227695487428,0.003444712366517396,0.003100241129865656
fresh_trades_large_day25,Saturday Day 25,20260704_132808,20,2893,0.002302385928810553,0.08119075719800002,0.0,0.055305910819218804,0.0069132388524023505,0.006567576909782233
fresh_trades_large_day25,Saturday Day 25,20260704_132808,50,2863,0.00024860388299327026,0.1935021612217647,0.0,0.13901501921061823,0.01746419839329375,0.017114914425427872
fresh_trades_large_day25,Saturday Day 25,20260704_132808,100,2813,-0.006916048808676689,0.3606946093788839,0.2877976207127375,0.2726626377532883,0.0391041592605759,0.03519374333451831
fresh_trades_large_day25,Saturday Day 25,20260704_133321,10,2902,0.02988106271182107,0.0977645610896273,0.0,0.07133011716057891,0.02343211578221916,0.0
fresh_trades_large_day25,Saturday Day 25,20260704_133321,20,2892,0.05728730896362477,0.181910246694805,0.0,0.14142461964038727,0.051175656984785614,0.0
fresh_trades_large_day25,Saturday Day 25,20260704_133321,50,2862,0.13831115044699663,0.4041887890542393,0.07991222441328105,0.33647798742138363,0.15024458420684836,0.005241090146750524
fresh_trades_large_day25,Saturday Day 25,20260704_133321,100,2812,0.26612939458750856,0.7569831406413677,0.6552320680164314,0.5739687055476529,0.2930298719772404,0.08570412517780938
fresh_trades_large_day25,Saturday Day 25,20260704_133834,10,2903,-0.014446135453628323,0.22031358200086346,0.0,0.13882190837065106,0.0644161212538753,0.016879090595935238
fresh_trades_large_day25,Saturday Day 25,20260704_133834,20,2893,-0.028991068164695783,0.3916472158203999,0.0,0.22709989630141722,0.10680954026961631,0.038368475630833045
fresh_trades_large_day25,Saturday Day 25,20260704_133834,50,2863,-0.07323428098857226,0.7835822850527743,0.20782758623383302,0.41215508208173246,0.21411107230178134,0.08347886831994411
fresh_trades_large_day25,Saturday Day 25,20260704_133834,100,2813,-0.14902533972101853,1.4030862585836765,0.6235216342020955,0.5719872022751511,0.3977959473871312,0.17632420902950588
fresh_trades_large_day25,Saturday Day 25,20260704_134349,10,2902,0.03484784288105586,0.060660681023473995,0.0,0.04031702274293591,0.010337698139214336,0.0031013094417643005
fresh_trades_large_day25,Saturday Day 25,20260704_134349,20,2892,0.06904248896026217,0.11599623217144506,0.0,0.08402489626556017,0.02074688796680498,0.00656984785615491
fresh_trades_large_day25,Saturday Day 25,20260704_134349,50,2862,0.16274594616332091,0.26547656678052517,0.0,0.20754716981132076,0.06638714185883997,0.014675052410901468
fresh_trades_large_day25,Saturday Day 25,20260704_134349,100,2812,0.28187440908331385,0.4372423628077936,0.1118293930779668,0.3616642958748222,0.13833570412517782,0.014935988620199146
fresh_trades_large_day25,Saturday Day 25,20260704_134903,10,2902,0.007650538295390097,0.04195788965534729,0.0,0.042729152308752585,0.00034458993797381116,0.0
fresh_trades_large_day25,Saturday Day 25,20260704_134903,20,2892,0.013266499745676478,0.07916944216982191,0.0,0.08125864453665284,0.0038035961272475795,0.0
fresh_trades_large_day25,Saturday Day 25,20260704_134903,50,2862,0.02964676558579962,0.18862536378881284,0.0,0.19252271139063593,0.016771488469601678,0.0
fresh_trades_large_day25,Saturday Day 25,20260704_134903,100,2812,0.056445249152961924,0.3437392896583655,0.2395509856323308,0.35917496443812236,0.06294452347083926,0.0
