regime,horizon_events,n_observations,mean_return_bps,mean_abs_return_bps,median_abs_return_bps,p90_abs_return_bps,p95_abs_return_bps,share_abs_return_ge_0_5bps,share_abs_return_ge_1_0bps,share_abs_return_ge_2_0bps,share_abs_return_ge_3_0bps,share_abs_return_ge_5_0bps
Saturday Day 25,10,69664,7.157043955791784e-05,0.07268476981560704,0.0,0.12803984600018303,0.5758760714713596,0.057404111162149746,0.018416972898484152,0.002756086357372531,0.0011483693155718878,0.0002727377124483234
Saturday Day 25,20,69424,-4.413633102620522e-05,0.14047759565007406,0.0,0.5596440663735436,0.8965113700853955,0.10977471767688407,0.03955404471076285,0.006899631251440424,0.002938465084120765,0.000576169624337405
Saturday Day 25,50,68704,-0.001065305212331343,0.324067462098406,0.0,1.0550639472661771,1.456700381543552,0.245167675826735,0.10765020959478341,0.022851653469958082,0.009053330228225432,0.001644736842105263
Saturday Day 25,100,67504,-0.006562628237923697,0.5797276187499074,0.2242696618415252,1.5839987328014615,2.2216521579987436,0.39725053330173027,0.20503970135103106,0.06090009480919649,0.023302322825314057,0.003614600616259777
Tuesday Day 28,10,104423,0.020961214592678,0.6859317044442557,0.3796732437144623,1.8209713586276883,2.462194177574425,0.4526397441176752,0.26655047259703324,0.08214665351503021,0.02741733143081505,0.0038593030271108857
Tuesday Day 28,20,104063,0.04317719890241067,1.1201889207280171,0.7778759383125777,2.7149015249259283,3.505212457874495,0.6144931435764873,0.41856375464862633,0.18299491654094155,0.07762605344839184,0.014616145988487744
Tuesday Day 28,50,102983,0.11387856214298274,1.9799471041364587,1.4846081298702796,4.385260143289216,5.617118088925288,0.7861200392297758,0.6272685783090413,0.3819076935028111,0.21957993066816853,0.07094374799724226
Tuesday Day 28,100,101183,0.2489652984363845,2.9216297488346923,2.2329308554080995,6.280489471977013,8.001669098163244,0.8712333099433699,0.7525374815927577,0.5420475771621716,0.3740746963422709,0.16910943537946097
Wednesday Day 29,10,104578,0.0011860978556391267,0.4583281898370573,0.0,1.3868985819184276,1.8805174363667454,0.3353955898946241,0.16864923788942224,0.04289621144026468,0.011417315305322343,0.001969821568589952
Wednesday Day 29,20,104218,0.0016354263664457543,0.7715292085954345,0.48520567464183095,2.0308610286634554,2.678869401094685,0.4945019094590186,0.2915427277437679,0.10330269243316893,0.035732790880654015,0.00556525744113301
Wednesday Day 29,50,103138,0.0052041664880904046,1.4099887496995245,1.0173342454877776,3.253466925109416,4.181739361387438,0.6888149857472513,0.5058659272043282,0.2563070837130834,0.12221489654637475,0.027720141945742596
Wednesday Day 29,100,101338,0.018477695181784534,2.1227339793389604,1.5669866604195448,4.668214689583783,5.879899409986233,0.8000355246797844,0.6567625175156407,0.4124415322978547,0.24616629497325782,0.0826442203319584
Thursday Day 30,10,98666,-0.0019972417628013237,0.3839327634453091,0.0,1.272122002861087,1.7361843923402454,0.28297488496543893,0.1480043784079622,0.03355765917337279,0.009375063345022602,0.0013378468773437657
Thursday Day 30,20,98326,-0.004964743323802338,0.6719194768908316,0.33472883377960727,1.8535607773861873,2.389244576614935,0.44585358908121964,0.2681081300978378,0.08276549437585176,0.025110347212334478,0.004027418993958871
Thursday Day 30,50,97306,-0.013051312317341896,1.2491316301077937,0.9220978361701437,2.878011278306669,3.7158162767036984,0.6579039319260889,0.4722627587199145,0.21728362074281135,0.0921012065031961,0.018333915688652294
Thursday Day 30,100,95606,-0.02605423265715762,1.8963219774919526,1.4263040579143293,4.211319231506305,5.216620981471909,0.7867707047674832,0.6256301905738133,0.36806267389076,0.2024454532142334,0.05738133589942054
