model_name,feature_set,horizon_events,split,n_observations,up_share,accuracy,balanced_accuracy,precision_up,recall_up,precision_down,recall_down,roc_auc
majority_baseline,none,50,validation,52174,0.49275501207497985,0.49275501207497985,0.5,0.49275501207497985,1.0,0.0,0.0,0.5
majority_baseline,none,50,test,45954,0.5052661357009183,0.5052661357009183,0.5,0.5052661357009183,1.0,0.0,0.0,0.5
logit_book_only,book_only,50,validation,52174,0.49275501207497985,0.5859048568252386,0.5861387340678659,0.5763847528290649,0.6022793574234704,0.5960094824180165,0.5699981107122615,0.6192512842861283
logit_book_only,book_only,50,test,45954,0.5052661357009183,0.5847151499325413,0.5842473184424157,0.5825052875214494,0.6286661785606615,0.5873653984206748,0.5398284583241698,0.6226942297821075
logit_trade_flow_only,trade_flow_only,50,validation,52174,0.49275501207497985,0.5193966343389428,0.5230393793218358,0.5080896238452508,0.7744369675988954,0.5535109331690792,0.2716417910447761,0.5463200743851289
logit_trade_flow_only,trade_flow_only,50,test,45954,0.5052661357009183,0.5225007616311964,0.5199990617256199,0.5188189487345879,0.7575261639174814,0.5328576169930302,0.28247195953375853,0.5334943371504002
logit_combined,combined,50,validation,52174,0.49275501207497985,0.586556522405796,0.587355545896534,0.5715966502872171,0.6424987358512583,0.6051297473792748,0.5322123559418099,0.6174847249260178
logit_combined,combined,50,test,45954,0.5052661357009183,0.586869478173826,0.5860239067879245,0.5792646398082971,0.6663077651922994,0.597422841109841,0.5057400483835496,0.6233717082124288
majority_baseline,none,100,validation,66555,0.49568026444294194,0.49568026444294194,0.5,0.49568026444294194,1.0,0.0,0.0,0.5
majority_baseline,none,100,test,59814,0.5014043534958371,0.5014043534958371,0.5,0.5014043534958371,1.0,0.0,0.0,0.5
logit_book_only,book_only,100,validation,66555,0.49568026444294194,0.5616707985876342,0.5617241491729479,0.5567111401658099,0.5678993634434677,0.5667436629992098,0.5555489349024281,0.5884169938599363
logit_book_only,book_only,100,test,59814,0.5014043534958371,0.5468285016885679,0.5466951355231873,0.5440390780033583,0.5941782534760428,0.5502051073579954,0.4992120175703316,0.5714610906089787
logit_trade_flow_only,trade_flow_only,100,validation,66555,0.49568026444294194,0.5076402974983096,0.5100476506407174,0.5021325047764247,0.7886935434980297,0.5270050210340617,0.23140175778340533,0.5087767903341555
logit_trade_flow_only,trade_flow_only,100,test,59814,0.5014043534958371,0.516818804962049,0.5160650314264048,0.5118576215134242,0.7844353305991798,0.5332803927230725,0.24769473225362976,0.5263800870692977
logit_combined,combined,100,validation,66555,0.49568026444294194,0.5455187438960258,0.5463608385497694,0.5345009814283558,0.6438314640800242,0.5618450982585673,0.4488902130195144,0.5716787959931884
logit_combined,combined,100,test,59814,0.5014043534958371,0.5508409402481025,0.5505197748507398,0.5425112229628622,0.6648661265046181,0.5641181317489917,0.4361734231968615,0.5774206638591294
