feature_1,feature_2,absolute_correlation,feature_set
imbalance_1,imbalance_5,0.9884043425810473,full_book
imbalance_5,imbalance_10,0.9882118547119626,full_book
imbalance_1,imbalance_10,0.9758944096554832,full_book
bid_depth_5,bid_depth_10,0.9661447692184444,full_book
ask_depth_5,ask_depth_10,0.9488767988689798,full_book
best_bid_qty,bid_depth_5,0.9410352187583559,full_book
best_ask_qty,ask_depth_5,0.9407332160372318,full_book
best_bid_qty,bid_depth_10,0.8940533391794905,full_book
best_ask_qty,ask_depth_10,0.8766140128876959,full_book
best_ask_qty,imbalance_1,0.7419908143375066,full_book
best_ask_qty,imbalance_5,0.739214159798652,full_book
ask_depth_5,imbalance_5,0.7342757948248876,full_book
best_ask_qty,imbalance_10,0.7333458884442954,full_book
ask_depth_5,imbalance_10,0.729045307239551,full_book
ask_depth_10,imbalance_10,0.720397795858545,full_book
ask_depth_5,imbalance_1,0.7187963516883581,full_book
ask_depth_10,imbalance_5,0.7014013007102261,full_book
ask_depth_10,imbalance_1,0.6856451016828937,full_book
bid_depth_10,imbalance_10,0.6812311458549914,full_book
bid_depth_5,imbalance_5,0.6763497280422317,full_book
bid_depth_10,imbalance_5,0.672699132103242,full_book
best_bid_qty,imbalance_1,0.6710972438292625,full_book
bid_depth_5,imbalance_10,0.6677421529773413,full_book
best_bid_qty,imbalance_5,0.6628328583296744,full_book
bid_depth_5,imbalance_1,0.6611932090265888,full_book
bid_depth_10,imbalance_1,0.6568212471754429,full_book
best_bid_qty,imbalance_10,0.6538475304056263,full_book
spread_bps,microprice_deviation_bps,0.5152705263912212,full_book
imbalance_1,microprice_deviation_bps,0.4481409603540781,full_book
imbalance_5,microprice_deviation_bps,0.43891007838662505,full_book
imbalance_1,imbalance_5,0.9884043425810473,reduced_book
best_ask_qty,imbalance_1,0.7419908143375066,reduced_book
best_ask_qty,imbalance_5,0.739214159798652,reduced_book
best_bid_qty,imbalance_1,0.6710972438292625,reduced_book
best_bid_qty,imbalance_5,0.6628328583296744,reduced_book
spread_bps,microprice_deviation_bps,0.5152705263912212,reduced_book
imbalance_1,microprice_deviation_bps,0.4481409603540781,reduced_book
imbalance_5,microprice_deviation_bps,0.43891007838662505,reduced_book
best_bid_qty,best_ask_qty,0.34941809608094176,reduced_book
best_ask_qty,microprice_deviation_bps,0.3186957746070629,reduced_book
best_bid_qty,microprice_deviation_bps,0.2914141788693473,reduced_book
best_ask_qty,quote_changed,0.11904076192924896,reduced_book
best_bid_qty,quote_changed,0.07861939027566361,reduced_book
spread_bps,quote_changed,0.04603974088437283,reduced_book
event_gap_ms,quote_changed,0.02138291040813419,reduced_book
spread_bps,best_bid_qty,0.015176966748232792,reduced_book
spread_bps,best_ask_qty,0.014708478046053887,reduced_book
imbalance_5,quote_changed,0.011283214549697397,reduced_book
event_gap_ms,microprice_deviation_bps,0.01064734567152636,reduced_book
imbalance_1,quote_changed,0.0104067771644331,reduced_book
microprice_deviation_bps,quote_changed,0.009835031306391951,reduced_book
spread_bps,event_gap_ms,0.007575472652182565,reduced_book
event_gap_ms,best_bid_qty,0.006471201725790458,reduced_book
event_gap_ms,imbalance_5,0.006128100300305975,reduced_book
event_gap_ms,imbalance_1,0.0055162026451253746,reduced_book
event_gap_ms,best_ask_qty,0.0051197578950831395,reduced_book
spread_bps,imbalance_1,0.00438353371162068,reduced_book
spread_bps,imbalance_5,0.0008314122927270255,reduced_book
spread_bps,spread_bps,,reduced_book
event_gap_ms,spread_bps,,reduced_book
trade_imbalance,notional_imbalance,0.9999999999949835,full_trade_flow
trade_imbalance_rolling_5e,notional_imbalance_rolling_5e,0.9999999999489284,full_trade_flow
trade_imbalance_rolling_10e,notional_imbalance_rolling_10e,0.9999999998470234,full_trade_flow
trade_imbalance_rolling_20e,notional_imbalance_rolling_20e,0.9999999995871414,full_trade_flow
trade_imbalance_rolling_50e,notional_imbalance_rolling_50e,0.9999999984837411,full_trade_flow
buy_trade_volume,buy_trade_notional,0.9999821968067134,full_trade_flow
avg_trade_size,avg_trade_notional,0.9999817140727316,full_trade_flow
signed_trade_volume_rolling_sum_5e,signed_trade_notional_rolling_sum_5e,0.9999752851021657,full_trade_flow
signed_trade_volume,signed_trade_notional,0.999974774483702,full_trade_flow
signed_trade_volume_rolling_sum_10e,signed_trade_notional_rolling_sum_10e,0.9999746867432058,full_trade_flow
signed_trade_volume_rolling_sum_50e,signed_trade_notional_rolling_sum_50e,0.9999741214227754,full_trade_flow
signed_trade_volume_rolling_sum_20e,signed_trade_notional_rolling_sum_20e,0.9999734440886516,full_trade_flow
trade_volume,trade_notional,0.9999733804825812,full_trade_flow
trade_volume_rolling_sum_5e,trade_notional_rolling_sum_5e,0.9999713124628731,full_trade_flow
sell_trade_volume,sell_trade_notional,0.999970882240456,full_trade_flow
trade_volume_rolling_sum_10e,trade_notional_rolling_sum_10e,0.9999692021999295,full_trade_flow
trade_volume_rolling_sum_20e,trade_notional_rolling_sum_20e,0.9999664808106237,full_trade_flow
trade_volume_rolling_sum_50e,trade_notional_rolling_sum_50e,0.999964823949523,full_trade_flow
trade_count_rolling_sum_20e,trade_intensity_rolling_mean_20e,0.9983926066897111,full_trade_flow
trade_count_rolling_sum_10e,trade_intensity_rolling_mean_10e,0.9975292837648824,full_trade_flow
trade_count_rolling_sum_50e,trade_intensity_rolling_mean_50e,0.9975213624781186,full_trade_flow
trade_count_rolling_sum_5e,trade_intensity_rolling_mean_5e,0.99644529668127,full_trade_flow
trade_count,trade_intensity_per_second,0.9935955027807393,full_trade_flow
trade_count_rolling_sum_50e,trade_volume_rolling_sum_50e,0.8518659327298018,full_trade_flow
trade_count_rolling_sum_50e,trade_notional_rolling_sum_50e,0.8508899426025461,full_trade_flow
trade_volume_rolling_sum_50e,trade_intensity_rolling_mean_50e,0.8496851645998917,full_trade_flow
trade_notional_rolling_sum_50e,trade_intensity_rolling_mean_50e,0.848708681409978,full_trade_flow
trade_count_rolling_sum_20e,trade_volume_rolling_sum_20e,0.8382438169833912,full_trade_flow
trade_count_rolling_sum_20e,trade_notional_rolling_sum_20e,0.8377258894760625,full_trade_flow
trade_volume_rolling_sum_20e,trade_intensity_rolling_mean_20e,0.836773425268245,full_trade_flow
trade_count,trade_intensity_per_second,0.9935955027807393,reduced_trade_flow
trade_count_rolling_sum_50e,trade_volume_rolling_sum_50e,0.8518659327298018,reduced_trade_flow
trade_count_rolling_sum_20e,trade_volume_rolling_sum_20e,0.8382438169833912,reduced_trade_flow
trade_count_rolling_sum_10e,trade_volume_rolling_sum_10e,0.8223045554652809,reduced_trade_flow
trade_count_rolling_sum_10e,trade_count_rolling_sum_20e,0.810707947067944,reduced_trade_flow
trade_volume_rolling_sum_10e,trade_volume_rolling_sum_20e,0.7844044863488946,reduced_trade_flow
trade_count_rolling_sum_20e,trade_count_rolling_sum_50e,0.776623892299106,reduced_trade_flow
trade_count,trade_volume,0.7383907795484564,reduced_trade_flow
signed_trade_volume_rolling_sum_10e,signed_trade_volume_rolling_sum_20e,0.7360254220718019,reduced_trade_flow
trade_volume_rolling_sum_20e,trade_volume_rolling_sum_50e,0.7356499820826626,reduced_trade_flow
trade_volume,trade_intensity_per_second,0.7351049584631014,reduced_trade_flow
signed_trade_volume_rolling_sum_20e,signed_trade_volume_rolling_sum_50e,0.6893306262782017,reduced_trade_flow
trade_count_rolling_sum_10e,trade_volume_rolling_sum_20e,0.6845698046213953,reduced_trade_flow
trade_count_rolling_sum_20e,trade_volume_rolling_sum_50e,0.6767950177549696,reduced_trade_flow
trade_count_rolling_sum_20e,trade_volume_rolling_sum_10e,0.6521473346456992,reduced_trade_flow
trade_count_rolling_sum_50e,trade_volume_rolling_sum_20e,0.6153058025272651,reduced_trade_flow
trade_count_rolling_sum_10e,trade_count_rolling_sum_50e,0.6095170447051215,reduced_trade_flow
trade_volume_rolling_sum_10e,trade_volume_rolling_sum_50e,0.5574342200344319,reduced_trade_flow
trade_count_rolling_sum_10e,trade_volume_rolling_sum_50e,0.533245994005601,reduced_trade_flow
signed_trade_volume_rolling_sum_10e,signed_trade_volume_rolling_sum_50e,0.5047056354154812,reduced_trade_flow
trade_count_rolling_sum_50e,trade_volume_rolling_sum_10e,0.46209195784107826,reduced_trade_flow
trade_intensity_per_second,trade_count_rolling_sum_10e,0.40903718583720355,reduced_trade_flow
trade_count,trade_count_rolling_sum_10e,0.4083430745626079,reduced_trade_flow
trade_volume,trade_volume_rolling_sum_10e,0.3823847846856518,reduced_trade_flow
trade_intensity_per_second,trade_volume_rolling_sum_10e,0.3428433450099353,reduced_trade_flow
trade_count,trade_volume_rolling_sum_10e,0.3421211176518357,reduced_trade_flow
signed_trade_volume,signed_trade_volume_rolling_sum_10e,0.33445273607703,reduced_trade_flow
trade_intensity_per_second,trade_count_rolling_sum_20e,0.3293012331807004,reduced_trade_flow
trade_count,trade_count_rolling_sum_20e,0.3277682032933783,reduced_trade_flow
trade_volume,trade_count_rolling_sum_10e,0.2984152795978237,reduced_trade_flow
