candidate_id,move_feature_set,n_features,C,coefficient_l1_norm,coefficient_l2_norm,maximum_absolute_coefficient
full_trade_flow_C_0p01,full_trade_flow,48,0.01,1.7588824896016921,0.48207293300209175,0.2736792004279212
full_trade_flow_C_0p03,full_trade_flow,48,0.03,2.8170530233109288,0.6425783128696441,0.3017788163822318
full_trade_flow_C_0p1,full_trade_flow,48,0.1,6.633040549907676,1.3928334114463758,0.6236626265427458
full_trade_flow_C_0p3,full_trade_flow,48,0.3,14.289313553853546,3.258512585489213,1.3434728017863355
full_trade_flow_C_1,full_trade_flow,48,1.0,26.956772952262337,7.019715416621666,3.1243773804811665
full_trade_flow_C_3,full_trade_flow,48,3.0,41.35393531384517,12.13934329202235,6.36928745046843
full_trade_flow_C_10,full_trade_flow,48,10.0,57.97715235790258,18.701378066227775,10.756152286546884
reduced_trade_flow_C_0p01,reduced_trade_flow,14,0.01,1.2231535101592454,0.6001522171664455,0.517945761765976
reduced_trade_flow_C_0p03,reduced_trade_flow,14,0.03,1.3065244689887987,0.6287445663806458,0.5369160828703283
reduced_trade_flow_C_0p1,reduced_trade_flow,14,0.1,1.3395179950378295,0.6399912090439652,0.5441872967952535
reduced_trade_flow_C_0p3,reduced_trade_flow,14,0.3,1.3493677554151844,0.6433406515684698,0.546331653213976
reduced_trade_flow_C_1,reduced_trade_flow,14,1.0,1.3528609801627023,0.6445279120342751,0.5470895348017731
reduced_trade_flow_C_3,reduced_trade_flow,14,3.0,1.3538635593997612,0.6448685908538506,0.5473068171199512
reduced_trade_flow_C_10,reduced_trade_flow,14,10.0,1.3542148999227817,0.6449879758301652,0.547382929061704
