candidate_id,move_feature_set,C,split,tail_fraction,tail_n_rows,tail_probability_min,tail_move_share,baseline_move_share,move_share_lift,tail_mean_abs_future_return_bps,tail_median_abs_future_return_bps
full_trade_flow_C_0p03,full_trade_flow,0.03,validation,0.1,10314,0.541522020122265,0.651929416327322,0.5058659272043282,1.288739528139827,2.057166124212357,1.5362212676084397
full_trade_flow_C_0p03,full_trade_flow,0.03,validation,0.05,5157,0.5789756567280271,0.6655031995346131,0.5058659272043282,1.3155722964235237,2.1237663907153577,1.548495741232614
full_trade_flow_C_0p03,full_trade_flow,0.03,validation,0.02,2063,0.6302877815425743,0.692195831313621,0.5058659272043282,1.3683385143946072,2.3659064049238148,1.6596427256498902
full_trade_flow_C_0p03,full_trade_flow,0.03,validation,0.01,1032,0.6822081004525293,0.7209302325581395,0.5058659272043282,1.4251409193387776,2.581579517436743,1.8962920707749076
full_trade_flow_C_0p03,full_trade_flow,0.03,test,0.1,9731,0.527140658936631,0.5793854691193094,0.4722627587199145,1.2268286211890918,1.7441165300252277,1.283092093539162
full_trade_flow_C_0p03,full_trade_flow,0.03,test,0.05,4866,0.5550357791729248,0.6029593094944513,0.4722627587199145,1.2767454099679478,1.9806617478226352,1.3541533076777412
full_trade_flow_C_0p03,full_trade_flow,0.03,test,0.02,1947,0.5924351973706729,0.6574216743708269,0.4722627587199145,1.3920675772800557,2.4217989691257302,1.5852269529792462
full_trade_flow_C_0p03,full_trade_flow,0.03,test,0.01,974,0.6288818315483004,0.7114989733059548,0.4722627587199145,1.5065743808266796,3.0295517051342666,1.9649581198988297
reduced_trade_flow_C_0p03,reduced_trade_flow,0.03,validation,0.1,10314,0.5380661957371977,0.6529959278650378,0.5058659272043282,1.2908478170764033,2.043676376705079,1.53885653240593
reduced_trade_flow_C_0p03,reduced_trade_flow,0.03,validation,0.05,5157,0.5748012743313058,0.6666666666666666,0.5058659272043282,1.3178722479906977,2.104154370962913,1.5516844261798113
reduced_trade_flow_C_0p03,reduced_trade_flow,0.03,validation,0.02,2063,0.6235446099453407,0.6917111003393117,0.5058659272043282,1.3673802941464317,2.3483775356637397,1.6435323377073097
reduced_trade_flow_C_0p03,reduced_trade_flow,0.03,validation,0.01,1032,0.6705050024028721,0.7199612403100775,0.5058659272043282,1.4232254073504191,2.520720462532202,1.8861060235175753
reduced_trade_flow_C_0p03,reduced_trade_flow,0.03,test,0.1,9731,0.5254338674768838,0.5770218888089611,0.4722627587199145,1.221823821918544,1.7347547436961828,1.2750294252883432
reduced_trade_flow_C_0p03,reduced_trade_flow,0.03,test,0.05,4866,0.5520372928678693,0.5867242087957254,0.4722627587199145,1.2423681477363635,1.9383423568163036,1.3069580268720848
reduced_trade_flow_C_0p03,reduced_trade_flow,0.03,test,0.02,1947,0.5885993802837426,0.6450950179763739,0.4722627587199145,1.3659663102060546,2.4159338688830116,1.5395127045514378
reduced_trade_flow_C_0p03,reduced_trade_flow,0.03,test,0.01,974,0.6258632019126062,0.7176591375770021,0.4722627587199145,1.519618314859811,3.00798363276344,1.9442525424673285
