move_feature_set,n_features,feature_position,feature,contains_notional
full_trade_flow,48,1,trade_count,False
full_trade_flow,48,2,buy_trade_count,False
full_trade_flow,48,3,sell_trade_count,False
full_trade_flow,48,4,trade_volume,False
full_trade_flow,48,5,buy_trade_volume,False
full_trade_flow,48,6,sell_trade_volume,False
full_trade_flow,48,7,signed_trade_volume,False
full_trade_flow,48,8,trade_notional,True
full_trade_flow,48,9,buy_trade_notional,True
full_trade_flow,48,10,sell_trade_notional,True
full_trade_flow,48,11,signed_trade_notional,True
full_trade_flow,48,12,avg_trade_size,False
full_trade_flow,48,13,avg_trade_notional,True
full_trade_flow,48,14,trade_imbalance,False
full_trade_flow,48,15,notional_imbalance,True
full_trade_flow,48,16,trade_intensity_per_second,False
full_trade_flow,48,17,trade_count_rolling_sum_5e,False
full_trade_flow,48,18,trade_volume_rolling_sum_5e,False
full_trade_flow,48,19,signed_trade_volume_rolling_sum_5e,False
full_trade_flow,48,20,trade_notional_rolling_sum_5e,True
full_trade_flow,48,21,signed_trade_notional_rolling_sum_5e,True
full_trade_flow,48,22,trade_imbalance_rolling_5e,False
full_trade_flow,48,23,notional_imbalance_rolling_5e,True
full_trade_flow,48,24,trade_intensity_rolling_mean_5e,False
full_trade_flow,48,25,trade_count_rolling_sum_10e,False
full_trade_flow,48,26,trade_volume_rolling_sum_10e,False
full_trade_flow,48,27,signed_trade_volume_rolling_sum_10e,False
full_trade_flow,48,28,trade_notional_rolling_sum_10e,True
full_trade_flow,48,29,signed_trade_notional_rolling_sum_10e,True
full_trade_flow,48,30,trade_imbalance_rolling_10e,False
full_trade_flow,48,31,notional_imbalance_rolling_10e,True
full_trade_flow,48,32,trade_intensity_rolling_mean_10e,False
full_trade_flow,48,33,trade_count_rolling_sum_20e,False
full_trade_flow,48,34,trade_volume_rolling_sum_20e,False
full_trade_flow,48,35,signed_trade_volume_rolling_sum_20e,False
full_trade_flow,48,36,trade_notional_rolling_sum_20e,True
full_trade_flow,48,37,signed_trade_notional_rolling_sum_20e,True
full_trade_flow,48,38,trade_imbalance_rolling_20e,False
full_trade_flow,48,39,notional_imbalance_rolling_20e,True
full_trade_flow,48,40,trade_intensity_rolling_mean_20e,False
full_trade_flow,48,41,trade_count_rolling_sum_50e,False
full_trade_flow,48,42,trade_volume_rolling_sum_50e,False
full_trade_flow,48,43,signed_trade_volume_rolling_sum_50e,False
full_trade_flow,48,44,trade_notional_rolling_sum_50e,True
full_trade_flow,48,45,signed_trade_notional_rolling_sum_50e,True
full_trade_flow,48,46,trade_imbalance_rolling_50e,False
full_trade_flow,48,47,notional_imbalance_rolling_50e,True
full_trade_flow,48,48,trade_intensity_rolling_mean_50e,False
medium_trade_flow,24,1,trade_count,False
medium_trade_flow,24,2,buy_trade_count,False
medium_trade_flow,24,3,sell_trade_count,False
medium_trade_flow,24,4,trade_volume,False
medium_trade_flow,24,5,buy_trade_volume,False
medium_trade_flow,24,6,sell_trade_volume,False
medium_trade_flow,24,7,signed_trade_volume,False
medium_trade_flow,24,8,avg_trade_size,False
medium_trade_flow,24,9,trade_imbalance,False
medium_trade_flow,24,10,trade_intensity_per_second,False
medium_trade_flow,24,11,trade_count_rolling_sum_5e,False
medium_trade_flow,24,12,trade_count_rolling_sum_20e,False
medium_trade_flow,24,13,trade_count_rolling_sum_50e,False
medium_trade_flow,24,14,trade_volume_rolling_sum_5e,False
medium_trade_flow,24,15,trade_volume_rolling_sum_20e,False
medium_trade_flow,24,16,trade_volume_rolling_sum_50e,False
medium_trade_flow,24,17,signed_trade_volume_rolling_sum_5e,False
medium_trade_flow,24,18,signed_trade_volume_rolling_sum_20e,False
medium_trade_flow,24,19,signed_trade_volume_rolling_sum_50e,False
medium_trade_flow,24,20,trade_imbalance_rolling_5e,False
medium_trade_flow,24,21,trade_imbalance_rolling_20e,False
medium_trade_flow,24,22,trade_imbalance_rolling_50e,False
medium_trade_flow,24,23,trade_intensity_rolling_mean_20e,False
medium_trade_flow,24,24,trade_intensity_rolling_mean_50e,False
reduced_trade_flow,14,1,trade_count,False
reduced_trade_flow,14,2,trade_volume,False
reduced_trade_flow,14,3,signed_trade_volume,False
reduced_trade_flow,14,4,trade_imbalance,False
reduced_trade_flow,14,5,trade_intensity_per_second,False
reduced_trade_flow,14,6,trade_count_rolling_sum_10e,False
reduced_trade_flow,14,7,trade_count_rolling_sum_20e,False
reduced_trade_flow,14,8,trade_count_rolling_sum_50e,False
reduced_trade_flow,14,9,trade_volume_rolling_sum_10e,False
reduced_trade_flow,14,10,trade_volume_rolling_sum_20e,False
reduced_trade_flow,14,11,trade_volume_rolling_sum_50e,False
reduced_trade_flow,14,12,signed_trade_volume_rolling_sum_10e,False
reduced_trade_flow,14,13,signed_trade_volume_rolling_sum_20e,False
reduced_trade_flow,14,14,signed_trade_volume_rolling_sum_50e,False
