move_feature_set,n_features,C,split,direction_confidence_threshold,n_rows,row_share,move_share,mean_abs_future_return_bps,roc_auc,average_precision,brier_score
full_trade_flow,48,0.03,validation,0.6,29796,0.28889449087630165,0.5218821318297758,1.4468870388456723,0.583367459608451,0.5986357804942031,0.2479171013345972
full_trade_flow,48,0.03,validation,0.65,5003,0.04850782446818825,0.5274835098940636,1.4771450799911576,0.6169407347422401,0.6263317558325174,0.24567950060220306
full_trade_flow,48,0.03,validation,0.7,730,0.0070778956349745,0.43561643835616437,1.2046108717996054,0.6270531843438969,0.5432423213422426,0.23907878119655582
full_trade_flow,48,0.03,validation,0.75,323,0.0031317264247900873,0.42724458204334365,1.017495969570596,0.5786917352134744,0.4810454397183254,0.24538998639609425
full_trade_flow,48,0.03,test,0.6,27757,0.2852547633239471,0.49544259105811145,1.3461263156165093,0.5702826257305678,0.5635112160250264,0.2471700432019853
full_trade_flow,48,0.03,test,0.65,3484,0.03580457525743531,0.5017221584385764,1.4255968977264375,0.5489285318837065,0.5633794785113709,0.24825772927169856
full_trade_flow,48,0.03,test,0.7,55,0.0005652272213429799,0.6363636363636364,2.199209988434218,0.4928571428571429,0.6543428740776176,0.2488080889901543
full_trade_flow,48,0.03,test,0.75,0,0.0,,,,,
medium_trade_flow,24,0.03,validation,0.6,29796,0.28889449087630165,0.5218821318297758,1.4468870388456723,0.5831381765423633,0.5989094916149978,0.24813713844512297
medium_trade_flow,24,0.03,validation,0.65,5003,0.04850782446818825,0.5274835098940636,1.4771450799911576,0.6173270396095532,0.6265664814002805,0.24605452443462986
medium_trade_flow,24,0.03,validation,0.7,730,0.0070778956349745,0.43561643835616437,1.2046108717996054,0.6317854307870795,0.548096804292951,0.23856547908027687
medium_trade_flow,24,0.03,validation,0.75,323,0.0031317264247900873,0.42724458204334365,1.017495969570596,0.581433607520564,0.48570649636084146,0.2451142930200758
medium_trade_flow,24,0.03,test,0.6,27757,0.2852547633239471,0.49544259105811145,1.3461263156165093,0.5708041194462461,0.5640404516585431,0.2471864784028517
medium_trade_flow,24,0.03,test,0.65,3484,0.03580457525743531,0.5017221584385764,1.4255968977264375,0.5515383282012887,0.5643010335360925,0.24819510427287558
medium_trade_flow,24,0.03,test,0.7,55,0.0005652272213429799,0.6363636363636364,2.199209988434218,0.49857142857142855,0.6575651823450908,0.24920169102160278
medium_trade_flow,24,0.03,test,0.75,0,0.0,,,,,
reduced_trade_flow,14,0.03,validation,0.6,29796,0.28889449087630165,0.5218821318297758,1.4468870388456723,0.5914947322044029,0.6027575121478744,0.2477384138569502
reduced_trade_flow,14,0.03,validation,0.65,5003,0.04850782446818825,0.5274835098940636,1.4771450799911576,0.628608103489952,0.6342386594355413,0.24572962251664246
reduced_trade_flow,14,0.03,validation,0.7,730,0.0070778956349745,0.43561643835616437,1.2046108717996054,0.6316404103315625,0.5507306742662892,0.23956166061126027
reduced_trade_flow,14,0.03,validation,0.75,323,0.0031317264247900873,0.42724458204334365,1.017495969570596,0.5773207990599295,0.46651631766287444,0.24761058921037765
reduced_trade_flow,14,0.03,test,0.6,27757,0.2852547633239471,0.49544259105811145,1.3461263156165093,0.572093437605077,0.5633264225098351,0.2472213642864906
reduced_trade_flow,14,0.03,test,0.65,3484,0.03580457525743531,0.5017221584385764,1.4255968977264375,0.5569917298505731,0.5668749038606685,0.24778993391790677
reduced_trade_flow,14,0.03,test,0.7,55,0.0005652272213429799,0.6363636363636364,2.199209988434218,0.4757142857142857,0.6473186093617738,0.24961064100437544
reduced_trade_flow,14,0.03,test,0.75,0,0.0,,,,,
