move_feature_set,n_features,C,split,direction_confidence_threshold,tail_fraction,direction_confident_rows,tail_n_rows,tail_probability_min,tail_move_share,subset_move_share,move_share_lift,tail_mean_abs_future_return_bps,tail_median_abs_future_return_bps,tail_directional_precision,tail_mean_direction_signed_return_bps,tail_median_direction_signed_return_bps
full_trade_flow,48,0.03,validation,0.6,0.1,29796,2980,0.540426502899147,0.6573825503355705,0.5218821318297758,1.2596379723343187,2.1969660295315188,1.6596427256498902,0.5892617449664429,0.5357747390615969,0.515873175803705
full_trade_flow,48,0.03,validation,0.6,0.05,29796,1490,0.5789552641682659,0.6885906040268457,0.5218821318297758,1.319437018494141,2.3767048847151666,1.753259561148024,0.6167785234899329,0.8149984678406184,0.702338052408491
full_trade_flow,48,0.03,validation,0.6,0.02,29796,596,0.6271050516682741,0.7365771812080537,0.5218821318297758,1.411386089471072,2.747257539920086,1.9984210998114094,0.6208053691275168,0.796796447826351,0.9275298126104614
full_trade_flow,48,0.03,validation,0.6,0.01,29796,298,0.6927171646323648,0.7315436241610739,0.5218821318297758,1.4017410820259393,2.8657620051568307,1.9772874417556263,0.6241610738255033,0.7489156867367129,0.9275298126104614
full_trade_flow,48,0.03,validation,0.65,0.1,5003,501,0.5440662374069525,0.6666666666666666,0.5274835098940636,1.2638625742074017,2.361786449275287,1.7086563593848858,0.5768463073852296,0.4085277695635417,0.4517990881724998
full_trade_flow,48,0.03,validation,0.65,0.05,5003,251,0.5868718573642279,0.701195219123506,0.5274835098940636,1.3293215919950363,2.5461631805626292,1.755234907596659,0.6175298804780877,0.8556043495728513,0.8884200902481432
full_trade_flow,48,0.03,validation,0.65,0.02,5003,101,0.6626605523871896,0.7920792079207921,0.5274835098940636,1.5016189000483982,3.206899604426462,2.5952233383119694,0.6237623762376238,0.633248593991623,1.1316542279005137
full_trade_flow,48,0.03,validation,0.65,0.01,5003,51,0.7315916469041918,0.8431372549019608,0.5274835098940636,1.5984144320858318,3.656246552434576,2.581434164152796,0.5294117647058824,0.031270046690356865,1.1316542279005137
full_trade_flow,48,0.03,validation,0.7,0.1,730,73,0.5230050790577765,0.6301369863013698,0.43561643835616437,1.4465408805031446,2.1100740058521543,1.4170703841154264,0.547945205479452,0.4102003247848153,0.4346261852616884
full_trade_flow,48,0.03,validation,0.7,0.05,730,37,0.5972908381359396,0.6216216216216216,0.43561643835616437,1.4269930307666157,2.4386101821853616,1.5198956769491012,0.3783783783783784,-0.22906330407903455,-0.008077009439055871
full_trade_flow,48,0.03,validation,0.7,0.02,730,15,0.7357878801933448,0.7333333333333333,0.43561643835616437,1.6834381551362683,3.1663365109001105,1.755234907596659,0.2,-2.4819633222545137,-1.3744537556958925
full_trade_flow,48,0.03,validation,0.7,0.01,730,8,0.7679130599560862,0.625,0.43561643835616437,1.434748427672956,2.2651318202049353,1.5861526458560427,0.25,-1.472055497276914,-0.5030537544642444
full_trade_flow,48,0.03,validation,0.75,0.1,323,33,0.5154772919581209,0.45454545454545453,0.42724458204334365,1.0638998682476943,0.8312166092700082,0.9980304994894329,0.5757575757575758,0.7707299123312545,0.4346261852616884
full_trade_flow,48,0.03,validation,0.75,0.05,323,17,0.5289599075924477,0.5882352941176471,0.42724458204334365,1.3768115942028987,1.07009209105355,1.2072949590602455,0.8235294117647058,0.95267673817244,1.2072949590602455
full_trade_flow,48,0.03,validation,0.75,0.02,323,7,0.581559200543828,0.5714285714285714,0.42724458204334365,1.3374741200828157,0.9706715906253128,1.2072949590602455,0.5714285714285714,0.6855200193426177,1.2072949590602455
full_trade_flow,48,0.03,validation,0.75,0.01,323,4,0.7637457345092227,0.5,0.42724458204334365,1.1702898550724639,1.0425839478003796,1.2075504418024297,0.5,0.5435686980556631,0.7085351920577132
full_trade_flow,48,0.03,test,0.6,0.1,27757,2776,0.5272543748186092,0.6095100864553314,0.49544259105811145,1.230233527468051,1.8210294679426577,1.3402654842553652,0.5655619596541787,0.4388054949963834,0.3669874083422897
full_trade_flow,48,0.03,test,0.6,0.05,27757,1388,0.5538521588962815,0.6397694524495677,0.49544259105811145,1.2913089508175286,2.1335426422030066,1.4170116504202968,0.542507204610951,0.4712687079002682,0.3015857452670634
full_trade_flow,48,0.03,test,0.6,0.02,27757,556,0.5897158054767702,0.697841726618705,0.49544259105811145,1.408521873600596,2.640716406064945,1.8001627466418535,0.5251798561151079,0.46511532411056367,0.08739508259747453
full_trade_flow,48,0.03,test,0.6,0.01,27757,278,0.6327218713031063,0.7553956834532374,0.49544259105811145,1.5246886260625008,3.2776189058576217,2.257953621729314,0.539568345323741,0.26950835612147434,0.23833104334181066
full_trade_flow,48,0.03,test,0.65,0.1,3484,349,0.5360688179366354,0.6103151862464183,0.5017221584385764,1.2164405657222663,1.9842830465470258,1.3860886092997848,0.6074498567335244,0.8661318570789329,0.603064041434509
full_trade_flow,48,0.03,test,0.65,0.05,3484,175,0.5658943771564271,0.6685714285714286,0.5017221584385764,1.3325531219352729,2.3865446113428224,1.6159247802849386,0.5828571428571429,1.0899793829074371,0.6117850457487695
full_trade_flow,48,0.03,test,0.65,0.02,3484,70,0.6006039102450368,0.7428571428571429,0.5017221584385764,1.480614579928081,2.702413646388633,1.847399409996564,0.6428571428571429,1.5341120932627073,1.2714054175744227
full_trade_flow,48,0.03,test,0.65,0.01,3484,35,0.6492758930842022,0.7714285714285715,0.5017221584385764,1.5375612945406996,3.5029508893133734,2.9354683547744287,0.6857142857142857,2.125812075076767,1.3448164839691135
full_trade_flow,48,0.03,test,0.7,0.1,55,6,0.6485194203231753,0.6666666666666666,0.6363636363636364,1.0476190476190477,3.978875350568179,2.3442247092975155,0.5,0.1567413912179072,-0.0375214754783082
full_trade_flow,48,0.03,test,0.7,0.05,55,3,0.8040609242178972,0.6666666666666666,0.6363636363636364,1.0476190476190477,6.165991562702885,8.859596824835059,0.6666666666666666,0.1482630176863342,0.6117850457487695
full_trade_flow,48,0.03,test,0.7,0.02,55,2,0.8310599511630511,0.5,0.6363636363636364,0.7857142857142857,4.8191889316367975,4.8191889316367975,0.5,-4.207403885888028,-4.207403885888028
full_trade_flow,48,0.03,test,0.7,0.01,55,1,0.8777970493312703,0.0,0.6363636363636364,0.0,0.6117850457487695,0.6117850457487695,1.0,0.6117850457487695,0.6117850457487695
full_trade_flow,48,0.03,test,0.75,0.1,0,0,,,,,,,,,
full_trade_flow,48,0.03,test,0.75,0.05,0,0,,,,,,,,,
full_trade_flow,48,0.03,test,0.75,0.02,0,0,,,,,,,,,
full_trade_flow,48,0.03,test,0.75,0.01,0,0,,,,,,,,,
medium_trade_flow,24,0.03,validation,0.6,0.1,29796,2980,0.5378266074771972,0.6610738255033557,0.5218821318297758,1.2667109777940826,2.212594549785038,1.6670783618272234,0.5889261744966443,0.5351873438678082,0.5167908658570974
medium_trade_flow,24,0.03,validation,0.6,0.05,29796,1490,0.5740386095381595,0.6818791946308724,0.5218821318297758,1.3065770085672974,2.361383168223624,1.7180498798097243,0.610738255033557,0.7744467012721988,0.6604770188539666
medium_trade_flow,24,0.03,validation,0.6,0.02,29796,596,0.6227243410761584,0.7416107382550335,0.5218821318297758,1.4210310969162043,2.7808580808133754,2.026762303228291,0.6375838926174496,0.8263722644186047,0.9846079671443908
medium_trade_flow,24,0.03,validation,0.6,0.01,29796,298,0.6858114124247561,0.7416107382550335,0.5218821318297758,1.4210310969162043,2.8850234188564317,2.0518228186150456,0.6241610738255033,0.7559079012388886,0.9534284226808687
medium_trade_flow,24,0.03,validation,0.65,0.1,5003,501,0.5409990209165162,0.6706586826347305,0.5274835098940636,1.271430613573913,2.375713429884642,1.709880122885421,0.5828343313373253,0.3794640715148922,0.5166627782426936
medium_trade_flow,24,0.03,validation,0.65,0.05,5003,251,0.5839795259151331,0.6972111553784861,0.5274835098940636,1.3217686284041554,2.517343588111317,1.753259561148024,0.6175298804780877,0.762775047545624,0.7610984756167838
medium_trade_flow,24,0.03,validation,0.65,0.02,5003,101,0.6589983459602611,0.7821782178217822,0.5274835098940636,1.4828486637977933,3.1651387561562574,2.581434164152796,0.6138613861386139,0.5800037809432183,1.1316542279005137
medium_trade_flow,24,0.03,validation,0.65,0.01,5003,51,0.7240857385102373,0.8431372549019608,0.5274835098940636,1.5984144320858318,3.662697844055467,2.581434164152796,0.5294117647058824,0.008029286165378891,1.1316542279005137
medium_trade_flow,24,0.03,validation,0.7,0.1,730,73,0.5195651815003811,0.6438356164383562,0.43561643835616437,1.477987421383648,2.1728688086661783,1.4170703841154264,0.5616438356164384,0.47299512759883905,0.44373876534109513
medium_trade_flow,24,0.03,validation,0.7,0.05,730,37,0.5869794660690036,0.6756756756756757,0.43561643835616437,1.5510793812680606,2.62155590868822,1.7877260527254801,0.3783783783783784,-0.41200903058189275,-0.09696225340194431
medium_trade_flow,24,0.03,validation,0.7,0.02,730,15,0.7272864358199163,0.7333333333333333,0.43561643835616437,1.6834381551362683,3.1663365109001105,1.755234907596659,0.2,-2.4819633222545137,-1.3744537556958925
medium_trade_flow,24,0.03,validation,0.7,0.01,730,8,0.7702140498069991,0.625,0.43561643835616437,1.434748427672956,2.2651318202049353,1.5861526458560427,0.25,-1.472055497276914,-0.5030537544642444
medium_trade_flow,24,0.03,validation,0.75,0.1,323,33,0.5087812669381129,0.42424242424242425,0.42724458204334365,0.9929732103645148,0.7799980352492704,0.4346261852616884,0.5454545454545454,0.719511338310517,0.4346261852616884
medium_trade_flow,24,0.03,validation,0.75,0.05,323,17,0.5246507607800022,0.5882352941176471,0.42724458204334365,1.3768115942028987,1.07009209105355,1.2072949590602455,0.8235294117647058,0.95267673817244,1.2072949590602455
medium_trade_flow,24,0.03,validation,0.75,0.02,323,7,0.5628295522819647,0.5714285714285714,0.42724458204334365,1.3374741200828157,1.007392346689435,1.2072949590602455,0.5714285714285714,0.7222407754067398,1.2072949590602455
medium_trade_flow,24,0.03,validation,0.75,0.01,323,4,0.7395470968774426,0.5,0.42724458204334365,1.1702898550724639,1.0425839478003796,1.2075504418024297,0.5,0.5435686980556631,0.7085351920577132
