move_feature_set,threshold_mode,split,diagnostic_entry_rule,n_episodes,share_same_row_as_first,share_same_direction_as_first,mean_row_shift_events,median_row_shift_events,mean_net_improvement_vs_first_bps,median_net_improvement_vs_first_bps,share_net_improvement_positive
full_trade_flow,model_specific,validation,max_move_probability,48,0.6458333333333334,0.9583333333333334,8.395833333333334,0.0,-0.7044693310491456,0.0,0.10416666666666667
full_trade_flow,model_specific,validation,max_joint_confidence,48,0.625,0.9583333333333334,8.229166666666666,0.0,-0.6304968789878213,0.0,0.125
full_trade_flow,model_specific,test,max_move_probability,20,0.8,0.9,3.75,0.0,-1.2003228385072398,0.0,0.05
full_trade_flow,model_specific,test,max_joint_confidence,20,0.75,0.9,4.45,0.0,-1.7003430449584744,0.0,0.05
medium_trade_flow,model_specific,validation,max_move_probability,46,0.6086956521739131,0.9565217391304348,9.782608695652174,0.0,-0.7413272745628091,0.0,0.10869565217391304
medium_trade_flow,model_specific,validation,max_joint_confidence,46,0.5869565217391305,0.9565217391304348,9.673913043478262,0.0,-0.656041575138346,0.0,0.13043478260869565
medium_trade_flow,model_specific,test,max_move_probability,21,0.8571428571428571,0.9523809523809523,3.380952380952381,0.0,-0.4833157528917807,0.0,0.047619047619047616
medium_trade_flow,model_specific,test,max_joint_confidence,21,0.7619047619047619,0.9047619047619048,4.238095238095238,0.0,-1.6193743285318805,0.0,0.047619047619047616
reduced_trade_flow,model_specific,validation,max_move_probability,48,0.9166666666666666,1.0,0.9166666666666666,0.0,0.0031925652081710165,0.0,0.020833333333333332
reduced_trade_flow,model_specific,validation,max_joint_confidence,48,0.9166666666666666,1.0,0.9166666666666666,0.0,0.0031925652081710165,0.0,0.020833333333333332
reduced_trade_flow,model_specific,test,max_move_probability,24,0.9166666666666666,1.0,0.75,0.0,-0.525947065034236,0.0,0.0
reduced_trade_flow,model_specific,test,max_joint_confidence,24,0.9166666666666666,1.0,0.75,0.0,-0.525947065034236,0.0,0.0
full_trade_flow,fixed_common_0p65_0p65,validation,max_move_probability,48,0.6458333333333334,0.9583333333333334,8.395833333333334,0.0,-0.7044693310491456,0.0,0.10416666666666667
full_trade_flow,fixed_common_0p65_0p65,validation,max_joint_confidence,48,0.625,0.9583333333333334,8.229166666666666,0.0,-0.6304968789878213,0.0,0.125
full_trade_flow,fixed_common_0p65_0p65,test,max_move_probability,20,0.8,0.9,3.75,0.0,-1.2003228385072398,0.0,0.05
full_trade_flow,fixed_common_0p65_0p65,test,max_joint_confidence,20,0.75,0.9,4.45,0.0,-1.7003430449584744,0.0,0.05
medium_trade_flow,fixed_common_0p65_0p65,validation,max_move_probability,46,0.6086956521739131,0.9565217391304348,9.782608695652174,0.0,-0.7413272745628091,0.0,0.10869565217391304
medium_trade_flow,fixed_common_0p65_0p65,validation,max_joint_confidence,46,0.5869565217391305,0.9565217391304348,9.673913043478262,0.0,-0.656041575138346,0.0,0.13043478260869565
medium_trade_flow,fixed_common_0p65_0p65,test,max_move_probability,21,0.8571428571428571,0.9523809523809523,3.380952380952381,0.0,-0.4833157528917807,0.0,0.047619047619047616
medium_trade_flow,fixed_common_0p65_0p65,test,max_joint_confidence,21,0.7619047619047619,0.9047619047619048,4.238095238095238,0.0,-1.6193743285318805,0.0,0.047619047619047616
reduced_trade_flow,fixed_common_0p65_0p65,validation,max_move_probability,33,0.5454545454545454,0.9090909090909091,9.666666666666666,0.0,-0.07454517732423604,0.0,0.18181818181818182
reduced_trade_flow,fixed_common_0p65_0p65,validation,max_joint_confidence,33,0.6060606060606061,0.9393939393939394,8.090909090909092,0.0,-0.42522706798629106,0.0,0.15151515151515152
reduced_trade_flow,fixed_common_0p65_0p65,test,max_move_probability,17,0.7058823529411765,0.8823529411764706,5.411764705882353,0.0,-1.7722859487107383,0.0,0.058823529411764705
reduced_trade_flow,fixed_common_0p65_0p65,test,max_joint_confidence,17,0.6470588235294118,0.8823529411764706,6.235294117647059,0.0,-2.360545015123956,0.0,0.058823529411764705
