direction_confidence_bin,n_rows,n_runs,mean_direction_confidence,directional_precision,mean_signed_return_bps,mean_abs_return_bps,subset
"[0.5, 0.55)",28282,36,0.52577628449469,0.43426914645357473,0.04141926635441408,1.3490023339726467,all_rows
"[0.55, 0.6)",35113,36,0.5753016212529181,0.4882522142796115,0.24174549692446345,1.3855257080258272,all_rows
"[0.6, 0.65)",27323,36,0.6247965426914022,0.5758152472276105,0.5093539666995147,1.4193347623925572,all_rows
"[0.65, 0.7)",11956,36,0.6599445389441098,0.6531448645031783,0.7774663730457224,1.5771562973037427,all_rows
"[0.7, 0.75)",340,6,0.7420125025060326,0.16176470588235295,0.050599491582066745,0.13546203387731395,all_rows
"[0.75, 0.8)",43,3,0.7539012645245524,0.06976744186046512,0.07755331752735864,0.07755331752735864,all_rows
"[0.8, 0.85)",1,1,0.8015342741220274,0.0,-1.0015851860023517,1.0015851860023517,all_rows
"[0.85, 0.9)",0,0,,,,,all_rows
"[0.9, 1.0)",0,0,,,,,all_rows
"[0.5, 0.55)",14011,36,0.5256814180343079,0.5184497894511455,0.07210939963674946,2.3640560684328586,realized_move_gt_1bps
"[0.55, 0.6)",17479,36,0.5756592621141952,0.5833285657074203,0.43597345286388045,2.4235318567202295,realized_move_gt_1bps
"[0.6, 0.65)",14159,36,0.6248830942704462,0.6697506886079525,0.8882840816554772,2.369669027574108,realized_move_gt_1bps
"[0.65, 0.7)",6721,36,0.6601476272696724,0.7415563160244011,1.2658811201155784,2.4671508989318998,realized_move_gt_1bps
"[0.7, 0.75)",6,4,0.7182645911010804,0.5,-0.7444747913942784,4.064402605336396,realized_move_gt_1bps
"[0.75, 0.8)",2,1,0.7683037294951909,1.0,1.283268945446725,1.283268945446725,realized_move_gt_1bps
"[0.8, 0.85)",1,1,0.8015342741220274,0.0,-1.0015851860023517,1.0015851860023517,realized_move_gt_1bps
"[0.85, 0.9)",0,0,,,,,realized_move_gt_1bps
"[0.9, 1.0)",0,0,,,,,realized_move_gt_1bps
