move_probability_bin,n_rows,n_runs,mean_move_probability,realized_move_rate_gt_1bps,mean_abs_return_bps,median_abs_return_bps,p90_abs_return_bps,share_abs_return_gt_1p5bps,share_abs_return_gt_2bps,calibration_gap
"[0.0, 0.5)",73042,36,0.44262151817790385,0.46543084800525725,1.2504538235076366,0.9147536355524899,2.913367686794288,0.3173242791818406,0.21605377727882588,0.022809329827353397
"[0.5, 0.55)",16760,36,0.5217672692412597,0.5828758949880668,1.6181682246465527,1.2810486252856634,3.4643922957600104,0.4380668257756563,0.3204057279236277,0.06110862574680709
"[0.55, 0.6)",7376,36,0.5712586401800976,0.6366594360086768,1.772113052058047,1.4691699426783167,3.7490449466076603,0.4854934924078091,0.3610357917570499,0.06540079582857916
"[0.6, 0.65)",3125,35,0.6212075840196839,0.61472,1.8820067892234988,1.482945729708307,4.214392149189949,0.49472,0.36288,-0.006487584019683856
"[0.65, 0.7)",1303,33,0.6736980170453362,0.7122026093630084,2.4196005647756658,2.0633284322713052,5.219863002322578,0.6224098234842671,0.5157329240214888,0.038504592317672226
"[0.7, 0.75)",645,26,0.7214879766218603,0.7457364341085271,2.6042278161728127,1.9955511878677612,5.856398759109372,0.6341085271317829,0.4992248062015504,0.02424845748666682
"[0.75, 0.8)",373,22,0.774865568961036,0.6836461126005362,2.4732051458091013,1.755369493416925,5.784300794451358,0.579088471849866,0.43699731903485256,-0.09121945636049977
"[0.8, 0.85)",271,18,0.8231255794095192,0.7712177121771218,3.173651873290993,2.55957125601447,6.989772318445331,0.6715867158671587,0.5867158671586716,-0.05190786723239749
"[0.85, 0.9)",140,12,0.8694807654137731,0.7285714285714285,2.8346904701943645,2.568049498294922,5.80236153502256,0.6357142857142857,0.5928571428571429,-0.14090933684234452
"[0.9, 1.0)",23,4,0.9250530118956576,0.9565217391304348,3.0170886027833603,2.9500921706604455,4.347046827834156,0.9565217391304348,0.9130434782608695,0.03146872723477723
