fold,model,true_class,predicted_class,count
fold_1_tue_to_wed,direct_multiclass_base,-1,-1,7614
fold_1_tue_to_wed,direct_multiclass_base,-1,0,13421
fold_1_tue_to_wed,direct_multiclass_base,-1,1,5430
fold_1_tue_to_wed,direct_multiclass_base,0,-1,9270
fold_1_tue_to_wed,direct_multiclass_base,0,0,30760
fold_1_tue_to_wed,direct_multiclass_base,0,1,10934
fold_1_tue_to_wed,direct_multiclass_base,1,-1,5115
fold_1_tue_to_wed,direct_multiclass_base,1,0,12763
fold_1_tue_to_wed,direct_multiclass_base,1,1,7831
fold_1_tue_to_wed,direct_multiclass_temporal,-1,-1,7848
fold_1_tue_to_wed,direct_multiclass_temporal,-1,0,13227
fold_1_tue_to_wed,direct_multiclass_temporal,-1,1,5390
fold_1_tue_to_wed,direct_multiclass_temporal,0,-1,9741
fold_1_tue_to_wed,direct_multiclass_temporal,0,0,30593
fold_1_tue_to_wed,direct_multiclass_temporal,0,1,10630
fold_1_tue_to_wed,direct_multiclass_temporal,1,-1,5328
fold_1_tue_to_wed,direct_multiclass_temporal,1,0,12594
fold_1_tue_to_wed,direct_multiclass_temporal,1,1,7787
fold_2_tue_wed_to_thu,direct_multiclass_base,-1,-1,6934
fold_2_tue_wed_to_thu,direct_multiclass_base,-1,0,10706
fold_2_tue_wed_to_thu,direct_multiclass_base,-1,1,5095
fold_2_tue_wed_to_thu,direct_multiclass_base,0,-1,10028
fold_2_tue_wed_to_thu,direct_multiclass_base,0,0,29660
fold_2_tue_wed_to_thu,direct_multiclass_base,0,1,11664
fold_2_tue_wed_to_thu,direct_multiclass_base,1,-1,4503
fold_2_tue_wed_to_thu,direct_multiclass_base,1,0,11247
fold_2_tue_wed_to_thu,direct_multiclass_base,1,1,7469
fold_2_tue_wed_to_thu,direct_multiclass_temporal,-1,-1,6949
fold_2_tue_wed_to_thu,direct_multiclass_temporal,-1,0,10807
fold_2_tue_wed_to_thu,direct_multiclass_temporal,-1,1,4979
fold_2_tue_wed_to_thu,direct_multiclass_temporal,0,-1,10108
fold_2_tue_wed_to_thu,direct_multiclass_temporal,0,0,29945
fold_2_tue_wed_to_thu,direct_multiclass_temporal,0,1,11299
fold_2_tue_wed_to_thu,direct_multiclass_temporal,1,-1,4525
fold_2_tue_wed_to_thu,direct_multiclass_temporal,1,0,11351
fold_2_tue_wed_to_thu,direct_multiclass_temporal,1,1,7343
fold_3_tue_wed_thu_to_fri,direct_multiclass_base,-1,-1,10123
fold_3_tue_wed_thu_to_fri,direct_multiclass_base,-1,0,9594
fold_3_tue_wed_thu_to_fri,direct_multiclass_base,-1,1,6065
fold_3_tue_wed_thu_to_fri,direct_multiclass_base,0,-1,12028
fold_3_tue_wed_thu_to_fri,direct_multiclass_base,0,0,26208
fold_3_tue_wed_thu_to_fri,direct_multiclass_base,0,1,12443
fold_3_tue_wed_thu_to_fri,direct_multiclass_base,1,-1,6242
fold_3_tue_wed_thu_to_fri,direct_multiclass_base,1,0,10720
fold_3_tue_wed_thu_to_fri,direct_multiclass_base,1,1,9635
fold_3_tue_wed_thu_to_fri,direct_multiclass_temporal,-1,-1,10079
fold_3_tue_wed_thu_to_fri,direct_multiclass_temporal,-1,0,9673
fold_3_tue_wed_thu_to_fri,direct_multiclass_temporal,-1,1,6030
fold_3_tue_wed_thu_to_fri,direct_multiclass_temporal,0,-1,11994
fold_3_tue_wed_thu_to_fri,direct_multiclass_temporal,0,0,26537
fold_3_tue_wed_thu_to_fri,direct_multiclass_temporal,0,1,12148
fold_3_tue_wed_thu_to_fri,direct_multiclass_temporal,1,-1,6208
fold_3_tue_wed_thu_to_fri,direct_multiclass_temporal,1,0,10844
fold_3_tue_wed_thu_to_fri,direct_multiclass_temporal,1,1,9545
