feature,feature_set
spread_bps,base
event_gap_ms,base
best_bid_qty,base
best_ask_qty,base
imbalance_1,base
imbalance_5,base
microprice_deviation_bps,base
quote_changed,base
trade_count,base
buy_trade_count,base
sell_trade_count,base
trade_volume,base
buy_trade_volume,base
sell_trade_volume,base
signed_trade_volume,base
avg_trade_size,base
trade_imbalance,base
trade_intensity_per_second,base
trade_count_rolling_sum_5e,base
trade_count_rolling_sum_20e,base
trade_count_rolling_sum_50e,base
trade_volume_rolling_sum_5e,base
trade_volume_rolling_sum_20e,base
trade_volume_rolling_sum_50e,base
signed_trade_volume_rolling_sum_5e,base
signed_trade_volume_rolling_sum_20e,base
signed_trade_volume_rolling_sum_50e,base
trade_imbalance_rolling_5e,base
trade_imbalance_rolling_20e,base
trade_imbalance_rolling_50e,base
trade_intensity_rolling_mean_20e,base
trade_intensity_rolling_mean_50e,base
mid_return_5e_bps,temporal_addition
mid_return_20e_bps,temporal_addition
imbalance_1_delta_5e,temporal_addition
imbalance_1_delta_20e,temporal_addition
imbalance_5_delta_5e,temporal_addition
imbalance_5_delta_20e,temporal_addition
microprice_deviation_bps_delta_5e,temporal_addition
microprice_deviation_bps_delta_20e,temporal_addition
spread_bps_delta_5e,temporal_addition
trade_imbalance_delta_5e,temporal_addition
trade_imbalance_delta_20e,temporal_addition
trade_intensity_delta_20e,temporal_addition
