fold,validation_batch,model,model_family,n_signals,n_signal_runs,signal_run_coverage,directional_precision,positive_net_signal_share,mean_signed_return_bps,median_signed_return_bps,mean_net_return_bps,median_net_return_bps,total_net_return_bps
fold_1_tue_to_wed,weekday_active_wed_day29,two_stage_primary_0p75_0p65,two_stage,16,12,0.3333333333333333,0.625,0.625,1.2739969573558745,1.4423475731656366,0.2739969573558746,0.44234757316563655,4.3839513176939935
fold_1_tue_to_wed,weekday_active_wed_day29,two_stage_sensitivity_0p65_0p65,two_stage,46,17,0.4722222222222222,0.5652173913043478,0.5217391304347826,1.102231667698647,1.1531313283413835,0.10223166769864699,0.15313132834138354,4.7026567141377615
fold_1_tue_to_wed,weekday_active_wed_day29,direct_multiclass_base,direct_multiclass,1651,36,1.0,0.5517867958812841,0.337976983646275,0.36689486797185283,0.20956604514177357,-0.6331051320281472,-0.7904339548582264,-1045.256572978471
fold_1_tue_to_wed,weekday_active_wed_day29,direct_multiclass_temporal,direct_multiclass,1655,36,1.0,0.545619335347432,0.3365558912386707,0.37142910597869266,0.19426355898910508,-0.6285708940213075,-0.8057364410108949,-1040.284829605264
fold_2_tue_wed_to_thu,weekday_active_thu_day30,two_stage_primary_0p75_0p65,two_stage,12,8,0.23529411764705882,0.5,0.5,1.318613422428931,0.6037246807932828,0.3186134224289308,-0.3962753192067172,3.82336106914717
fold_2_tue_wed_to_thu,weekday_active_thu_day30,two_stage_sensitivity_0p65_0p65,two_stage,61,20,0.5882352941176471,0.6885245901639344,0.5573770491803278,1.722627003814946,1.3831467542557707,0.7226270038149459,0.3831467542557707,44.0802472327117
fold_2_tue_wed_to_thu,weekday_active_thu_day30,direct_multiclass_base,direct_multiclass,1497,34,1.0,0.5784903139612558,0.3406813627254509,0.46414494971242354,0.3179142283304959,-0.5358550502875765,-0.6820857716695041,-802.175010280502
fold_2_tue_wed_to_thu,weekday_active_thu_day30,direct_multiclass_temporal,direct_multiclass,1509,34,1.0,0.5772034459907224,0.3412856196156395,0.4442760829099283,0.30303972770928667,-0.5557239170900717,-0.6969602722907133,-838.5873908889182
fold_3_tue_wed_thu_to_fri,weekday_active_fri_day39,two_stage_primary_0p75_0p65,two_stage,41,18,0.5,0.6585365853658537,0.43902439024390244,0.6109647278773612,0.8223105503235573,-0.3890352721226389,-0.17768944967644273,-15.950446157028194
fold_3_tue_wed_thu_to_fri,weekday_active_fri_day39,two_stage_sensitivity_0p65_0p65,two_stage,118,31,0.8611111111111112,0.635593220338983,0.423728813559322,0.785578333724415,0.6648922117918898,-0.2144216662755851,-0.33510778820811016,-25.30175662051904
fold_3_tue_wed_thu_to_fri,weekday_active_fri_day39,direct_multiclass_base,direct_multiclass,1711,36,1.0,0.6113383985973115,0.3705435417884278,0.5772174845894823,0.5026550396269869,-0.42278251541051765,-0.4973449603730131,-723.3808838673957
fold_3_tue_wed_thu_to_fri,weekday_active_fri_day39,direct_multiclass_temporal,direct_multiclass,1716,36,1.0,0.6043123543123543,0.3723776223776224,0.5304776376649495,0.45992382041504243,-0.4695223623350506,-0.5400761795849576,-805.7003737669469
