run_name,row_in_run,future_return_bps,signal_direction,fold,model,signed_return_bps,net_return_bps,direction_correct,net_profitable
20260708_185955,1967,2.0989289811224054,1,fold_1_tue_to_wed,two_stage_primary_0p75_0p65,2.0989289811224054,1.0989289811224054,True,True
20260708_190508,2639,9.341127824218365,-1,fold_1_tue_to_wed,two_stage_primary_0p75_0p65,-9.341127824218365,-10.341127824218365,False,False
20260708_190508,2692,-5.012099142865933,-1,fold_1_tue_to_wed,two_stage_primary_0p75_0p65,5.012099142865933,4.012099142865933,True,True
20260708_191023,1742,1.4170703841154264,1,fold_1_tue_to_wed,two_stage_primary_0p75_0p65,1.4170703841154264,0.4170703841154264,True,True
20260708_191538,890,-3.718184265129043,-1,fold_1_tue_to_wed,two_stage_primary_0p75_0p65,3.718184265129043,2.718184265129043,True,True
20260708_192052,470,-0.9980304994894329,1,fold_1_tue_to_wed,two_stage_primary_0p75_0p65,-0.9980304994894329,-1.998030499489433,False,False
20260708_194153,2187,-10.981949785702216,-1,fold_1_tue_to_wed,two_stage_primary_0p75_0p65,10.981949785702216,9.981949785702216,True,True
20260708_195223,811,-1.8168223212366996,-1,fold_1_tue_to_wed,two_stage_primary_0p75_0p65,1.8168223212366996,0.8168223212366996,True,True
20260708_195223,1179,0.8550393681105994,-1,fold_1_tue_to_wed,two_stage_primary_0p75_0p65,-0.8550393681105994,-1.8550393681105994,False,False
20260708_195223,1263,-1.4676247622158467,-1,fold_1_tue_to_wed,two_stage_primary_0p75_0p65,1.4676247622158467,0.4676247622158467,True,True
20260708_201318,621,0.0,1,fold_1_tue_to_wed,two_stage_primary_0p75_0p65,0.0,-1.0,False,False
20260708_202345,1356,-2.468925245978637,-1,fold_1_tue_to_wed,two_stage_primary_0p75_0p65,2.468925245978637,1.468925245978637,True,True
20260708_213144,2033,-1.1316542279005137,-1,fold_1_tue_to_wed,two_stage_primary_0p75_0p65,1.1316542279005137,0.13165422790051373,True,True
20260708_213658,1596,1.5198956769491012,-1,fold_1_tue_to_wed,two_stage_primary_0p75_0p65,-1.5198956769491012,-2.519895676949101,False,False
20260708_213658,2280,-4.77251162292025,-1,fold_1_tue_to_wed,two_stage_primary_0p75_0p65,4.77251162292025,3.77251162292025,True,True
20260708_215758,873,-1.7877260527254801,1,fold_1_tue_to_wed,two_stage_primary_0p75_0p65,-1.7877260527254801,-2.78772605272548,False,False
20260708_185955,304,0.8235217179630716,-1,fold_1_tue_to_wed,two_stage_sensitivity_0p65_0p65,-0.8235217179630716,-1.8235217179630716,False,False
20260708_185955,624,-2.733438908044672,-1,fold_1_tue_to_wed,two_stage_sensitivity_0p65_0p65,2.733438908044672,1.733438908044672,True,True
20260708_185955,1086,3.341018752476277,-1,fold_1_tue_to_wed,two_stage_sensitivity_0p65_0p65,-3.341018752476277,-4.341018752476277,False,False
20260708_185955,1240,-3.9544735183438817,1,fold_1_tue_to_wed,two_stage_sensitivity_0p65_0p65,-3.9544735183438817,-4.954473518343882,False,False
20260708_185955,1967,2.0989289811224054,1,fold_1_tue_to_wed,two_stage_sensitivity_0p65_0p65,2.0989289811224054,1.0989289811224054,True,True
20260708_190508,912,0.6941389650072516,-1,fold_1_tue_to_wed,two_stage_sensitivity_0p65_0p65,-0.6941389650072516,-1.6941389650072516,False,False
20260708_190508,1731,0.9687865060947765,-1,fold_1_tue_to_wed,two_stage_sensitivity_0p65_0p65,-0.9687865060947765,-1.9687865060947765,False,False
20260708_190508,2639,9.341127824218365,-1,fold_1_tue_to_wed,two_stage_sensitivity_0p65_0p65,-9.341127824218365,-10.341127824218365,False,False
20260708_190508,2692,-5.012099142865933,-1,fold_1_tue_to_wed,two_stage_sensitivity_0p65_0p65,5.012099142865933,4.012099142865933,True,True
20260708_191023,20,-4.2077601737910975,-1,fold_1_tue_to_wed,two_stage_sensitivity_0p65_0p65,4.2077601737910975,3.2077601737910975,True,True
20260708_191023,1742,1.4170703841154264,1,fold_1_tue_to_wed,two_stage_sensitivity_0p65_0p65,1.4170703841154264,0.4170703841154264,True,True
20260708_191023,2478,-2.2879294802125028,-1,fold_1_tue_to_wed,two_stage_sensitivity_0p65_0p65,2.2879294802125028,1.2879294802125028,True,True
20260708_191023,2838,-0.44373876534109513,-1,fold_1_tue_to_wed,two_stage_sensitivity_0p65_0p65,0.44373876534109513,-0.5562612346589049,True,False
20260708_191538,292,0.145331116763181,-1,fold_1_tue_to_wed,two_stage_sensitivity_0p65_0p65,-0.145331116763181,-1.145331116763181,False,False
20260708_191538,542,-6.804463792898785,-1,fold_1_tue_to_wed,two_stage_sensitivity_0p65_0p65,6.804463792898785,5.804463792898785,True,True
20260708_191538,890,-3.718184265129043,-1,fold_1_tue_to_wed,two_stage_sensitivity_0p65_0p65,3.718184265129043,2.718184265129043,True,True
20260708_192052,70,-0.3060027266443832,-1,fold_1_tue_to_wed,two_stage_sensitivity_0p65_0p65,0.3060027266443832,-0.6939972733556168,True,False
20260708_192052,284,-3.3311474354580373,-1,fold_1_tue_to_wed,two_stage_sensitivity_0p65_0p65,3.3311474354580373,2.3311474354580373,True,True
20260708_192052,470,-0.9980304994894329,1,fold_1_tue_to_wed,two_stage_sensitivity_0p65_0p65,-0.9980304994894329,-1.998030499489433,False,False
20260708_192052,572,1.2072949590602455,1,fold_1_tue_to_wed,two_stage_sensitivity_0p65_0p65,1.2072949590602455,0.20729495906024553,True,True
20260708_192607,580,-4.55759836345937,-1,fold_1_tue_to_wed,two_stage_sensitivity_0p65_0p65,4.55759836345937,3.5575983634593698,True,True
20260708_193122,1795,2.774970092436213,-1,fold_1_tue_to_wed,two_stage_sensitivity_0p65_0p65,-2.774970092436213,-3.774970092436213,False,False
20260708_194153,2187,-10.981949785702216,-1,fold_1_tue_to_wed,two_stage_sensitivity_0p65_0p65,10.981949785702216,9.981949785702216,True,True
