fold,run_name,n_signals,mean_net_bps,median_net_bps,total_net_bps,model
fold_2_tue_wed_to_thu,20260709_201919,7,2.282864243466164,2.0319265035605447,15.98004970426315,two_stage_sensitivity_0p65_0p65
fold_2_tue_wed_to_thu,20260709_190555,7,1.6503517159121819,1.4745819978910788,11.552462011385273,two_stage_sensitivity_0p65_0p65
fold_3_tue_wed_thu_to_fri,20260717_190514,6,1.7307951734441744,1.0514088584333567,10.384771040665047,two_stage_sensitivity_0p65_0p65
fold_1_tue_to_wed,20260708_194153,1,9.981949785702216,9.981949785702216,9.981949785702216,two_stage_sensitivity_0p65_0p65
fold_3_tue_wed_thu_to_fri,20260717_202902,2,4.818848881755101,4.818848881755101,9.637697763510202,two_stage_sensitivity_0p65_0p65
fold_1_tue_to_wed,20260708_213658,4,2.134842410139893,1.707253151754685,8.539369640559572,two_stage_sensitivity_0p65_0p65
fold_2_tue_wed_to_thu,20260709_202431,2,4.107518457667104,4.107518457667104,8.215036915334208,two_stage_sensitivity_0p65_0p65
fold_2_tue_wed_to_thu,20260709_205559,2,3.8312085195323373,3.8312085195323373,7.662417039064675,two_stage_sensitivity_0p65_0p65
fold_1_tue_to_wed,20260708_191538,3,2.4591056470882156,2.718184265129043,7.377316941264647,two_stage_sensitivity_0p65_0p65
fold_2_tue_wed_to_thu,20260709_211653,3,2.289583718661578,2.424414803346876,6.868751155984734,two_stage_sensitivity_0p65_0p65
fold_3_tue_wed_thu_to_fri,20260717_210027,3,1.985121118725953,3.467150265938802,5.955363356177859,two_stage_sensitivity_0p65_0p65
fold_3_tue_wed_thu_to_fri,20260717_195732,2,2.6503243099855753,2.6503243099855753,5.300648619971151,two_stage_sensitivity_0p65_0p65
fold_3_tue_wed_thu_to_fri,20260717_210541,3,1.7248859428008476,0.7157829204039743,5.174657828402543,two_stage_sensitivity_0p65_0p65
fold_3_tue_wed_thu_to_fri,20260717_194705,2,2.5849916938118787,2.5849916938118787,5.169983387623757,two_stage_sensitivity_0p65_0p65
fold_3_tue_wed_thu_to_fri,20260717_195219,1,4.757357436203536,4.757357436203536,4.757357436203536,two_stage_sensitivity_0p65_0p65
fold_1_tue_to_wed,20260708_202345,2,2.273781669172471,2.273781669172471,4.547563338344942,two_stage_sensitivity_0p65_0p65
fold_1_tue_to_wed,20260708_191023,4,1.0891247008650304,0.8524999321639646,4.356498803460122,two_stage_sensitivity_0p65_0p65
fold_3_tue_wed_thu_to_fri,20260717_203415,2,1.9093551345971136,1.9093551345971136,3.818710269194227,two_stage_sensitivity_0p65_0p65
fold_1_tue_to_wed,20260708_192607,1,3.5575983634593698,3.5575983634593698,3.5575983634593698,two_stage_sensitivity_0p65_0p65
fold_2_tue_wed_to_thu,20260709_200334,3,1.1118585917756503,1.0592836069144305,3.335575775326951,two_stage_sensitivity_0p65_0p65
fold_2_tue_wed_to_thu,20260709_201404,2,1.6112122561045004,1.6112122561045004,3.2224245122090007,two_stage_sensitivity_0p65_0p65
fold_2_tue_wed_to_thu,20260709_203501,2,1.5045057873501753,1.5045057873501753,3.0090115747003505,two_stage_sensitivity_0p65_0p65
fold_3_tue_wed_thu_to_fri,20260717_220315,2,1.4357139895803126,1.4357139895803126,2.871427979160625,two_stage_sensitivity_0p65_0p65
fold_2_tue_wed_to_thu,20260709_192139,2,1.208637476985853,1.208637476985853,2.417274953971706,two_stage_sensitivity_0p65_0p65
fold_1_tue_to_wed,20260708_213144,1,2.1760655578727537,2.1760655578727537,2.1760655578727537,two_stage_sensitivity_0p65_0p65
fold_2_tue_wed_to_thu,20260709_193210,3,0.7069228807202,0.783878358609936,2.1207686421606002,two_stage_sensitivity_0p65_0p65
fold_3_tue_wed_thu_to_fri,20260717_202347,2,0.6779474061212607,0.6779474061212607,1.3558948122425214,two_stage_sensitivity_0p65_0p65
fold_3_tue_wed_thu_to_fri,20260717_212637,1,0.6713377403032581,0.6713377403032581,0.6713377403032581,two_stage_sensitivity_0p65_0p65
fold_3_tue_wed_thu_to_fri,20260717_211055,1,0.543670517705209,0.543670517705209,0.543670517705209,two_stage_sensitivity_0p65_0p65
fold_2_tue_wed_to_thu,20260709_194237,3,0.14361443659320253,0.6359034753410384,0.4308433097796076,two_stage_sensitivity_0p65_0p65
fold_3_tue_wed_thu_to_fri,20260717_214215,2,0.1855132533283852,0.1855132533283852,0.3710265066567704,two_stage_sensitivity_0p65_0p65
fold_3_tue_wed_thu_to_fri,20260717_203929,1,-0.0346428692955527,-0.0346428692955527,-0.0346428692955527,two_stage_sensitivity_0p65_0p65
fold_1_tue_to_wed,20260708_192052,4,-0.03839634458169173,-0.24335115714768563,-0.1535853783267669,two_stage_sensitivity_0p65_0p65
fold_3_tue_wed_thu_to_fri,20260717_191545,5,-0.039718291638845306,0.3114101372013742,-0.19859145819422652,two_stage_sensitivity_0p65_0p65
