collection_batch,run_number,status,error,run_name,run_dir,collection_seconds_requested,started_or_logged_at_utc,snapshot_exists,depth_events,trade_events,meta_symbol,meta_collection_seconds,meta_started_at,meta_finished_at
fresh_oos_day20,1,success,,20260701_191230,data\raw\BTCUSDT\20260701_191230,300,2026-07-01T14:17:40.748021+00:00,True,2927,0,BTCUSDT,300,,
fresh_oos_day20,2,success,,20260701_191745,data\raw\BTCUSDT\20260701_191745,300,2026-07-01T14:22:53.071774+00:00,True,2927,0,BTCUSDT,300,,
fresh_oos_day20,3,success,,20260701_192258,data\raw\BTCUSDT\20260701_192258,300,2026-07-01T14:28:06.461569+00:00,True,2927,0,BTCUSDT,300,,
fresh_oos_day20,4,success,,20260701_192811,data\raw\BTCUSDT\20260701_192811,300,2026-07-01T14:33:20.658109+00:00,True,2927,0,BTCUSDT,300,,
fresh_oos_day20,5,success,,20260701_193325,data\raw\BTCUSDT\20260701_193325,300,2026-07-01T14:38:31.543772+00:00,True,2928,0,BTCUSDT,300,,
fresh_oos_day20,6,success,,20260701_193836,data\raw\BTCUSDT\20260701_193836,300,2026-07-01T14:43:46.706369+00:00,True,2927,0,BTCUSDT,300,,
fresh_oos_day20,7,success,,20260701_194351,data\raw\BTCUSDT\20260701_194351,300,2026-07-01T14:49:00.811142+00:00,True,2927,0,BTCUSDT,300,,
fresh_oos_day20,8,success,,20260701_194906,data\raw\BTCUSDT\20260701_194906,300,2026-07-01T14:54:11.582644+00:00,True,2927,0,BTCUSDT,300,,
fresh_oos_day20,9,success,,20260701_195416,data\raw\BTCUSDT\20260701_195416,300,2026-07-01T14:59:23.913186+00:00,True,2928,0,BTCUSDT,300,,
fresh_oos_day20,10,success,,20260701_195929,data\raw\BTCUSDT\20260701_195929,300,2026-07-01T15:04:37.829145+00:00,True,2927,0,BTCUSDT,300,,
fresh_oos_day20,11,success,,20260701_200443,data\raw\BTCUSDT\20260701_200443,300,2026-07-01T15:09:49.761301+00:00,True,2928,0,BTCUSDT,300,,
fresh_oos_day20,12,success,,20260701_200954,data\raw\BTCUSDT\20260701_200954,300,2026-07-01T15:15:02.733060+00:00,True,2927,0,BTCUSDT,300,,
