evaluation_method,model,algorithm,feature_set,threshold,role,n_features,run_name,row_in_run,event_time,target_horizon,target_label,signal,predicted_proba_up,future_mid_return_bps,signed_return_bps,is_correct_signal,is_positive_signed_return,cooldown_trade_id
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191230,11,1782915154832,50,up,up,0.9517334043657991,0.7864404283930426,0.7864404283930426,True,True,1
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191230,62,1782915160038,50,up,up,0.9370572960112455,0.7361842066733182,0.7361842066733182,True,True,2
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191230,113,1782915165242,50,down,up,0.8888130540021137,-0.9703532002003357,-0.9703532002003357,False,False,3
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191230,169,1782915170954,50,up,up,0.8771271128500426,1.9074533740570665,1.9074533740570665,True,True,4
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191230,220,1782915176156,50,up,up,0.9514273232839751,1.4051534000958377,1.4051534000958377,True,True,5
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191230,271,1782915181358,50,down,up,0.9413504958021064,-0.4014018961207011,-0.4014018961207011,False,False,6
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191230,322,1782915186560,50,down,up,0.92297823453473,-2.6761200607816615,-2.6761200607816615,False,False,7
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191230,376,1782915192068,50,up,up,0.9192505196767738,0.25095971176503085,0.25095971176503085,True,True,8
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191230,427,1782915197270,50,up,up,0.8901884201142163,2.158199359063584,2.158199359063584,True,True,9
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191230,478,1782915202472,50,up,up,0.8819759518598718,5.519783825194136,5.519783825194136,True,True,10
