evaluation_method,model,cost_scenario,round_trip_cost_bps,n_signals_or_trades,gross_mean_signed_return_bps,net_mean_signed_return_bps,net_median_signed_return_bps,net_positive_share
cooldown_first_signal,hist_gradient_boosting_dynamic_full,no_cost,0.0,651,0.11823656206577456,0.11823656206577456,0.033568339685707826,0.5099846390168971
cooldown_first_signal,hist_gradient_boosting_dynamic_full,very_low_cost,1.0,651,0.11823656206577456,-0.8817634379342255,-0.9664316603142922,0.35176651305683565
cooldown_first_signal,hist_gradient_boosting_dynamic_full,low_cost,2.0,651,0.11823656206577456,-1.8817634379342256,-1.9664316603142922,0.22580645161290322
cooldown_first_signal,hist_gradient_boosting_dynamic_full,medium_cost,3.0,651,0.11823656206577456,-2.8817634379342256,-2.966431660314292,0.13978494623655913
cooldown_first_signal,hist_gradient_boosting_dynamic_full,high_cost,4.0,651,0.11823656206577456,-3.8817634379342256,-3.966431660314292,0.0890937019969278
cooldown_first_signal,hist_gradient_boosting_dynamic_full,expensive_taker_like,5.0,651,0.11823656206577456,-4.881763437934226,-4.966431660314292,0.05222734254992319
cooldown_first_signal,hist_gradient_boosting_dynamic_full,very_expensive_round_trip,9.0,651,0.11823656206577456,-8.881763437934223,-8.966431660314292,0.010752688172043012
cooldown_first_signal,lightgbm_dynamic_compact,no_cost,0.0,621,0.16400893217207274,0.16400893217207274,0.06681114576911895,0.5088566827697263
cooldown_first_signal,lightgbm_dynamic_compact,very_low_cost,1.0,621,0.16400893217207274,-0.8359910678279273,-0.933188854230881,0.355877616747182
cooldown_first_signal,lightgbm_dynamic_compact,low_cost,2.0,621,0.16400893217207274,-1.8359910678279272,-1.933188854230881,0.23510466988727857
cooldown_first_signal,lightgbm_dynamic_compact,medium_cost,3.0,621,0.16400893217207274,-2.835991067827927,-2.933188854230881,0.15458937198067632
cooldown_first_signal,lightgbm_dynamic_compact,high_cost,4.0,621,0.16400893217207274,-3.8359910678279276,-3.933188854230881,0.10305958132045089
cooldown_first_signal,lightgbm_dynamic_compact,expensive_taker_like,5.0,621,0.16400893217207274,-4.835991067827928,-4.933188854230881,0.0499194847020934
cooldown_first_signal,lightgbm_dynamic_compact,very_expensive_round_trip,9.0,621,0.16400893217207274,-8.835991067827928,-8.933188854230881,0.00644122383252818
cooldown_first_signal,logit_dynamic_compact,no_cost,0.0,398,0.6968272774337645,0.6968272774337645,0.610475356381257,0.6080402010050251
cooldown_first_signal,logit_dynamic_compact,very_low_cost,1.0,398,0.6968272774337645,-0.3031727225662355,-0.38952464361874295,0.4321608040201005
cooldown_first_signal,logit_dynamic_compact,low_cost,2.0,398,0.6968272774337645,-1.3031727225662355,-1.389524643618743,0.314070351758794
cooldown_first_signal,logit_dynamic_compact,medium_cost,3.0,398,0.6968272774337645,-2.3031727225662353,-2.389524643618743,0.1984924623115578
