evaluation_method,model,signal,n_signals_or_trades,precision,mean_signed_return_bps,median_signed_return_bps,positive_signed_return_share,mean_future_return_bps
cooldown_first_signal,hist_gradient_boosting_dynamic_full,up,651,0.5099846390168971,0.11823656206577456,0.033568339685707826,0.5099846390168971,0.11823656206577456
cooldown_first_signal,lightgbm_dynamic_compact,up,621,0.5088566827697263,0.16400893217207274,0.06681114576911895,0.5088566827697263,0.16400893217207274
cooldown_first_signal,logit_dynamic_compact,down,195,0.6461538461538462,0.722194010022569,0.6385068349623602,0.6461538461538462,-0.722194010022569
cooldown_first_signal,logit_dynamic_compact,up,203,0.5714285714285714,0.6724602190356517,0.5028338879875527,0.5714285714285714,0.6724602190356517
cooldown_first_signal,xgboost_dynamic_full,up,651,0.5145929339477726,0.13338649150146556,0.05042309175751214,0.5145929339477726,0.13338649150146556
raw_selected_signal,hist_gradient_boosting_dynamic_full,up,26108,0.4972422246054849,0.060765170767476485,-0.016750376673480005,0.4972422246054849,0.060765170767476485
raw_selected_signal,lightgbm_dynamic_compact,up,18670,0.5189608998393144,0.16821457307596582,0.10074526308301301,0.5189608998393144,0.16821457307596582
raw_selected_signal,logit_dynamic_compact,down,994,0.5573440643863179,0.28163667943593024,0.4515469245047754,0.5573440643863179,-0.28163667943593024
raw_selected_signal,logit_dynamic_compact,up,1250,0.6128,0.9069376011228264,0.7630723839635589,0.6128,0.9069376011228264
raw_selected_signal,xgboost_dynamic_full,up,25878,0.5058737151248165,0.12677527534020772,0.03339547675063059,0.5058737151248165,0.12677527534020772
