evaluation_method,model,cost_scenario,round_trip_cost_bps,n_signals_or_trades,gross_mean_signed_return_bps,net_mean_signed_return_bps,net_median_signed_return_bps,net_positive_share
cooldown_first_signal,lightgbm_dynamic_compact,no_cost,0.0,127,0.2062668331314925,0.2062668331314925,0.08408795263425972,0.5275590551181102
cooldown_first_signal,lightgbm_dynamic_compact,very_low_cost,1.0,127,0.2062668331314925,-0.7937331668685074,-0.9159120473657403,0.3858267716535433
cooldown_first_signal,lightgbm_dynamic_compact,low_cost,2.0,127,0.2062668331314925,-1.7937331668685077,-1.9159120473657403,0.2992125984251969
cooldown_first_signal,lightgbm_dynamic_compact,medium_cost,3.0,127,0.2062668331314925,-2.793733166868507,-2.9159120473657403,0.2204724409448819
cooldown_first_signal,lightgbm_dynamic_compact,high_cost,4.0,127,0.2062668331314925,-3.793733166868507,-3.9159120473657403,0.11023622047244094
cooldown_first_signal,lightgbm_dynamic_compact,expensive_taker_like,5.0,127,0.2062668331314925,-4.793733166868507,-4.91591204736574,0.07086614173228346
cooldown_first_signal,lightgbm_dynamic_compact,very_expensive_round_trip,9.0,127,0.2062668331314925,-8.79373316686851,-8.91591204736574,0.0
cooldown_first_signal,logit_dynamic_compact,no_cost,0.0,68,0.6530474596713416,0.6530474596713416,0.3817710222875359,0.5882352941176471
cooldown_first_signal,logit_dynamic_compact,very_low_cost,1.0,68,0.6530474596713416,-0.3469525403286584,-0.6182289777124641,0.45588235294117646
cooldown_first_signal,logit_dynamic_compact,low_cost,2.0,68,0.6530474596713416,-1.3469525403286586,-1.618228977712464,0.3382352941176471
cooldown_first_signal,logit_dynamic_compact,medium_cost,3.0,68,0.6530474596713416,-2.3469525403286577,-2.618228977712464,0.22058823529411764
cooldown_first_signal,logit_dynamic_compact,high_cost,4.0,68,0.6530474596713416,-3.3469525403286577,-3.618228977712464,0.10294117647058823
cooldown_first_signal,logit_dynamic_compact,expensive_taker_like,5.0,68,0.6530474596713416,-4.346952540328658,-4.618228977712464,0.07352941176470588
cooldown_first_signal,logit_dynamic_compact,very_expensive_round_trip,9.0,68,0.6530474596713416,-8.346952540328658,-8.618228977712464,0.014705882352941176
cooldown_first_signal,xgboost_dynamic_full,no_cost,0.0,174,0.08259548750933826,0.08259548750933826,-0.025098497918318863,0.4942528735632184
cooldown_first_signal,xgboost_dynamic_full,very_low_cost,1.0,174,0.08259548750933826,-0.9174045124906617,-1.0250984979183189,0.3793103448275862
cooldown_first_signal,xgboost_dynamic_full,low_cost,2.0,174,0.08259548750933826,-1.917404512490662,-2.025098497918319,0.2413793103448276
cooldown_first_signal,xgboost_dynamic_full,medium_cost,3.0,174,0.08259548750933826,-2.917404512490662,-3.025098497918319,0.14942528735632185
cooldown_first_signal,xgboost_dynamic_full,high_cost,4.0,174,0.08259548750933826,-3.917404512490662,-4.025098497918319,0.09195402298850575
cooldown_first_signal,xgboost_dynamic_full,expensive_taker_like,5.0,174,0.08259548750933826,-4.917404512490662,-5.025098497918319,0.08045977011494253
cooldown_first_signal,xgboost_dynamic_full,very_expensive_round_trip,9.0,174,0.08259548750933826,-8.917404512490661,-9.025098497918318,0.0
raw_selected_signal,lightgbm_dynamic_compact,no_cost,0.0,2738,0.09011633145538767,0.09011633145538767,0.1252664874085152,0.5171658144631117
raw_selected_signal,lightgbm_dynamic_compact,very_low_cost,1.0,2738,0.09011633145538767,-0.9098836685446122,-0.8747335125914848,0.3995617238860482
raw_selected_signal,lightgbm_dynamic_compact,low_cost,2.0,2738,0.09011633145538767,-1.9098836685446121,-1.8747335125914848,0.3046018991964938
raw_selected_signal,lightgbm_dynamic_compact,medium_cost,3.0,2738,0.09011633145538767,-2.9098836685446123,-2.874733512591485,0.23484295105916728
raw_selected_signal,lightgbm_dynamic_compact,high_cost,4.0,2738,0.09011633145538767,-3.909883668544612,-3.874733512591485,0.13842220598977356
raw_selected_signal,lightgbm_dynamic_compact,expensive_taker_like,5.0,2738,0.09011633145538767,-4.909883668544612,-4.874733512591485,0.0679327976625274
raw_selected_signal,lightgbm_dynamic_compact,very_expensive_round_trip,9.0,2738,0.09011633145538767,-8.90988366854461,-8.874733512591485,0.004017531044558071
raw_selected_signal,logit_dynamic_compact,no_cost,0.0,554,0.8125868513777966,0.8125868513777966,0.7223963693175905,0.6010830324909747
raw_selected_signal,logit_dynamic_compact,very_low_cost,1.0,554,0.8125868513777966,-0.1874131486222034,-0.27760363068240945,0.45306859205776173
raw_selected_signal,logit_dynamic_compact,low_cost,2.0,554,0.8125868513777966,-1.1874131486222035,-1.2776036306824095,0.3285198555956679
raw_selected_signal,logit_dynamic_compact,medium_cost,3.0,554,0.8125868513777966,-2.1874131486222033,-2.2776036306824095,0.2490974729241877
raw_selected_signal,logit_dynamic_compact,high_cost,4.0,554,0.8125868513777966,-3.187413148622203,-3.2776036306824095,0.16787003610108303
raw_selected_signal,logit_dynamic_compact,expensive_taker_like,5.0,554,0.8125868513777966,-4.187413148622203,-4.2776036306824095,0.10649819494584838
raw_selected_signal,logit_dynamic_compact,very_expensive_round_trip,9.0,554,0.8125868513777966,-8.187413148622204,-8.27760363068241,0.0018050541516245488
raw_selected_signal,xgboost_dynamic_full,no_cost,0.0,5915,-0.05150846633817066,-0.05150846633817066,0.033407414273822766,0.504480135249366
raw_selected_signal,xgboost_dynamic_full,very_low_cost,1.0,5915,-0.05150846633817066,-1.0515084663381704,-0.9665925857261772,0.3732882502113271
raw_selected_signal,xgboost_dynamic_full,low_cost,2.0,5915,-0.05150846633817066,-2.051508466338171,-1.9665925857261772,0.24209636517328825
