fold,model,algorithm,feature_set,threshold,validation_raw_signals,validation_cooldown_trades,validation_precision,validation_mean_signed_return_bps,validation_positive_signed_return_share,meets_min_trades,selection_reason
1,logit_dynamic_compact,logit,dynamic_compact,0.6,867,85,0.7058823529411765,0.7039292502222891,0.7058823529411765,True,best_validation_edge_with_min_trades
1,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.65,356,60,0.65,0.7080168341507078,0.65,True,best_validation_edge_with_min_trades
1,xgboost_dynamic_full,xgboost,dynamic_full,0.7,823,75,0.68,0.8591910492290615,0.68,True,best_validation_edge_with_min_trades
2,logit_dynamic_compact,logit,dynamic_compact,0.7,46,9,0.7777777777777778,1.393088735310731,0.7777777777777778,True,best_validation_edge_with_min_trades
2,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.75,389,30,0.7,1.1150845721253542,0.7,True,best_validation_edge_with_min_trades
2,xgboost_dynamic_full,xgboost,dynamic_full,0.85,213,18,0.7777777777777778,1.6967897734974462,0.7777777777777778,True,best_validation_edge_with_min_trades
3,logit_dynamic_compact,logit,dynamic_compact,0.75,21,6,0.8333333333333334,1.8598207910093996,0.8333333333333334,True,best_validation_edge_with_min_trades
3,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.8,130,23,0.6521739130434783,1.1781332922813552,0.6521739130434783,True,best_validation_edge_with_min_trades
3,xgboost_dynamic_full,xgboost,dynamic_full,0.85,366,26,0.5769230769230769,0.7820585537245877,0.5769230769230769,True,best_validation_edge_with_min_trades
4,logit_dynamic_compact,logit,dynamic_compact,0.7,49,6,0.6666666666666666,2.135603870451752,0.6666666666666666,True,best_validation_edge_with_min_trades
4,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.85,9,5,0.8,3.0802465981927263,0.8,True,best_validation_edge_with_min_trades
4,xgboost_dynamic_full,xgboost,dynamic_full,0.75,79,8,0.75,1.9996649449117998,0.75,True,best_validation_edge_with_min_trades
5,logit_dynamic_compact,logit,dynamic_compact,0.7,11,7,0.8571428571428571,1.7678373033851764,0.8571428571428571,True,best_validation_edge_with_min_trades
5,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.75,84,17,0.7647058823529411,1.232723636624705,0.7647058823529411,True,best_validation_edge_with_min_trades
5,xgboost_dynamic_full,xgboost,dynamic_full,0.75,90,15,0.7333333333333333,1.4632639999013393,0.7333333333333333,True,best_validation_edge_with_min_trades
6,logit_dynamic_compact,logit,dynamic_compact,0.7,28,9,0.8888888888888888,2.964787678942926,0.8888888888888888,True,best_validation_edge_with_min_trades
6,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.8,107,28,0.7142857142857143,1.2635939241165128,0.7142857142857143,True,best_validation_edge_with_min_trades
6,xgboost_dynamic_full,xgboost,dynamic_full,0.6,3927,108,0.5277777777777778,0.521247328103958,0.5277777777777778,True,best_validation_edge_with_min_trades
