fold,split,run_name
1,train,20260701_191230
1,train,20260701_191745
1,train,20260701_192258
1,train,20260701_192811
1,validation,20260701_193325
1,validation,20260701_193836
1,test,20260701_194351
2,train,20260701_191745
2,train,20260701_192258
2,train,20260701_192811
2,train,20260701_193325
2,validation,20260701_193836
2,validation,20260701_194351
2,test,20260701_194906
3,train,20260701_192258
3,train,20260701_192811
3,train,20260701_193325
3,train,20260701_193836
3,validation,20260701_194351
3,validation,20260701_194906
3,test,20260701_195416
4,train,20260701_192811
4,train,20260701_193325
4,train,20260701_193836
4,train,20260701_194351
4,validation,20260701_194906
4,validation,20260701_195416
4,test,20260701_195929
5,train,20260701_193325
5,train,20260701_193836
5,train,20260701_194351
5,train,20260701_194906
5,validation,20260701_195416
5,validation,20260701_195929
5,test,20260701_200443
6,train,20260701_193836
6,train,20260701_194351
6,train,20260701_194906
6,train,20260701_195416
6,validation,20260701_195929
6,validation,20260701_200443
6,test,20260701_200954
