fold,model,algorithm,feature_set,threshold,validation_raw_signals,validation_cooldown_trades,validation_precision,validation_mean_signed_return_bps,validation_positive_signed_return_share,meets_min_trades
1,logit_dynamic_compact,logit,dynamic_compact,0.55,3036,107,0.5794392523364486,0.6700872631094573,0.5794392523364486,True
1,logit_dynamic_compact,logit,dynamic_compact,0.6,867,85,0.7058823529411765,0.7039292502222891,0.7058823529411765,True
1,logit_dynamic_compact,logit,dynamic_compact,0.65,71,28,0.7142857142857143,0.4565383573341766,0.7142857142857143,True
1,logit_dynamic_compact,logit,dynamic_compact,0.7,8,4,0.5,1.058260140471834,0.5,False
1,logit_dynamic_compact,logit,dynamic_compact,0.75,1,1,0.0,-4.636430754654253,0.0,False
1,logit_dynamic_compact,logit,dynamic_compact,0.8,1,1,0.0,-4.636430754654253,0.0,False
1,logit_dynamic_compact,logit,dynamic_compact,0.85,1,1,0.0,-4.636430754654253,0.0,False
1,logit_dynamic_compact,logit,dynamic_compact,0.9,0,0,,,,False
1,logit_dynamic_compact,logit,dynamic_compact,0.95,0,0,,,,False
1,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.55,2932,103,0.5825242718446602,0.3732846606296912,0.5825242718446602,True
1,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.6,1757,93,0.5806451612903226,0.5598259179012748,0.5806451612903226,True
1,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.65,356,60,0.65,0.7080168341507078,0.65,True
1,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.7,3,2,0.5,-3.048645311596321,0.5,False
1,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.75,0,0,,,,False
1,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.8,0,0,,,,False
1,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.85,0,0,,,,False
1,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.9,0,0,,,,False
1,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.95,0,0,,,,False
1,xgboost_dynamic_full,xgboost,dynamic_full,0.55,5154,111,0.5405405405405406,0.260269053067808,0.5405405405405406,True
1,xgboost_dynamic_full,xgboost,dynamic_full,0.6,3673,108,0.5370370370370371,0.10156917313323913,0.5370370370370371,True
1,xgboost_dynamic_full,xgboost,dynamic_full,0.65,1852,91,0.5934065934065934,0.5235389030826981,0.5934065934065934,True
1,xgboost_dynamic_full,xgboost,dynamic_full,0.7,823,75,0.68,0.8591910492290615,0.68,True
1,xgboost_dynamic_full,xgboost,dynamic_full,0.75,29,13,0.6153846153846154,0.6027435495354211,0.6153846153846154,True
1,xgboost_dynamic_full,xgboost,dynamic_full,0.8,1,1,1.0,3.5084744766855636,1.0,False
1,xgboost_dynamic_full,xgboost,dynamic_full,0.85,0,0,,,,False
1,xgboost_dynamic_full,xgboost,dynamic_full,0.9,0,0,,,,False
1,xgboost_dynamic_full,xgboost,dynamic_full,0.95,0,0,,,,False
