model,algorithm,feature_set,feature,importance,abs_importance,importance_type
hist_gradient_boosting_dynamic_compact,hist_gradient_boosting,dynamic_compact,,,,not_available
hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,,,,not_available
hist_gradient_boosting_static_full,hist_gradient_boosting,static_full,,,,not_available
lightgbm_dynamic_compact,lightgbm,dynamic_compact,spread_bps_rolling_mean_5e,154.0,154.0,feature_importance
lightgbm_dynamic_compact,lightgbm,dynamic_compact,spread_bps_rolling_mean_10e,114.0,114.0,feature_importance
lightgbm_dynamic_compact,lightgbm,dynamic_compact,mid_return_bps_rolling_mean_10e,30.0,30.0,feature_importance
lightgbm_dynamic_compact,lightgbm,dynamic_compact,mid_return_bps_rolling_std_10e,26.0,26.0,feature_importance
lightgbm_dynamic_compact,lightgbm,dynamic_compact,imbalance_5,10.0,10.0,feature_importance
lightgbm_dynamic_compact,lightgbm,dynamic_compact,imbalance_5_change_10e,10.0,10.0,feature_importance
lightgbm_dynamic_compact,lightgbm,dynamic_compact,microprice_deviation_bps,9.0,9.0,feature_importance
lightgbm_dynamic_compact,lightgbm,dynamic_compact,imbalance_5_rolling_mean_10e,8.0,8.0,feature_importance
lightgbm_dynamic_compact,lightgbm,dynamic_compact,microprice_deviation_bps_change_10e,8.0,8.0,feature_importance
lightgbm_dynamic_compact,lightgbm,dynamic_compact,microprice_deviation_bps_rolling_mean_10e,6.0,6.0,feature_importance
lightgbm_dynamic_compact,lightgbm,dynamic_compact,quote_changed_rolling_sum_10e,6.0,6.0,feature_importance
lightgbm_dynamic_compact,lightgbm,dynamic_compact,quote_changed_rolling_sum_5e,4.0,4.0,feature_importance
lightgbm_dynamic_compact,lightgbm,dynamic_compact,best_bid_qty_change_1e,4.0,4.0,feature_importance
lightgbm_dynamic_compact,lightgbm,dynamic_compact,microprice_deviation_bps_change_1e,3.0,3.0,feature_importance
lightgbm_dynamic_compact,lightgbm,dynamic_compact,spread_bps_change_5e,3.0,3.0,feature_importance
lightgbm_dynamic_compact,lightgbm,dynamic_compact,bid_depth_5_change_1e,3.0,3.0,feature_importance
lightgbm_dynamic_compact,lightgbm,dynamic_compact,imbalance_5_change_5e,1.0,1.0,feature_importance
