model,algorithm,feature_set,n_features,horizon,status,error,accuracy,balanced_accuracy,precision_up,recall_up,f1_up,precision_down,recall_down,f1_down,n_obs,up_share,roc_auc
logit_static_full,logit,static_full,14,50,success,,0.5239018087855297,0.5009451649390291,0.5879345603271984,0.6325632563256326,0.6094329623741388,0.41403508771929826,0.36932707355242567,0.3904052936311001,1548,0.5872093023255814,0.5314650400877334
random_forest_static_full,random_forest,static_full,14,50,success,,0.5406976744186046,0.5164086831218333,0.5995975855130785,0.6556655665566556,0.626379400945875,0.43501805054151627,0.37715179968701096,0.40402347024308466,1548,0.5872093023255814,0.5225625848969873
hist_gradient_boosting_static_full,hist_gradient_boosting,static_full,14,50,success,,0.5219638242894057,0.5255581896217791,0.6128170894526035,0.504950495049505,0.5536791314837153,0.43679599499374216,0.5461658841940532,0.4853963838664812,1548,0.5872093023255814,0.5880518411778579
xgboost_static_full,xgboost,static_full,14,50,success,,0.5,0.4966299446846093,0.5840597758405978,0.5159515951595159,0.5478971962616822,0.40939597315436244,0.47730829420970267,0.4407514450867052,1548,0.5872093023255814,0.5278048931653729
lightgbm_static_full,lightgbm,static_full,14,50,success,,0.501937984496124,0.4945614279737833,0.5823389021479713,0.5368536853685368,0.5586720091585575,0.4070422535211268,0.4522691705790297,0.4284655300222387,1548,0.5872093023255814,0.529059948248346
logit_dynamic_compact,logit,dynamic_compact,30,50,success,,0.5507246376811594,0.5380762221892375,0.6174801362088536,0.6119235095613048,0.6146892655367232,0.45839874411302983,0.4642289348171701,0.46129541864139023,1518,0.5856389986824769,0.5578265355940205
random_forest_dynamic_compact,random_forest,dynamic_compact,30,50,success,,0.5401844532279315,0.5025743006289556,0.5873741994510522,0.7221597300337458,0.6478304742684158,0.4188235294117647,0.28298887122416533,0.3377609108159393,1518,0.5856389986824769,0.5150031921685465
hist_gradient_boosting_dynamic_compact,hist_gradient_boosting,dynamic_compact,30,50,success,,0.5546772068511199,0.5556322550301245,0.6392156862745098,0.5500562429696289,0.5912938331318017,0.46879150066401065,0.56120826709062,0.5108538350217077,1518,0.5856389986824769,0.6082663752881446
xgboost_dynamic_compact,xgboost,dynamic_compact,30,50,success,,0.5533596837944664,0.5233546919512645,0.6023278370514064,0.6985376827896513,0.646875,0.44969199178644764,0.3481717011128776,0.3924731182795699,1518,0.5856389986824769,0.5594628572859236
lightgbm_dynamic_compact,lightgbm,dynamic_compact,30,50,success,,0.5461133069828722,0.5164705167021054,0.5974658869395711,0.6895388076490439,0.6402088772845953,0.43902439024390244,0.34340222575516693,0.3853702051739518,1518,0.5856389986824769,0.5635715448128602
logit_dynamic_full,logit,dynamic_full,42,50,success,,0.546772068511199,0.5235424665716467,0.6035015447991761,0.6591676040494938,0.6301075268817204,0.4460694698354662,0.38791732909379967,0.41496598639455784,1518,0.5856389986824769,0.5561365640105798
random_forest_dynamic_full,random_forest,dynamic_full,42,50,success,,0.5382081686429513,0.5006545286767612,0.5860805860805861,0.7199100112485939,0.6461383139828369,0.4154929577464789,0.28139904610492844,0.3355450236966825,1518,0.5856389986824769,0.5134974185460521
hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,42,50,success,,0.5487483530961792,0.5377838302803564,0.6177829099307159,0.6017997750281214,0.6096866096866097,0.4570552147239264,0.4737678855325914,0.4652615144418423,1518,0.5856389986824769,0.6006722331409686
xgboost_dynamic_full,xgboost,dynamic_full,42,50,success,,0.5197628458498024,0.49164850021728207,0.5795228628230616,0.655793025871766,0.6153034300791557,0.40234375,0.3275039745627981,0.36108676599474143,1518,0.5856389986824769,0.536109059499518
lightgbm_dynamic_full,lightgbm,dynamic_full,42,50,success,,0.5230566534914362,0.4921358200654171,0.5800193986420951,0.672665916760405,0.6229166666666667,0.4024640657084189,0.31160572337042924,0.35125448028673834,1518,0.5856389986824769,0.5339317680679422
