model,algorithm,feature_set,n_features,horizon,threshold,signal_group,n_signals,coverage,precision,mean_future_return_bps,median_future_return_bps,mean_signed_return_bps,median_signed_return_bps,positive_signed_return_share,break_even_round_trip_cost_bps
lightgbm_static_full,lightgbm,static_full,14,50,0.8,both,31,0.020025839793281652,0.967741935483871,5.963916218195554,7.502949030882,6.3603271578918035,7.502949030882,0.967741935483871,6.3603271578918035
xgboost_dynamic_full,xgboost,dynamic_full,42,50,0.8,both,37,0.024374176548089592,0.972972972972973,5.932483617619909,7.502949030882,6.127741828625411,7.502949030882,0.972972972972973,6.127741828625411
lightgbm_dynamic_full,lightgbm,dynamic_full,42,50,0.8,both,35,0.0230566534914361,0.9714285714285714,5.0268683528595295,7.439182660236021,5.491338051979846,7.439182660236021,0.9714285714285714,5.491338051979846
xgboost_static_full,xgboost,static_full,14,50,0.8,both,49,0.03165374677002584,0.9183673469387755,4.805678164281777,7.439182660236021,5.34414367685262,7.439182660236021,0.9183673469387755,5.34414367685262
xgboost_dynamic_full,xgboost,dynamic_full,42,50,0.75,both,119,0.07839262187088274,0.9243697478991597,3.240718196426451,3.0690528822030494,3.589098728114148,3.1760604243480373,0.9243697478991597,3.589098728114148
xgboost_dynamic_compact,xgboost,dynamic_compact,30,50,0.75,both,100,0.06587615283267458,0.81,3.1427330190900715,3.0690528822030494,3.194158535145775,3.0690528822030494,0.81,3.194158535145775
lightgbm_dynamic_compact,lightgbm,dynamic_compact,30,50,0.75,both,101,0.06653491436100131,0.8316831683168316,2.689307672303189,2.130893352825236,3.1508957476078843,2.6808287636770345,0.8316831683168316,3.1508957476078843
hist_gradient_boosting_static_full,hist_gradient_boosting,static_full,14,50,0.9,both,103,0.0665374677002584,0.8737864077669902,3.3459675321496545,3.0690528822030494,3.128070178196758,3.0528950409847155,0.8737864077669902,3.128070178196758
lightgbm_dynamic_full,lightgbm,dynamic_full,42,50,0.75,both,120,0.07905138339920949,0.8416666666666667,2.736984523117019,2.5031390170737744,3.0306015728440987,2.7034343829929197,0.8416666666666667,3.0306015728440987
lightgbm_static_full,lightgbm,static_full,14,50,0.75,both,128,0.082687338501292,0.84375,2.605300064290796,2.6812790993480107,2.972037092968428,2.6812790993480107,0.84375,2.972037092968428
xgboost_static_full,xgboost,static_full,14,50,0.75,both,159,0.10271317829457365,0.8238993710691824,2.8938339273464964,2.6812790993480107,2.8123803165446404,2.6812790993480107,0.8238993710691824,2.8123803165446404
logit_dynamic_full,logit,dynamic_full,42,50,0.8,both,32,0.021080368906455864,0.9375,2.6659747653200867,2.431111516398854,2.6659747653200867,2.431111516398854,0.9375,2.6659747653200867
hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,42,50,0.85,both,134,0.08827404479578392,0.8582089552238806,2.216840338488547,1.6641294613961577,2.5820133518045743,2.343520085436035,0.8582089552238806,2.5820133518045743
lightgbm_static_full,lightgbm,static_full,14,50,0.7,both,250,0.16149870801033592,0.796,2.094351031678405,1.8737375491340025,2.30754314586636,2.4630103558997973,0.796,2.30754314586636
hist_gradient_boosting_dynamic_compact,hist_gradient_boosting,dynamic_compact,30,50,0.85,both,102,0.06719367588932806,0.8235294117647058,2.210833881862478,1.5662806691385533,2.290518447345359,2.004200740099993,0.8235294117647058,2.290518447345359
xgboost_dynamic_full,xgboost,dynamic_full,42,50,0.7,both,248,0.16337285902503293,0.7943548387096774,2.115456068494911,2.059977307193872,2.2102539945013886,2.5031390170737744,0.7943548387096774,2.2102539945013886
xgboost_dynamic_compact,xgboost,dynamic_compact,30,50,0.7,both,232,0.152832674571805,0.7758620689655172,1.8791645500218404,2.0754848396942194,2.2085708145304026,2.5031390170737744,0.7758620689655172,2.2085708145304026
lightgbm_dynamic_compact,lightgbm,dynamic_compact,30,50,0.7,both,224,0.14756258234519104,0.75,1.7249153684004739,1.834047994603294,2.178408679287337,2.5031390170737744,0.75,2.178408679287337
hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,42,50,0.8,both,276,0.18181818181818182,0.8043478260869565,1.8951406216366722,1.826072272061996,2.0907711024276696,2.004200740099993,0.8043478260869565,2.0907711024276696
hist_gradient_boosting_static_full,hist_gradient_boosting,static_full,14,50,0.85,both,229,0.1479328165374677,0.7860262008733624,2.7316087997487397,2.6812790993480107,2.0795512124554207,1.8737375491340025,0.7860262008733624,2.0795512124554207
logit_static_full,logit,static_full,14,50,0.7,both,43,0.027777777777777776,0.8604651162790697,1.75522643582162,2.0342118922300756,2.0596331550009004,2.437931632970347,0.8604651162790697,2.0596331550009004
xgboost_static_full,xgboost,static_full,14,50,0.7,both,280,0.18087855297157623,0.7607142857142857,2.1277415712332597,1.8737375491340025,2.0318465635365466,1.9838501693136834,0.7607142857142857,2.0318465635365466
random_forest_static_full,random_forest,static_full,14,50,0.65,both,40,0.025839793281653745,0.65,2.0082019376818634,1.542921886801274,2.0082019376818634,1.542921886801274,0.65,2.0082019376818634
lightgbm_dynamic_full,lightgbm,dynamic_full,42,50,0.7,both,274,0.18050065876152832,0.7700729927007299,1.8366550097930299,1.81790995717801,1.9343737370179406,1.9859456067355952,0.7700729927007299,1.9343737370179406
logit_dynamic_full,logit,dynamic_full,42,50,0.75,both,48,0.03162055335968379,0.8333333333333334,1.9257062582960411,2.4242913998273607,1.9257062582960411,2.4242913998273607,0.8333333333333334,1.9257062582960411
hist_gradient_boosting_dynamic_compact,hist_gradient_boosting,dynamic_compact,30,50,0.8,both,242,0.15942028985507245,0.743801652892562,1.8996242175353053,1.3649858791031644,1.853661669766143,1.6874444787162712,0.743801652892562,1.853661669766143
logit_dynamic_compact,logit,dynamic_compact,30,50,0.7,both,47,0.030961791831357048,0.6808510638297872,1.7410432268886138,1.2033616594431251,1.8325175550053812,1.5514110972758566,0.6808510638297872,1.8325175550053812
hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,42,50,0.75,both,415,0.2733860342555995,0.7590361445783133,1.4324518928697165,1.2436495137246872,1.757369029790761,1.9223266937684613,0.7590361445783133,1.757369029790761
hist_gradient_boosting_static_full,hist_gradient_boosting,static_full,14,50,0.8,both,332,0.2144702842377261,0.7469879518072289,1.9259511159272924,1.6882980759591604,1.6289960559762107,1.4780576435330373,0.7469879518072289,1.6289960559762107
logit_dynamic_compact,logit,dynamic_compact,30,50,0.75,both,37,0.024374176548089592,0.6486486486486487,1.4030876470911173,1.1467676899012957,1.5210297728029953,1.2033616594431251,0.6486486486486487,1.5210297728029953
hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,42,50,0.7,both,543,0.3577075098814229,0.714548802946593,1.0700254161662142,1.034257350700507,1.4867977173141393,1.712117186345452,0.714548802946593,1.4867977173141393
lightgbm_dynamic_compact,lightgbm,dynamic_compact,30,50,0.65,both,388,0.25559947299077734,0.7010309278350515,1.3273526355240424,1.3486892652803117,1.4634937963031407,1.6451997667699114,0.7010309278350515,1.4634937963031407
logit_dynamic_compact,logit,dynamic_compact,30,50,0.65,both,148,0.09749670619235837,0.6959459459459459,1.3792596747218915,1.1795125012925567,1.4428932218674888,1.4682120001319188,0.6959459459459459,1.4428932218674888
logit_dynamic_full,logit,dynamic_full,42,50,0.7,both,90,0.05928853754940711,0.7333333333333333,1.222525824548009,1.7598314436673146,1.3580943585976464,1.7921219288719037,0.7333333333333333,1.3580943585976464
hist_gradient_boosting_dynamic_compact,hist_gradient_boosting,dynamic_compact,30,50,0.75,both,430,0.28326745718050067,0.6906976744186046,1.2372627593284942,0.9206444834419791,1.3053331216806852,1.191262041303487,0.6906976744186046,1.3053331216806852
logit_dynamic_full,logit,dynamic_full,42,50,0.65,both,226,0.14888010540184454,0.7079646017699115,1.1940915886930612,1.5089156527381409,1.2888763409098802,1.51661459354413,0.7079646017699115,1.2888763409098802
lightgbm_static_full,lightgbm,static_full,14,50,0.65,both,418,0.27002583979328165,0.6555023923444976,1.5176606761570994,1.4537618915699824,1.2835229503226373,1.2608006569092556,0.6555023923444976,1.2835229503226373
xgboost_dynamic_compact,xgboost,dynamic_compact,30,50,0.65,both,467,0.30764163372859027,0.6531049250535332,1.2843894194438457,1.2436495137246872,1.223893686089147,1.4537290168359362,0.6531049250535332,1.223893686089147
xgboost_static_full,xgboost,static_full,14,50,0.65,both,450,0.29069767441860467,0.6555555555555556,1.2661333243927746,1.1629155909020916,1.1788943098227198,1.1629155909020916,0.6555555555555556,1.1788943098227198
lightgbm_dynamic_full,lightgbm,dynamic_full,42,50,0.65,both,506,0.3333333333333333,0.658102766798419,1.1442773903154275,1.1548416404016937,1.1547236754291252,1.1710390070329701,0.658102766798419,1.1547236754291252
random_forest_dynamic_full,random_forest,dynamic_full,42,50,0.65,both,379,0.24967061923583664,0.633245382585752,1.1477459632832752,0.8562937184386499,1.1477459632832752,0.8562937184386499,0.633245382585752,1.1477459632832752
hist_gradient_boosting_dynamic_compact,hist_gradient_boosting,dynamic_compact,30,50,0.7,both,655,0.43148880105401843,0.6610687022900763,0.9061219676599097,0.7753396755050268,1.1047029586520403,1.1629155909020916,0.6610687022900763,1.1047029586520403
random_forest_dynamic_full,random_forest,dynamic_full,42,50,0.6,both,587,0.38669301712779974,0.6337308347529813,1.048775792128765,0.8562937184386499,1.1030657545130027,0.8886914019101688,0.6337308347529813,1.1030657545130027
hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,42,50,0.65,both,748,0.4927536231884058,0.6510695187165776,0.5797794903187943,0.7348959590702808,1.0802871343940625,1.2608006569092556,0.6510695187165776,1.0802871343940625
xgboost_dynamic_full,xgboost,dynamic_full,42,50,0.65,both,505,0.3326745718050066,0.6435643564356436,1.126431048871925,1.1467676899012957,1.063200655215021,1.1629155909020916,0.6435643564356436,1.063200655215021
hist_gradient_boosting_static_full,hist_gradient_boosting,static_full,14,50,0.75,both,574,0.3708010335917313,0.6637630662020906,1.03147992236388,0.7753396755050268,1.0262945670154788,1.1467676899012957,0.6637630662020906,1.0262945670154788
random_forest_dynamic_compact,random_forest,dynamic_compact,30,50,0.65,both,204,0.13438735177865613,0.6225490196078431,1.0065352949226114,0.8562937184386499,1.0065352949226114,0.8562937184386499,0.6225490196078431,1.0065352949226114
random_forest_dynamic_compact,random_forest,dynamic_compact,30,50,0.6,both,493,0.32476943346508563,0.6166328600405679,0.9945588489322071,0.8077472655743101,0.9901128790620888,0.8077472655743101,0.6166328600405679,0.9901128790620888
logit_static_full,logit,static_full,14,50,0.65,both,110,0.0710594315245478,0.6818181818181818,1.0529985950312837,1.4943983819037943,0.9880396952844827,1.053439825977609,0.6818181818181818,0.9880396952844827
random_forest_static_full,random_forest,static_full,14,50,0.6,both,554,0.3578811369509044,0.6227436823104693,0.9749253716248742,0.7995624017675951,0.9583046147535503,0.8077472655743101,0.6227436823104693,0.9583046147535503
