signal,target,pearson_corr,spearman_corr,n_obs
imbalance_1,future_mid_return_1e_bps,0.3415963171414079,0.4481624895251225,5111
imbalance_1,future_mid_return_5e_bps,0.3234870213753501,0.4158504726581873,5075
imbalance_1,future_mid_return_10e_bps,0.27573631586371794,0.3540030128665422,5030
imbalance_5,future_mid_return_1e_bps,0.34488583232637704,0.44868389120093344,5111
imbalance_5,future_mid_return_5e_bps,0.326308971763484,0.4182654688118074,5075
imbalance_5,future_mid_return_10e_bps,0.28594108289760084,0.3605809557497641,5030
imbalance_10,future_mid_return_1e_bps,0.34431045286996226,0.44735275438820116,5111
imbalance_10,future_mid_return_5e_bps,0.32945077962210795,0.4208032091747082,5075
imbalance_10,future_mid_return_10e_bps,0.29013814039820607,0.3654459916242572,5030
microprice_deviation_bps,future_mid_return_1e_bps,0.2683388420214802,0.4564242206091892,5111
microprice_deviation_bps,future_mid_return_5e_bps,0.24672098576554355,0.4245897064604894,5075
microprice_deviation_bps,future_mid_return_10e_bps,0.19196236501940112,0.36012516611336703,5030
