model,horizon,threshold,signal_group,n_signals,coverage,precision,mean_future_return_bps,median_future_return_bps,mean_signed_return_bps,median_signed_return_bps,positive_signed_return_share,break_even_round_trip_cost_bps
logit_dynamic_compact,50,0.65,both,148,0.09749670619235837,0.6959459459459459,1.3792596747218915,1.1795125012925567,1.4428932218674888,1.4682120001319188,0.6959459459459459,1.4428932218674888
logit_dynamic_full,50,0.7,both,90,0.05928853754940711,0.7333333333333333,1.222525824548009,1.7598314436673146,1.3580943585976464,1.7921219288719037,0.7333333333333333,1.3580943585976464
logit_full_static,50,0.65,both,110,0.0710594315245478,0.6818181818181818,1.0529985950312837,1.4943983819037943,0.9880396952844827,1.053439825977609,0.6818181818181818,0.9880396952844827
logit_dynamic_compact,10,0.85,both,180,0.15358361774744028,0.8,0.18952167453116664,0.2585452967995838,0.8474165843820757,0.8080353472933455,0.8,0.8474165843820757
logit_signal_static,100,0.65,both,222,0.15755855216465578,0.6351351351351351,0.9762196065155798,1.5327512903540175,0.8239918853219261,1.4975695893082452,0.6351351351351351,0.8239918853219261
logit_dynamic_compact,20,0.8,both,88,0.06031528444139822,0.625,0.5056626122746958,0.5324482859614399,0.7854502780131863,1.009873992721677,0.625,0.7854502780131863
logit_dynamic_compact,5,0.9,both,117,0.13961813842482101,0.9401709401709402,-0.07348875444272719,-0.12923810100762267,0.7659345869761923,0.6782940259264514,0.9401709401709402,0.7659345869761923
logit_full_static,5,0.9,both,69,0.08060747663551401,0.8985507246376812,0.19100636563899573,-0.032327281396238305,0.7627731046921133,0.7432847855270985,0.8985507246376812,0.7627731046921133
logit_dynamic_full,20,0.75,both,341,0.2337217272104181,0.7038123167155426,0.30619227499326374,0.5324482859614399,0.7608124583024058,0.9047587888844077,0.7038123167155426,0.7608124583024058
logit_signal_static,10,0.8,both,299,0.24895920066611157,0.8160535117056856,0.08229359098266985,0.016134197804440475,0.7549016144085703,0.774324059458209,0.8160535117056856,0.7549016144085703
logit_dynamic_full,5,0.9,both,174,0.20763723150357996,0.9310344827586207,0.043847159510216456,-0.016149831678635707,0.742561930217128,0.6780280831208962,0.9310344827586207,0.742561930217128
logit_full_static,10,0.8,both,312,0.26,0.8044871794871795,0.024162703900391626,-0.04038866946165509,0.7178258809026089,0.7753396755050268,0.8044871794871795,0.7178258809026089
logit_full_static,20,0.75,both,222,0.1490933512424446,0.6351351351351351,0.31672326414251095,0.4519100493849404,0.7172405808413285,0.8728958562509437,0.6351351351351351,0.7172405808413285
logit_dynamic_full,10,0.85,both,211,0.18003412969283278,0.7819905213270142,0.338182220159005,0.4040231004243111,0.7063396115780135,0.7904558106952564,0.7819905213270142,0.7063396115780135
logit_signal_static,5,0.85,both,250,0.29171528588098017,0.884,0.0025767569562340498,-0.024238556537437006,0.6539635708640201,0.6380156144780713,0.884,0.6539635708640201
logit_full_static,100,0.7,both,68,0.04836415362731152,0.6029411764705882,1.1359969457126833,1.5298437641420026,0.6353282932013722,1.0412075616572647,0.6029411764705882,0.6353282932013722
logit_signal_static,20,0.7,both,501,0.33579088471849866,0.6686626746506986,0.15392848963569958,0.17764527951991127,0.6254027688171265,0.7106385006183658,0.6686626746506986,0.6254027688171265
logit_signal_static,50,0.6,both,494,0.3185041908446164,0.5951417004048583,0.22537644380057126,0.02422337601948321,0.4052244003367356,0.533225323021691,0.5951417004048583,0.4052244003367356
logit_dynamic_full,100,0.75,both,80,0.05813953488372093,0.525,1.0046432393764486,1.4848421023749836,0.32631330156086824,0.26642721026814975,0.525,0.32631330156086824
logit_dynamic_compact,100,0.7,both,146,0.10610465116279069,0.4931506849315068,-0.2773130882001637,0.39188985183846725,-0.06462947022265862,-0.03231281388793583,0.4931506849315068,-0.06462947022265862
