feature,missing_count,missing_share,status
imbalance_5_change_1e,9,0.0017578125,ok
imbalance_5_change_5e,45,0.0087890625,ok
imbalance_5_change_10e,90,0.017578125,ok
imbalance_5_rolling_mean_5e,36,0.00703125,ok
imbalance_5_rolling_mean_10e,81,0.0158203125,ok
microprice_deviation_bps_change_1e,9,0.0017578125,ok
microprice_deviation_bps_change_5e,45,0.0087890625,ok
microprice_deviation_bps_change_10e,90,0.017578125,ok
microprice_deviation_bps_rolling_mean_5e,36,0.00703125,ok
microprice_deviation_bps_rolling_mean_10e,81,0.0158203125,ok
mid_return_bps_lag_1e,18,0.003515625,ok
mid_return_bps_lag_2e,27,0.0052734375,ok
mid_return_bps_lag_5e,54,0.010546875,ok
mid_return_bps_lag_10e,99,0.0193359375,ok
mid_return_bps_rolling_mean_5e,45,0.0087890625,ok
mid_return_bps_rolling_mean_10e,90,0.017578125,ok
mid_return_bps_rolling_std_5e,45,0.0087890625,ok
mid_return_bps_rolling_std_10e,90,0.017578125,ok
quote_changed_rolling_sum_5e,36,0.00703125,ok
quote_changed_rolling_sum_10e,81,0.0158203125,ok
spread_bps_change_1e,9,0.0017578125,ok
spread_bps_change_5e,45,0.0087890625,ok
spread_bps_rolling_mean_5e,36,0.00703125,ok
spread_bps_rolling_mean_10e,81,0.0158203125,ok
best_bid_qty_change_1e,9,0.0017578125,ok
best_ask_qty_change_1e,9,0.0017578125,ok
bid_depth_5_change_1e,9,0.0017578125,ok
ask_depth_5_change_1e,9,0.0017578125,ok
