model,horizon,feature_set,n_features,status,error,accuracy,balanced_accuracy,precision_up,recall_up,f1_up,precision_down,recall_down,f1_down,n_obs,up_share,roc_auc
logit_signal_static,5,"imbalance_5,microprice_deviation_bps",2,success,,0.7141190198366394,0.7133226078296178,0.7361419068736141,0.7248908296943232,0.7304730473047305,0.6896551724137931,0.7017543859649122,0.6956521739130435,857,0.5344224037339557,0.8029024526381456
logit_full_static,5,"spread_bps,event_gap_ms,transaction_lag_ms,best_bid_qty,best_ask_qty,bid_depth_5,ask_depth_5,bid_depth_10,ask_depth_10,imbalance_1,imbalance_5,imbalance_10,microprice_deviation_bps,quote_changed",14,success,,0.7313084112149533,0.7299817866625705,0.7489082969432315,0.7489082969432315,0.7489082969432315,0.7110552763819096,0.7110552763819096,0.7110552763819096,856,0.5350467289719626,0.8034934497816595
logit_dynamic_compact,5,"imbalance_5,microprice_deviation_bps,imbalance_5_change_1e,imbalance_5_change_5e,imbalance_5_change_10e,imbalance_5_rolling_mean_5e,imbalance_5_rolling_mean_10e,microprice_deviation_bps_change_1e,microprice_deviation_bps_change_5e,microprice_deviation_bps_change_10e,microprice_deviation_bps_rolling_mean_5e,microprice_deviation_bps_rolling_mean_10e,mid_return_bps_lag_1e,mid_return_bps_lag_2e,mid_return_bps_lag_5e,mid_return_bps_lag_10e,mid_return_bps_rolling_mean_5e,mid_return_bps_rolling_mean_10e,mid_return_bps_rolling_std_5e,mid_return_bps_rolling_std_10e,quote_changed_rolling_sum_5e,quote_changed_rolling_sum_10e,spread_bps_change_1e,spread_bps_change_5e,spread_bps_rolling_mean_5e,spread_bps_rolling_mean_10e,best_bid_qty_change_1e,best_ask_qty_change_1e,bid_depth_5_change_1e,ask_depth_5_change_1e",30,success,,0.7136038186157518,0.714085927827961,0.7476635514018691,0.7079646017699115,0.7272727272727273,0.6780487804878049,0.7202072538860104,0.6984924623115578,838,0.5393794749403341,0.8010511715346876
logit_dynamic_full,5,"spread_bps,event_gap_ms,transaction_lag_ms,best_bid_qty,best_ask_qty,bid_depth_5,ask_depth_5,bid_depth_10,ask_depth_10,imbalance_1,imbalance_5,imbalance_10,microprice_deviation_bps,quote_changed,imbalance_5_change_1e,imbalance_5_change_5e,imbalance_5_change_10e,imbalance_5_rolling_mean_5e,imbalance_5_rolling_mean_10e,microprice_deviation_bps_change_1e,microprice_deviation_bps_change_5e,microprice_deviation_bps_change_10e,microprice_deviation_bps_rolling_mean_5e,microprice_deviation_bps_rolling_mean_10e,mid_return_bps_lag_1e,mid_return_bps_lag_2e,mid_return_bps_lag_5e,mid_return_bps_lag_10e,mid_return_bps_rolling_mean_5e,mid_return_bps_rolling_mean_10e,mid_return_bps_rolling_std_5e,mid_return_bps_rolling_std_10e,quote_changed_rolling_sum_5e,quote_changed_rolling_sum_10e,spread_bps_change_1e,spread_bps_change_5e,spread_bps_rolling_mean_5e,spread_bps_rolling_mean_10e,best_bid_qty_change_1e,best_ask_qty_change_1e,bid_depth_5_change_1e,ask_depth_5_change_1e",42,success,,0.7124105011933174,0.7127905910403962,0.745920745920746,0.7079646017699115,0.7264472190692395,0.6772616136919315,0.7176165803108808,0.6968553459119496,838,0.5393794749403341,0.8016931083497639
logit_signal_static,10,"imbalance_5,microprice_deviation_bps",2,success,,0.6344712739383847,0.6349414835396143,0.6851549755301795,0.6306306306306306,0.656763096168882,0.5816326530612245,0.6392523364485981,0.6090828138913624,1201,0.5545378850957535,0.7043725968959613
logit_full_static,10,"spread_bps,event_gap_ms,transaction_lag_ms,best_bid_qty,best_ask_qty,bid_depth_5,ask_depth_5,bid_depth_10,ask_depth_10,imbalance_1,imbalance_5,imbalance_10,microprice_deviation_bps,quote_changed",14,success,,0.6425,0.6424823700104598,0.691437802907916,0.6426426426426426,0.666147859922179,0.5903614457831325,0.6423220973782772,0.6152466367713004,1200,0.555,0.7016145358841988
logit_dynamic_compact,10,"imbalance_5,microprice_deviation_bps,imbalance_5_change_1e,imbalance_5_change_5e,imbalance_5_change_10e,imbalance_5_rolling_mean_5e,imbalance_5_rolling_mean_10e,microprice_deviation_bps_change_1e,microprice_deviation_bps_change_5e,microprice_deviation_bps_change_10e,microprice_deviation_bps_rolling_mean_5e,microprice_deviation_bps_rolling_mean_10e,mid_return_bps_lag_1e,mid_return_bps_lag_2e,mid_return_bps_lag_5e,mid_return_bps_lag_10e,mid_return_bps_rolling_mean_5e,mid_return_bps_rolling_mean_10e,mid_return_bps_rolling_std_5e,mid_return_bps_rolling_std_10e,quote_changed_rolling_sum_5e,quote_changed_rolling_sum_10e,spread_bps_change_1e,spread_bps_change_5e,spread_bps_rolling_mean_5e,spread_bps_rolling_mean_10e,best_bid_qty_change_1e,best_ask_qty_change_1e,bid_depth_5_change_1e,ask_depth_5_change_1e",30,success,,0.6416382252559727,0.6424049513704686,0.6929530201342282,0.6353846153846154,0.6629213483146067,0.5885416666666666,0.6494252873563219,0.6174863387978142,1172,0.5546075085324232,0.7010344827586207
logit_dynamic_full,10,"spread_bps,event_gap_ms,transaction_lag_ms,best_bid_qty,best_ask_qty,bid_depth_5,ask_depth_5,bid_depth_10,ask_depth_10,imbalance_1,imbalance_5,imbalance_10,microprice_deviation_bps,quote_changed,imbalance_5_change_1e,imbalance_5_change_5e,imbalance_5_change_10e,imbalance_5_rolling_mean_5e,imbalance_5_rolling_mean_10e,microprice_deviation_bps_change_1e,microprice_deviation_bps_change_5e,microprice_deviation_bps_change_10e,microprice_deviation_bps_rolling_mean_5e,microprice_deviation_bps_rolling_mean_10e,mid_return_bps_lag_1e,mid_return_bps_lag_2e,mid_return_bps_lag_5e,mid_return_bps_lag_10e,mid_return_bps_rolling_mean_5e,mid_return_bps_rolling_mean_10e,mid_return_bps_rolling_std_5e,mid_return_bps_rolling_std_10e,quote_changed_rolling_sum_5e,quote_changed_rolling_sum_10e,spread_bps_change_1e,spread_bps_change_5e,spread_bps_rolling_mean_5e,spread_bps_rolling_mean_10e,best_bid_qty_change_1e,best_ask_qty_change_1e,bid_depth_5_change_1e,ask_depth_5_change_1e",42,success,,0.643344709897611,0.6443206601827292,0.6952861952861953,0.6353846153846154,0.6639871382636656,0.5899653979238755,0.6532567049808429,0.62,1172,0.5546075085324232,0.7010109048040083
logit_signal_static,20,"imbalance_5,microprice_deviation_bps",2,success,,0.5703753351206434,0.5707917012326282,0.6406869220607662,0.5679156908665105,0.6021104903786468,0.49795918367346936,0.5736677115987461,0.5331391114348143,1492,0.5723860589812333,0.6077338433189197
logit_full_static,20,"spread_bps,event_gap_ms,transaction_lag_ms,best_bid_qty,best_ask_qty,bid_depth_5,ask_depth_5,bid_depth_10,ask_depth_10,imbalance_1,imbalance_5,imbalance_10,microprice_deviation_bps,quote_changed",14,success,,0.5789120214909335,0.5781658817373103,0.64629388816645,0.5833333333333334,0.6132017273288094,0.5069444444444444,0.5729984301412873,0.5379513633014001,1489,0.5721961047683009,0.6051473677228204
logit_dynamic_compact,20,"imbalance_5,microprice_deviation_bps,imbalance_5_change_1e,imbalance_5_change_5e,imbalance_5_change_10e,imbalance_5_rolling_mean_5e,imbalance_5_rolling_mean_10e,microprice_deviation_bps_change_1e,microprice_deviation_bps_change_5e,microprice_deviation_bps_change_10e,microprice_deviation_bps_rolling_mean_5e,microprice_deviation_bps_rolling_mean_10e,mid_return_bps_lag_1e,mid_return_bps_lag_2e,mid_return_bps_lag_5e,mid_return_bps_lag_10e,mid_return_bps_rolling_mean_5e,mid_return_bps_rolling_mean_10e,mid_return_bps_rolling_std_5e,mid_return_bps_rolling_std_10e,quote_changed_rolling_sum_5e,quote_changed_rolling_sum_10e,spread_bps_change_1e,spread_bps_change_5e,spread_bps_rolling_mean_5e,spread_bps_rolling_mean_10e,best_bid_qty_change_1e,best_ask_qty_change_1e,bid_depth_5_change_1e,ask_depth_5_change_1e",30,success,,0.5832762165867033,0.5823499417249418,0.6481481481481481,0.5889423076923077,0.6171284634760705,0.5135135135135135,0.5757575757575758,0.5428571428571428,1459,0.5702535983550377,0.6232843362777573
