model,horizon,threshold,signal_group,n_signals,coverage,precision,mean_future_return_bps,median_future_return_bps,mean_signed_return_bps,median_signed_return_bps,positive_signed_return_share,break_even_round_trip_cost_bps
logit_dynamic_full,50,0.8,both,32,0.021080368906455864,0.9375,2.6659747653200867,2.431111516398854,2.6659747653200867,2.431111516398854,0.9375,2.6659747653200867
logit_full_static,50,0.7,both,43,0.027777777777777776,0.8604651162790697,1.75522643582162,2.0342118922300756,2.0596331550009004,2.437931632970347,0.8604651162790697,2.0596331550009004
logit_dynamic_full,50,0.75,both,48,0.03162055335968379,0.8333333333333334,1.9257062582960411,2.4242913998273607,1.9257062582960411,2.4242913998273607,0.8333333333333334,1.9257062582960411
logit_dynamic_compact,50,0.7,both,47,0.030961791831357048,0.6808510638297872,1.7410432268886138,1.2033616594431251,1.8325175550053812,1.5514110972758566,0.6808510638297872,1.8325175550053812
logit_dynamic_compact,50,0.75,both,37,0.024374176548089592,0.6486486486486487,1.4030876470911173,1.1467676899012957,1.5210297728029953,1.2033616594431251,0.6486486486486487,1.5210297728029953
logit_dynamic_compact,50,0.65,both,148,0.09749670619235837,0.6959459459459459,1.3792596747218915,1.1795125012925567,1.4428932218674888,1.4682120001319188,0.6959459459459459,1.4428932218674888
logit_dynamic_full,50,0.7,both,90,0.05928853754940711,0.7333333333333333,1.222525824548009,1.7598314436673146,1.3580943585976464,1.7921219288719037,0.7333333333333333,1.3580943585976464
logit_dynamic_full,50,0.65,both,226,0.14888010540184454,0.7079646017699115,1.1940915886930612,1.5089156527381409,1.2888763409098802,1.51661459354413,0.7079646017699115,1.2888763409098802
logit_dynamic_full,10,0.9,both,47,0.04010238907849829,0.8085106382978723,0.18837084873004298,0.5166744571472037,1.0824967734252837,0.8728958562509437,0.8085106382978723,1.0824967734252837
logit_full_static,50,0.65,both,110,0.0710594315245478,0.6818181818181818,1.0529985950312837,1.4943983819037943,0.9880396952844827,1.053439825977609,0.6818181818181818,0.9880396952844827
logit_dynamic_compact,10,0.9,both,31,0.026450511945392493,0.7419354838709677,-0.2617284824853407,0.1129222586704337,0.9713132636270149,0.8728958562509437,0.7419354838709677,0.9713132636270149
logit_dynamic_compact,10,0.85,both,180,0.15358361774744028,0.8,0.18952167453116664,0.2585452967995838,0.8474165843820757,0.8080353472933455,0.8,0.8474165843820757
logit_signal_static,100,0.65,both,222,0.15755855216465578,0.6351351351351351,0.9762196065155798,1.5327512903540175,0.8239918853219261,1.4975695893082452,0.6351351351351351,0.8239918853219261
logit_dynamic_compact,20,0.8,both,88,0.06031528444139822,0.625,0.5056626122746958,0.5324482859614399,0.7854502780131863,1.009873992721677,0.625,0.7854502780131863
logit_dynamic_compact,5,0.9,both,117,0.13961813842482101,0.9401709401709402,-0.07348875444272719,-0.12923810100762267,0.7659345869761923,0.6782940259264514,0.9401709401709402,0.7659345869761923
logit_full_static,5,0.9,both,69,0.08060747663551401,0.8985507246376812,0.19100636563899573,-0.032327281396238305,0.7627731046921133,0.7432847855270985,0.8985507246376812,0.7627731046921133
logit_dynamic_full,20,0.75,both,341,0.2337217272104181,0.7038123167155426,0.30619227499326374,0.5324482859614399,0.7608124583024058,0.9047587888844077,0.7038123167155426,0.7608124583024058
logit_signal_static,10,0.8,both,299,0.24895920066611157,0.8160535117056856,0.08229359098266985,0.016134197804440475,0.7549016144085703,0.774324059458209,0.8160535117056856,0.7549016144085703
