model,horizon,feature_set,status,error,accuracy,balanced_accuracy,precision_up,recall_up,f1_up,precision_down,recall_down,f1_down,n_obs,up_share,roc_auc
majority_baseline,5,none,success,,0.46557759626604434,0.5,0.0,0.0,0.0,0.46557759626604434,1.0,0.6353503184713376,857,0.5344224037339557,
logit_signal,5,"imbalance_5,microprice_deviation_bps",success,,0.7141190198366394,0.7133226078296178,0.7361419068736141,0.7248908296943232,0.7304730473047305,0.6896551724137931,0.7017543859649122,0.6956521739130435,857,0.5344224037339557,0.8029024526381456
logit_full,5,"spread_bps,event_gap_ms,transaction_lag_ms,best_bid_qty,best_ask_qty,bid_depth_5,ask_depth_5,bid_depth_10,ask_depth_10,imbalance_1,imbalance_5,imbalance_10,microprice_deviation_bps,quote_changed",success,,0.7313084112149533,0.7299817866625705,0.7489082969432315,0.7489082969432315,0.7489082969432315,0.7110552763819096,0.7110552763819096,0.7110552763819096,856,0.5350467289719626,0.8034934497816595
majority_baseline,10,none,success,,0.4454621149042465,0.5,0.0,0.0,0.0,0.4454621149042465,1.0,0.6163594470046083,1201,0.5545378850957535,
logit_signal,10,"imbalance_5,microprice_deviation_bps",success,,0.6344712739383847,0.6349414835396143,0.6851549755301795,0.6306306306306306,0.656763096168882,0.5816326530612245,0.6392523364485981,0.6090828138913624,1201,0.5545378850957535,0.7043725968959613
logit_full,10,"spread_bps,event_gap_ms,transaction_lag_ms,best_bid_qty,best_ask_qty,bid_depth_5,ask_depth_5,bid_depth_10,ask_depth_10,imbalance_1,imbalance_5,imbalance_10,microprice_deviation_bps,quote_changed",success,,0.6425,0.6424823700104598,0.691437802907916,0.6426426426426426,0.666147859922179,0.5903614457831325,0.6423220973782772,0.6152466367713004,1200,0.555,0.7016145358841988
majority_baseline,20,none,success,,0.42761394101876676,0.5,0.0,0.0,0.0,0.42761394101876676,1.0,0.5990610328638498,1492,0.5723860589812333,
logit_signal,20,"imbalance_5,microprice_deviation_bps",success,,0.5703753351206434,0.5707917012326282,0.6406869220607662,0.5679156908665105,0.6021104903786468,0.49795918367346936,0.5736677115987461,0.5331391114348143,1492,0.5723860589812333,0.6077338433189197
logit_full,20,"spread_bps,event_gap_ms,transaction_lag_ms,best_bid_qty,best_ask_qty,bid_depth_5,ask_depth_5,bid_depth_10,ask_depth_10,imbalance_1,imbalance_5,imbalance_10,microprice_deviation_bps,quote_changed",success,,0.5789120214909335,0.5781658817373103,0.64629388816645,0.5833333333333334,0.6132017273288094,0.5069444444444444,0.5729984301412873,0.5379513633014001,1489,0.5721961047683009,0.6051473677228204
majority_baseline,50,none,success,,0.4126370083816892,0.5,0.0,0.0,0.0,0.4126370083816892,1.0,0.5842081241442264,1551,0.5873629916183107,
logit_signal,50,"imbalance_5,microprice_deviation_bps",success,,0.5164410058027079,0.5116715834248079,0.5980511571254568,0.5389681668496158,0.5669745958429562,0.4246575342465753,0.484375,0.45255474452554745,1551,0.5873629916183107,0.5325655186608124
logit_full,50,"spread_bps,event_gap_ms,transaction_lag_ms,best_bid_qty,best_ask_qty,bid_depth_5,ask_depth_5,bid_depth_10,ask_depth_10,imbalance_1,imbalance_5,imbalance_10,microprice_deviation_bps,quote_changed",success,,0.5239018087855297,0.5009451649390291,0.5879345603271984,0.6325632563256326,0.6094329623741388,0.41403508771929826,0.36932707355242567,0.3904052936311001,1548,0.5872093023255814,0.5314650400877334
majority_baseline,100,none,success,,0.3470546486870121,0.5,0.0,0.0,0.0,0.3470546486870121,1.0,0.5152792413066386,1409,0.6529453513129879,
logit_signal,100,"imbalance_5,microprice_deviation_bps",success,,0.5195173882185947,0.5108740108473371,0.6622162883845126,0.5391304347826087,0.5943678849610545,0.3575757575757576,0.48261758691206547,0.41079199303742386,1409,0.6529453513129879,0.5051191428825464
logit_full,100,"spread_bps,event_gap_ms,transaction_lag_ms,best_bid_qty,best_ask_qty,bid_depth_5,ask_depth_5,bid_depth_10,ask_depth_10,imbalance_1,imbalance_5,imbalance_10,microprice_deviation_bps,quote_changed",success,,0.5206258890469416,0.5033170827529554,0.6556122448979592,0.5599128540305011,0.6039952996474736,0.3504823151125402,0.44672131147540983,0.3927927927927928,1406,0.6529160739687055,0.4977499196399871
