model,horizon,threshold,signal_group,n_signals,coverage,precision,mean_future_return_bps,median_future_return_bps,mean_signed_return_bps,median_signed_return_bps,positive_signed_return_share,break_even_round_trip_cost_bps
logit_full,50,0.7,both,43,0.027777777777777776,0.8604651162790697,1.75522643582162,2.0342118922300756,2.0596331550009004,2.437931632970347,0.8604651162790697,2.0596331550009004
logit_full,50,0.65,both,110,0.0710594315245478,0.6818181818181818,1.0529985950312837,1.4943983819037943,0.9880396952844827,1.053439825977609,0.6818181818181818,0.9880396952844827
logit_signal,100,0.65,both,222,0.15755855216465578,0.6351351351351351,0.9762196065155798,1.5327512903540175,0.8239918853219261,1.4975695893082452,0.6351351351351351,0.8239918853219261
logit_full,5,0.9,both,69,0.08060747663551401,0.8985507246376812,0.19100636563899573,-0.032327281396238305,0.7627731046921133,0.7432847855270985,0.8985507246376812,0.7627731046921133
logit_signal,10,0.8,both,299,0.24895920066611157,0.8160535117056856,0.08229359098266985,0.016134197804440475,0.7549016144085703,0.774324059458209,0.8160535117056856,0.7549016144085703
logit_full,10,0.8,both,312,0.26,0.8044871794871795,0.024162703900391626,-0.04038866946165509,0.7178258809026089,0.7753396755050268,0.8044871794871795,0.7178258809026089
logit_full,20,0.75,both,222,0.1490933512424446,0.6351351351351351,0.31672326414251095,0.4519100493849404,0.7172405808413285,0.8728958562509437,0.6351351351351351,0.7172405808413285
logit_signal,5,0.85,both,250,0.29171528588098017,0.884,0.0025767569562340498,-0.024238556537437006,0.6539635708640201,0.6380156144780713,0.884,0.6539635708640201
logit_full,100,0.7,both,68,0.04836415362731152,0.6029411764705882,1.1359969457126833,1.5298437641420026,0.6353282932013722,1.0412075616572647,0.6029411764705882,0.6353282932013722
logit_signal,5,0.8,both,393,0.45857642940490084,0.8727735368956743,-0.03377480227795526,-0.06460819571119103,0.6288785292459146,0.6138889135698378,0.8727735368956743,0.6288785292459146
logit_signal,20,0.7,both,501,0.33579088471849866,0.6686626746506986,0.15392848963569958,0.17764527951991127,0.6254027688171265,0.7106385006183658,0.6686626746506986,0.6254027688171265
logit_full,5,0.8,both,423,0.4941588785046729,0.8699763593380615,0.0006151571028532998,-0.016149831678635707,0.6168985121134746,0.5976982157096522,0.8699763593380615,0.6168985121134746
logit_full,5,0.85,both,278,0.3247663551401869,0.8812949640287769,0.008976231743563469,-0.016149831678635707,0.6147424463537532,0.5976982157096522,0.8812949640287769,0.6147424463537532
logit_signal,20,0.75,both,225,0.15080428954423591,0.6577777777777778,0.08997884211252581,-0.1454532525368979,0.6112201879361814,0.8728958562509437,0.6577777777777778,0.6112201879361814
logit_signal,10,0.75,both,505,0.42048293089092426,0.7603960396039604,-0.022356147444309842,0.03227917613868314,0.5999842894840731,0.7432847855270985,0.7603960396039604,0.5999842894840731
logit_full,10,0.75,both,533,0.44416666666666665,0.7598499061913696,0.07646560418744859,0.06463387736133086,0.5790268298496171,0.7432523592210138,0.7598499061913696,0.5790268298496171
logit_full,20,0.7,both,527,0.3539288112827401,0.6489563567362429,0.34395354202262873,0.5324482859614399,0.5468315645245022,0.6948433734166315,0.6489563567362429,0.5468315645245022
logit_full,10,0.85,both,65,0.05416666666666667,0.7076923076923077,-0.08793863503342436,-0.17770382426673947,0.5205677319302446,0.8400218728765729,0.7076923076923077,0.5205677319302446
logit_signal,5,0.75,both,506,0.5904317386231038,0.8320158102766798,0.011359534257728296,-0.016149831678635707,0.5056513299624554,0.549317836572305,0.8320158102766798,0.5056513299624554
logit_full,5,0.75,both,536,0.6261682242990654,0.8171641791044776,0.043247126559156183,0.03226849973225754,0.4966384700243912,0.5493018615676526,0.8171641791044776,0.4966384700243912
logit_full,20,0.8,both,55,0.036937541974479515,0.6,-0.03250477385212265,-0.30710917327092524,0.490948780118693,0.8728958562509437,0.6,0.490948780118693
logit_signal,5,0.7,both,601,0.7012835472578763,0.800332778702163,0.051333973405616566,0.06463387736133086,0.45968534975676945,0.5485149361406094,0.800332778702163,0.45968534975676945
logit_full,5,0.7,both,620,0.7242990654205608,0.785483870967742,0.05409602758880568,0.06460184653556134,0.4490789864958229,0.53285925007307,0.785483870967742,0.4490789864958229
logit_signal,5,0.65,both,668,0.779463243873979,0.7694610778443114,0.08164948936831103,0.06463387736133086,0.4297839937820074,0.520815442881517,0.7694610778443114,0.4297839937820074
logit_full,5,0.65,both,694,0.8107476635514018,0.7636887608069164,0.07801470599651511,0.06463387736133086,0.4289120051628696,0.5166744571472037,0.7636887608069164,0.4289120051628696
logit_signal,10,0.7,both,703,0.585345545378851,0.7240398293029872,0.045591935816653155,0.096791444281763,0.42606530895043937,0.5977773990073487,0.7240398293029872,0.42606530895043937
logit_full,5,0.6,both,756,0.883177570093458,0.753968253968254,0.09621488768899913,0.096791444281763,0.4053723170405919,0.5166744571472037,0.753968253968254,0.4053723170405919
logit_signal,50,0.6,both,494,0.3185041908446164,0.5951417004048583,0.22537644380057126,0.02422337601948321,0.4052244003367356,0.533225323021691,0.5951417004048583,0.4052244003367356
logit_signal,5,0.6,both,752,0.8774795799299884,0.7539893617021277,0.08715627526314017,0.08065316156269375,0.4020636805936129,0.5010436241126293,0.7539893617021277,0.4020636805936129
logit_full,5,0.55,both,802,0.9369158878504673,0.7443890274314214,0.11637011758526601,0.10485685147609836,0.3955971137549167,0.5010436241126293,0.7443890274314214,0.3955971137549167
