evaluation_method,model,algorithm,feature_set,threshold,run_name,signal,cooldown_trade_id,episode_start_row,episode_end_row,episode_duration_events,n_raw_signals_in_episode,target_label,predicted_proba_up,future_mid_return_bps,signed_return_bps,is_correct_signal,is_positive_signed_return,mean_raw_signed_return_bps_in_episode,max_raw_signed_return_bps_in_episode,min_raw_signed_return_bps_in_episode
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,20260610_201249,up,1,29,29,0,1,up,0.8520665445576474,2.229512116509458,2.229512116509458,True,True,2.229512116509458,2.229512116509458,2.229512116509458
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,20260610_201249,up,2,84,84,0,1,up,0.8704253275010926,4.183603665741664,4.183603665741664,True,True,4.183603665741664,4.183603665741664,4.183603665741664
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,20260610_201249,up,3,159,159,0,1,up,0.857786555039266,3.763451715157462,3.763451715157462,True,True,3.763451715157462,3.763451715157462,3.763451715157462
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,20260610_201249,up,4,269,269,0,1,up,0.9127275592044564,0.6536939356571736,0.6536939356571736,True,True,0.6536939356571736,0.6536939356571736,0.6536939356571736
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,20260610_201249,down,5,498,498,0,1,down,0.1463061980947193,-3.8702966824299967,3.8702966824299967,True,True,3.8702966824299967,3.8702966824299967,3.8702966824299967
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,20260610_201428,up,1,82,82,0,1,up,0.901755409940095,3.3435983417695603,3.3435983417695603,True,True,3.3435983417695603,3.3435983417695603,3.3435983417695603
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,20260610_201428,up,2,145,145,0,1,up,0.8739611623292344,2.130893352825236,2.130893352825236,True,True,2.130893352825236,2.130893352825236,2.130893352825236
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,20260610_201428,down,3,403,403,0,1,down,0.0917765271997351,-3.667913272433765,3.667913272433765,True,True,3.667913272433765,3.667913272433765,3.667913272433765
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,20260610_201428,up,4,465,465,0,1,down,0.8588940963480289,-2.020184063010744,-2.020184063010744,False,False,-2.020184063010744,-2.020184063010744,-2.020184063010744
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,20260610_201605,up,1,11,11,0,1,up,0.8979163911070512,10.12647580039161,10.12647580039161,True,True,10.12647580039161,10.12647580039161,10.12647580039161
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,20260610_201605,down,2,113,113,0,1,up,0.13871789303121,1.826072272061996,-1.826072272061996,False,False,-1.826072272061996,-1.826072272061996,-1.826072272061996
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,20260610_201605,up,3,164,164,0,1,up,0.8886432157536919,0.2423547184449148,0.2423547184449148,True,True,0.2423547184449148,0.2423547184449148,0.2423547184449148
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,20260610_201605,up,4,224,224,0,1,down,0.8892061664565007,-0.5977030433590436,-0.5977030433590436,False,False,-0.5977030433590436,-0.5977030433590436,-0.5977030433590436
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,20260610_201605,up,5,324,324,0,1,up,0.8567425803617864,1.1629155909020916,1.1629155909020916,True,True,1.1629155909020916,1.1629155909020916,1.1629155909020916
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,20260610_201605,down,6,389,389,0,1,down,0.146666734656569,-1.922326693768461,1.922326693768461,True,True,1.922326693768461,1.922326693768461,1.922326693768461
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,20260610_201605,up,7,459,459,0,1,up,0.8504672942220842,2.568628005314988,2.568628005314988,True,True,2.568628005314988,2.568628005314988,2.568628005314988
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,20260610_201605,up,8,510,510,0,1,down,0.9140067052810948,-0.7588570321415133,-0.7588570321415133,False,False,-0.7588570321415133,-0.7588570321415133,-0.7588570321415133
cooldown_first_signal,hist_gradient_boosting_static_full,hist_gradient_boosting,static_full,0.9,20260610_201249,up,1,43,43,0,1,up,0.911561422411935,0.7753396755050268,0.7753396755050268,True,True,0.7753396755050268,0.7753396755050268,0.7753396755050268
