evaluation_method,model,run_name,n_trades_or_episodes,raw_signals_represented,precision,mean_signed_return_bps,median_signed_return_bps,positive_signed_return_share,up_count,down_count,total_signed_return_bps
cooldown_first_signal,hist_gradient_boosting_dynamic_full,20260610_201249,5,5,1.0,2.940111623099151,3.763451715157462,1.0,4,1,14.700558115495754
cooldown_first_signal,hist_gradient_boosting_dynamic_full,20260610_201428,4,4,0.75,1.7805552260044544,2.737245847297398,0.75,3,1,7.1222209040178175
cooldown_first_signal,hist_gradient_boosting_dynamic_full,20260610_201605,8,8,0.625,1.605008557657439,0.7026351546735032,0.625,6,2,12.840068461259513
cooldown_first_signal,hist_gradient_boosting_static_full,20260610_201249,2,2,1.0,0.7145168055811002,0.7145168055811002,1.0,2,0,1.4290336111622004
cooldown_first_signal,hist_gradient_boosting_static_full,20260610_201428,5,5,1.0,2.6784758784168528,3.3435983417695603,1.0,2,3,13.392379392084264
cooldown_first_signal,hist_gradient_boosting_static_full,20260610_201605,4,4,0.75,1.387187090909625,0.743024387800939,0.75,2,2,5.5487483636385
cooldown_first_signal,lightgbm_dynamic_compact,20260610_201249,5,5,1.0,2.584570097449612,2.5031390170737744,1.0,4,1,12.922850487248061
cooldown_first_signal,lightgbm_dynamic_compact,20260610_201428,3,3,0.6666666666666666,2.0251984713126614,2.7474902888335877,0.6666666666666666,2,1,6.075595413937984
cooldown_first_signal,lightgbm_dynamic_compact,20260610_201605,4,4,1.0,4.064514014131548,2.484332332616246,1.0,4,0,16.258056056526193
cooldown_first_signal,lightgbm_dynamic_full,20260610_201249,6,6,1.0,1.6988144190486592,1.1952086018129915,1.0,5,1,10.192886514291954
cooldown_first_signal,lightgbm_dynamic_full,20260610_201428,3,3,0.6666666666666666,1.3027813915004554,2.130893352825236,0.6666666666666666,3,0,3.908344174501366
cooldown_first_signal,lightgbm_dynamic_full,20260610_201605,4,4,0.75,2.0059125219651364,1.308322303869014,0.75,3,1,8.023650087860545
cooldown_first_signal,logit_dynamic_compact,20260610_201249,9,9,0.8888888888888888,1.6982436329206054,1.5493329395432909,0.8888888888888888,8,1,15.284192696285448
cooldown_first_signal,logit_dynamic_compact,20260610_201428,7,7,0.5714285714285714,0.32978375336905374,0.0323136492041964,0.5714285714285714,4,3,2.308486273583376
cooldown_first_signal,logit_dynamic_compact,20260610_201605,7,7,0.42857142857142855,-0.6715569253918601,-0.9211265215758324,0.42857142857142855,5,2,-4.700898477743021
cooldown_first_signal,xgboost_dynamic_compact,20260610_201249,5,5,1.0,2.3100559849762448,2.5031390170737744,1.0,4,1,11.550279924881224
cooldown_first_signal,xgboost_dynamic_compact,20260610_201428,3,3,0.6666666666666666,1.707487855058994,1.7943584400725854,0.6666666666666666,3,0,5.122463565176982
cooldown_first_signal,xgboost_dynamic_compact,20260610_201605,4,4,0.75,2.102929943443299,1.308322303869014,0.75,3,1,8.411719773773196
cooldown_first_signal,xgboost_dynamic_full,20260610_201249,5,5,1.0,2.0066062866814782,1.1467676899012955,1.0,4,1,10.033031433407391
cooldown_first_signal,xgboost_dynamic_full,20260610_201428,2,2,1.0,1.170429229119252,1.170429229119252,1.0,2,0,2.340858458238504
cooldown_first_signal,xgboost_dynamic_full,20260610_201605,4,4,0.75,2.102845636327011,1.502188532592763,0.75,3,1,8.411382545308044
episode_first_signal,hist_gradient_boosting_dynamic_full,20260610_201249,4,44,1.0,2.6292386124385225,2.99648191583346,1.0,3,1,10.51695444975409
episode_first_signal,hist_gradient_boosting_dynamic_full,20260610_201428,3,41,0.6666666666666666,1.663775850397527,3.3435983417695603,0.6666666666666666,2,1,4.991327551192581
episode_first_signal,hist_gradient_boosting_dynamic_full,20260610_201605,6,49,0.8333333333333334,2.9115349111186184,2.2454773495417246,0.8333333333333334,4,2,17.46920946671171
episode_first_signal,hist_gradient_boosting_static_full,20260610_201249,2,27,1.0,0.7145168055811002,0.7145168055811002,1.0,2,0,1.4290336111622004
episode_first_signal,hist_gradient_boosting_static_full,20260610_201428,3,38,1.0,2.4879612333121117,3.3435983417695603,1.0,1,2,7.463883699936336
episode_first_signal,hist_gradient_boosting_static_full,20260610_201605,5,38,0.6,1.3214145706883507,1.4537290168359362,0.6,3,2,6.607072853441753
episode_first_signal,lightgbm_dynamic_compact,20260610_201249,3,34,1.0,2.902531427942945,3.8702966824299967,1.0,2,1,8.707594283828834
episode_first_signal,lightgbm_dynamic_compact,20260610_201428,2,19,0.5,0.08993926555456189,0.08993926555456189,0.5,1,1,0.17987853110912377
episode_first_signal,lightgbm_dynamic_compact,20260610_201605,4,48,1.0,4.064514014131548,2.484332332616246,1.0,4,0,16.258056056526193
episode_first_signal,lightgbm_dynamic_full,20260610_201249,3,49,1.0,1.766443431197399,0.7753396755050268,1.0,2,1,5.299330293592197
episode_first_signal,lightgbm_dynamic_full,20260610_201428,1,18,0.0,-2.567611757724464,-2.567611757724464,0.0,1,0,-2.567611757724464
episode_first_signal,lightgbm_dynamic_full,20260610_201605,5,53,0.8,2.30771714725142,1.4537290168359362,0.8,4,1,11.538585736257101
episode_first_signal,logit_dynamic_compact,20260610_201249,9,67,0.7777777777777778,1.4809035599992901,1.3230746641690327,0.7777777777777778,5,4,13.328132039993612
episode_first_signal,logit_dynamic_compact,20260610_201428,6,34,0.8333333333333334,2.4281733739783817,3.2156067985089627,0.8333333333333334,2,4,14.56904024387029
episode_first_signal,logit_dynamic_compact,20260610_201605,7,47,0.5714285714285714,0.5343117248557405,0.0807829483351341,0.5714285714285714,4,3,3.7401820739901837
episode_first_signal,xgboost_dynamic_compact,20260610_201249,3,34,1.0,2.445007907153999,3.0690528822030494,1.0,2,1,7.335023721461997
episode_first_signal,xgboost_dynamic_compact,20260610_201428,2,16,0.5,-0.3866266588259393,-0.3866266588259393,0.5,2,0,-0.7732533176518785
episode_first_signal,xgboost_dynamic_compact,20260610_201605,5,50,0.8,2.3853310844339504,1.4537290168359362,0.8,4,1,11.926655422169752
episode_first_signal,xgboost_dynamic_full,20260610_201249,4,52,1.0,2.221565935876524,1.9761245938032523,1.0,3,1,8.886263743506095
episode_first_signal,xgboost_dynamic_full,20260610_201428,1,19,1.0,0.2099651054132678,0.2099651054132678,1.0,1,0,0.2099651054132678
episode_first_signal,xgboost_dynamic_full,20260610_201605,5,48,0.8,2.38526363874092,1.8414614742834343,0.8,4,1,11.9263181937046
