evaluation_method,model,algorithm,feature_set,threshold,n_trades_or_episodes,raw_signals_represented,avg_raw_signals_per_episode,precision,mean_signed_return_bps,median_signed_return_bps,positive_signed_return_share,up_share,down_share,break_even_round_trip_cost_bps
cooldown_first_signal,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.75,12,12,1.0,0.9166666666666666,2.9380418298093525,2.625314652953681,0.9166666666666666,0.8333333333333334,0.16666666666666666,2.9380418298093525
cooldown_first_signal,xgboost_dynamic_compact,xgboost,dynamic_compact,0.75,12,12,1.0,0.8333333333333334,2.0903719386526167,1.7532378132090187,0.8333333333333334,0.8333333333333334,0.16666666666666666,2.0903719386526167
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,17,17,1.0,0.7647058823529411,2.03899102828077,2.130893352825236,0.7647058823529411,0.7647058823529411,0.23529411764705882,2.03899102828077
cooldown_first_signal,xgboost_dynamic_full,xgboost,dynamic_full,0.75,11,11,1.0,0.9090909090909091,1.889570221541267,1.1629155909020916,0.9090909090909091,0.8181818181818182,0.18181818181818182,1.889570221541267
cooldown_first_signal,hist_gradient_boosting_static_full,hist_gradient_boosting,static_full,0.9,11,11,1.0,0.9090909090909091,1.8518328515349964,1.4537290168359362,0.9090909090909091,0.5454545454545454,0.45454545454545453,1.8518328515349964
cooldown_first_signal,lightgbm_dynamic_full,lightgbm,dynamic_full,0.75,13,13,1.0,0.8461538461538461,1.7019139058964514,1.2436495137246872,0.8461538461538461,0.8461538461538461,0.15384615384615385,1.7019139058964514
cooldown_first_signal,logit_dynamic_compact,logit,dynamic_compact,0.65,23,23,1.0,0.6521739130434783,0.5605121953098176,0.2584206781763853,0.6521739130434783,0.7391304347826086,0.2608695652173913,0.5605121953098176
episode_first_signal,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.75,9,101,11.222222222222221,0.8888888888888888,2.793947652384906,2.7474902888335877,0.8888888888888888,0.7777777777777778,0.2222222222222222,2.793947652384906
episode_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,13,134,10.307692307692308,0.8461538461538461,2.5367301128967985,2.568628005314988,0.8461538461538461,0.6923076923076923,0.3076923076923077,2.5367301128967985
episode_first_signal,xgboost_dynamic_full,xgboost,dynamic_full,0.75,10,119,11.9,0.9,2.1022547042623962,1.502188532592763,0.9,0.8,0.2,2.1022547042623962
episode_first_signal,xgboost_dynamic_compact,xgboost,dynamic_compact,0.75,10,100,10.0,0.8,1.848842582597987,1.6240437284542608,0.8,0.8,0.2,1.848842582597987
episode_first_signal,lightgbm_dynamic_full,lightgbm,dynamic_full,0.75,9,120,13.333333333333334,0.7777777777777778,1.585589363569426,1.1629155909020916,0.7777777777777778,0.7777777777777778,0.2222222222222222,1.585589363569426
episode_first_signal,hist_gradient_boosting_static_full,hist_gradient_boosting,static_full,0.9,10,103,10.3,0.8,1.549999016454029,1.1145343461704815,0.8,0.6,0.4,1.549999016454029
episode_first_signal,logit_dynamic_compact,logit,dynamic_compact,0.65,22,148,6.7272727272727275,0.7272727272727273,1.4380615617206405,1.9144641916757354,0.7272727272727273,0.5,0.5,1.4380615617206405
