model,threshold,signal_group,n_signals,coverage,precision,break_even_round_trip_cost_bps,interpretation
logit_full,0.5,up,619,0.5158333333333334,0.691437802907916,0.4160920168415769,Average net signal is positive only if total round-trip costs are below this value.
logit_full,0.5,down,581,0.4841666666666667,0.5903614457831325,0.0727487502433586,Average net signal is positive only if total round-trip costs are below this value.
logit_full,0.5,both,1200,1.0,0.6425,0.2498566519302729,Average net signal is positive only if total round-trip costs are below this value.
logit_full,0.55,up,564,0.47,0.7127659574468085,0.4288120046704459,Average net signal is positive only if total round-trip costs are below this value.
logit_full,0.55,down,540,0.45,0.6,0.1155948051386519,Average net signal is positive only if total round-trip costs are below this value.
logit_full,0.55,both,1104,0.92,0.657608695652174,0.2756079396820684,Average net signal is positive only if total round-trip costs are below this value.
logit_full,0.6,up,511,0.4258333333333333,0.7181996086105675,0.422536090572402,Average net signal is positive only if total round-trip costs are below this value.
logit_full,0.6,down,480,0.4,0.6083333333333333,0.1403141919182916,Average net signal is positive only if total round-trip costs are below this value.
logit_full,0.6,both,991,0.8258333333333333,0.6649848637739657,0.2858393081768692,Average net signal is positive only if total round-trip costs are below this value.
logit_full,0.65,up,456,0.38,0.7302631578947368,0.4271601148057638,Average net signal is positive only if total round-trip costs are below this value.
logit_full,0.65,down,414,0.345,0.6400966183574879,0.2098761499960755,Average net signal is positive only if total round-trip costs are below this value.
logit_full,0.65,both,870,0.725,0.6873563218390805,0.3237629177583949,Average net signal is positive only if total round-trip costs are below this value.
logit_full,0.7,up,369,0.3075,0.7425474254742548,0.4659089025211675,Average net signal is positive only if total round-trip costs are below this value.
logit_full,0.7,down,355,0.2958333333333333,0.6647887323943662,0.2770774097137891,Average net signal is positive only if total round-trip costs are below this value.
logit_full,0.7,both,724,0.6033333333333334,0.7044198895027625,0.3733188749705883,Average net signal is positive only if total round-trip costs are below this value.
logit_full,0.75,up,279,0.2325,0.7741935483870968,0.6261244934440072,Average net signal is positive only if total round-trip costs are below this value.
logit_full,0.75,down,254,0.2116666666666666,0.7440944881889764,0.5272935694447555,Average net signal is positive only if total round-trip costs are below this value.
logit_full,0.75,both,533,0.4441666666666666,0.7598499061913696,0.5790268298496172,Average net signal is positive only if total round-trip costs are below this value.
logit_signal,0.5,up,613,0.5104079933388843,0.6851549755301795,0.3864341686681257,Average net signal is positive only if total round-trip costs are below this value.
logit_signal,0.5,down,588,0.4895920066611157,0.5816326530612245,0.0391111674983037,Average net signal is positive only if total round-trip costs are below this value.
logit_signal,0.5,both,1201,1.0,0.6344712739383847,0.2163876035658315,Average net signal is positive only if total round-trip costs are below this value.
logit_signal,0.55,up,568,0.4729392173189009,0.7059859154929577,0.4073122394197239,Average net signal is positive only if total round-trip costs are below this value.
logit_signal,0.55,down,534,0.4446294754371357,0.601123595505618,0.1250318190404276,Average net signal is positive only if total round-trip costs are below this value.
logit_signal,0.55,both,1102,0.9175686927560366,0.6551724137931034,0.2705266273665985,Average net signal is positive only if total round-trip costs are below this value.
logit_signal,0.6,up,512,0.4263114071606994,0.71484375,0.4213340493956123,Average net signal is positive only if total round-trip costs are below this value.
logit_signal,0.6,down,475,0.395503746877602,0.6105263157894737,0.1418998792257743,Average net signal is positive only if total round-trip costs are below this value.
logit_signal,0.6,both,987,0.8218151540383014,0.6646403242147924,0.2868545855347481,Average net signal is positive only if total round-trip costs are below this value.
logit_signal,0.65,up,443,0.3688592839300583,0.7291196388261851,0.4291917366923292,Average net signal is positive only if total round-trip costs are below this value.
logit_signal,0.65,down,403,0.3355537052456286,0.6352357320099256,0.2204880728941195,Average net signal is positive only if total round-trip costs are below this value.
logit_signal,0.65,both,846,0.704412989175687,0.6843971631205674,0.3297737975544113,Average net signal is positive only if total round-trip costs are below this value.
logit_signal,0.7,up,364,0.3030807660283097,0.75,0.4554602239989918,Average net signal is positive only if total round-trip costs are below this value.
logit_signal,0.7,down,339,0.2822647793505412,0.696165191740413,0.3945026273053861,Average net signal is positive only if total round-trip costs are below this value.
logit_signal,0.7,both,703,0.585345545378851,0.7240398293029872,0.4260653089504395,Average net signal is positive only if total round-trip costs are below this value.
logit_signal,0.75,up,262,0.2181515403830141,0.7595419847328244,0.5566836101719093,Average net signal is positive only if total round-trip costs are below this value.
logit_signal,0.75,down,243,0.20233139050791,0.7613168724279835,0.6466706186189988,Average net signal is positive only if total round-trip costs are below this value.
logit_signal,0.75,both,505,0.4204829308909242,0.7603960396039604,0.5999842894840731,Average net signal is positive only if total round-trip costs are below this value.
