run_dir,run_name,has_snapshot,has_depth,has_trades,has_meta,depth_events,trade_events,symbol,collection_seconds,snapshot_lastUpdateId,collected_at_utc
data\raw\BTCUSDT\20260501_152401,20260501_152401,True,True,True,True,573,0,BTCUSDT,60,10448149886479,2026-05-01T10:24:02Z
data\raw\BTCUSDT\20260501_153914,20260501_153914,True,True,True,True,575,0,BTCUSDT,60,10448214578315,2026-05-01T10:39:17Z
data\raw\BTCUSDT\20260610_200438,20260610_200438,True,True,True,True,578,0,BTCUSDT,60,10773277413280,2026-06-10T15:04:39Z
data\raw\BTCUSDT\20260610_200614,20260610_200614,True,True,True,True,578,0,BTCUSDT,60,10773293469057,2026-06-10T15:06:16Z
data\raw\BTCUSDT\20260610_200753,20260610_200753,True,True,True,True,579,0,BTCUSDT,60,10773308123808,2026-06-10T15:07:55Z
data\raw\BTCUSDT\20260610_200933,20260610_200933,True,True,True,True,578,0,BTCUSDT,60,10773323942143,2026-06-10T15:09:35Z
data\raw\BTCUSDT\20260610_201111,20260610_201111,True,True,True,True,578,0,BTCUSDT,60,10773338541727,2026-06-10T15:11:13Z
data\raw\BTCUSDT\20260610_201249,20260610_201249,True,True,True,True,579,0,BTCUSDT,60,10773353772158,2026-06-10T15:12:52Z
data\raw\BTCUSDT\20260610_201428,20260610_201428,True,True,True,True,578,0,BTCUSDT,60,10773368945749,2026-06-10T15:14:30Z
data\raw\BTCUSDT\20260610_201605,20260610_201605,True,True,True,True,579,0,BTCUSDT,60,10773382889178,2026-06-10T15:16:07Z
data\raw\BTCUSDT\20260701_191230,20260701_191230,True,True,True,True,2927,0,BTCUSDT,300,10940560024817,2026-07-01T14:12:33Z
data\raw\BTCUSDT\20260701_191745,20260701_191745,True,True,True,True,2927,0,BTCUSDT,300,10940615848933,2026-07-01T14:17:48Z
data\raw\BTCUSDT\20260701_192258,20260701_192258,True,True,True,True,2927,0,BTCUSDT,300,10940665697868,2026-07-01T14:23:00Z
data\raw\BTCUSDT\20260701_192811,20260701_192811,True,True,True,True,2927,0,BTCUSDT,300,10940711492218,2026-07-01T14:28:14Z
data\raw\BTCUSDT\20260701_193325,20260701_193325,True,True,True,True,2928,0,BTCUSDT,300,10940759242710,2026-07-01T14:33:28Z
data\raw\BTCUSDT\20260701_193836,20260701_193836,True,True,True,True,2927,0,BTCUSDT,300,10940809365083,2026-07-01T14:38:39Z
data\raw\BTCUSDT\20260701_194351,20260701_194351,True,True,True,True,2927,0,BTCUSDT,300,10940852776316,2026-07-01T14:43:54Z
data\raw\BTCUSDT\20260701_194906,20260701_194906,True,True,True,True,2927,0,BTCUSDT,300,10940901367319,2026-07-01T14:49:08Z
data\raw\BTCUSDT\20260701_195416,20260701_195416,True,True,True,True,2928,0,BTCUSDT,300,10940944570418,2026-07-01T14:54:19Z
data\raw\BTCUSDT\20260701_195929,20260701_195929,True,True,True,True,2927,0,BTCUSDT,300,10940984478821,2026-07-01T14:59:31Z
data\raw\BTCUSDT\20260701_200443,20260701_200443,True,True,True,True,2928,0,BTCUSDT,300,10941031278045,2026-07-01T15:04:45Z
data\raw\BTCUSDT\20260701_200954,20260701_200954,True,True,True,True,2927,0,BTCUSDT,300,10941081752525,2026-07-01T15:09:57Z
data\raw\BTCUSDT\20260703_193714,20260703_193714,True,True,True,True,1161,1309,BTCUSDT,120,10959114986274,
