,count,mean,std,min,25%,50%,75%,max
event_gap_ms,554.0,102.25992779783394,0.6731352208277551,102.0,102.0,102.0,102.0,104.0
transaction_lag_ms,555.0,1.8702702702702703,0.9897119329459612,1.0,1.0,2.0,2.0,4.0
spread,555.0,0.10036036036036035,0.008489527199560176,0.1,0.1,0.1,0.1,0.3
spread_bps,555.0,0.012994767318460412,0.0010990682934602608,0.012945042469448,0.0129467519512373,0.0129482103954707,0.0129500045648766,0.0388404067108454
mid_return_bps,554.0,-0.005631965443988417,0.06915744891483468,-0.750849398382103,0.0,0.0,0.0,0.4921384126332917
microprice_deviation_bps,555.0,-0.0035829220986279314,0.00321763419646865,-0.01928854095834175,-0.0057671776304924465,-0.004726895422054378,-0.0031147183099776033,0.006471560292051121
imbalance_1,555.0,-0.549875716852559,0.486550080928973,-0.9997957029520924,-0.8910249070711405,-0.7302056053936591,-0.4811582584294788,0.99944382647386
imbalance_5,555.0,-0.5135823813221059,0.4863140666078974,-0.999462257175506,-0.8846063296495998,-0.6476175884786273,-0.40490739690260585,0.999678391959799
imbalance_10,555.0,-0.5188034990146007,0.4823193309428257,-0.9955591441259588,-0.8792742161051676,-0.6594781682641108,-0.43426395209262303,0.9969282268386336
bid_depth_5,555.0,5.6314828828828825,7.382186029317968,0.008,1.1520000000000001,3.459,6.8895,49.742
ask_depth_5,555.0,15.77729009009009,6.071515934906686,0.008,14.604,16.286,18.208,57.426
bid_depth_10,555.0,5.81117117117117,7.639263038900202,0.066,1.2925,3.526,7.0705,51.902
ask_depth_10,555.0,16.775818018018022,6.552856451671214,0.078,15.128,17.432,19.444,57.72
