feature,target,pearson_corr,n
imbalance_5,future_mid_return_bps_h1,0.2531292735798523,486876
microprice_deviation_bps,future_mid_return_bps_h1,0.17744426570815047,486876
signed_trade_volume,future_mid_return_bps_h1,0.11888975157394843,486876
notional_imbalance,future_mid_return_bps_h1,0.11584559892962011,486876
trade_imbalance,future_mid_return_bps_h1,0.11584559339987936,486876
trade_imbalance_rolling_5e,future_mid_return_bps_h1,0.09589850984204312,486876
trade_imbalance_rolling_10e,future_mid_return_bps_h1,0.08219910613049386,486876
trade_imbalance_rolling_20e,future_mid_return_bps_h1,0.06288626934226453,486876
trade_imbalance_rolling_50e,future_mid_return_bps_h1,0.04115272319300706,486876
signed_trade_volume_rolling_sum_20e,future_mid_return_bps_h1,0.034002489392558476,486876
trade_count,future_mid_return_bps_h1,0.02147078629431214,486876
trade_volume,future_mid_return_bps_h1,0.01837774765029641,486876
trade_intensity_rolling_mean_20e,future_mid_return_bps_h1,0.001208119694125868,486876
imbalance_5,future_mid_return_bps_h10,0.24679607249551522,485364
microprice_deviation_bps,future_mid_return_bps_h10,0.14760150249430057,485364
trade_imbalance_rolling_5e,future_mid_return_bps_h10,0.0762349520115089,485364
trade_imbalance_rolling_10e,future_mid_return_bps_h10,0.07170189424076512,485364
notional_imbalance,future_mid_return_bps_h10,0.07101120841570523,485364
trade_imbalance,future_mid_return_bps_h10,0.07101120378786362,485364
trade_imbalance_rolling_20e,future_mid_return_bps_h10,0.05608704103348314,485364
signed_trade_volume,future_mid_return_bps_h10,0.04873380380613814,485364
trade_imbalance_rolling_50e,future_mid_return_bps_h10,0.0398317248077889,485364
signed_trade_volume_rolling_sum_20e,future_mid_return_bps_h10,0.01546529180454327,485364
trade_count,future_mid_return_bps_h10,0.0075525027945164205,485364
trade_volume,future_mid_return_bps_h10,0.006260319016062355,485364
trade_intensity_rolling_mean_20e,future_mid_return_bps_h10,-0.010233946943909411,485364
imbalance_5,future_mid_return_bps_h20,0.20630952945119005,483684
microprice_deviation_bps,future_mid_return_bps_h20,0.11621288959053054,483684
trade_imbalance_rolling_5e,future_mid_return_bps_h20,0.05933596381323242,483684
trade_imbalance_rolling_10e,future_mid_return_bps_h20,0.05792793094673087,483684
notional_imbalance,future_mid_return_bps_h20,0.05337181343489886,483684
trade_imbalance,future_mid_return_bps_h20,0.053371808025602444,483684
trade_imbalance_rolling_20e,future_mid_return_bps_h20,0.04878356987428897,483684
trade_imbalance_rolling_50e,future_mid_return_bps_h20,0.03694631507352352,483684
signed_trade_volume,future_mid_return_bps_h20,0.03040065738611138,483684
signed_trade_volume_rolling_sum_20e,future_mid_return_bps_h20,0.005027802221503569,483684
trade_count,future_mid_return_bps_h20,0.0011748566800873026,483684
trade_volume,future_mid_return_bps_h20,2.3349318654825857e-05,483684
trade_intensity_rolling_mean_20e,future_mid_return_bps_h20,-0.009124106034347336,483684
imbalance_5,future_mid_return_bps_h5,0.26845436503093356,486204
microprice_deviation_bps,future_mid_return_bps_h5,0.1610678706171913,486204
notional_imbalance,future_mid_return_bps_h5,0.08718700745598548,486204
trade_imbalance,future_mid_return_bps_h5,0.08718700142379801,486204
trade_imbalance_rolling_5e,future_mid_return_bps_h5,0.08639949097909108,486204
trade_imbalance_rolling_10e,future_mid_return_bps_h5,0.07910090775389565,486204
signed_trade_volume,future_mid_return_bps_h5,0.06249989247567788,486204
trade_imbalance_rolling_20e,future_mid_return_bps_h5,0.06005605116556716,486204
trade_imbalance_rolling_50e,future_mid_return_bps_h5,0.04105682882903372,486204
signed_trade_volume_rolling_sum_20e,future_mid_return_bps_h5,0.023004382422940863,486204
trade_count,future_mid_return_bps_h5,0.014714761242381972,486204
trade_volume,future_mid_return_bps_h5,0.013317732978905202,486204
trade_intensity_rolling_mean_20e,future_mid_return_bps_h5,-0.005640530694160963,486204
imbalance_5,future_mid_return_bps_h50,0.15416459471765032,478644
microprice_deviation_bps,future_mid_return_bps_h50,0.08649455614382802,478644
trade_imbalance_rolling_10e,future_mid_return_bps_h50,0.04650060537335357,478644
trade_imbalance_rolling_5e,future_mid_return_bps_h50,0.04388194665088859,478644
trade_imbalance_rolling_20e,future_mid_return_bps_h50,0.043398416762261235,478644
notional_imbalance,future_mid_return_bps_h50,0.03558333255981708,478644
trade_imbalance,future_mid_return_bps_h50,0.03558332537698273,478644
trade_imbalance_rolling_50e,future_mid_return_bps_h50,0.02758362128484323,478644
signed_trade_volume,future_mid_return_bps_h50,0.018378135149105808,478644
signed_trade_volume_rolling_sum_20e,future_mid_return_bps_h50,0.0053222357817447824,478644
trade_volume,future_mid_return_bps_h50,-0.00037245843140318975,478644
trade_count,future_mid_return_bps_h50,-0.00086167511715076,478644
trade_intensity_rolling_mean_20e,future_mid_return_bps_h50,-0.009685904352084884,478644
