evaluation_method,feature_set,horizon,cost_scenario,round_trip_cost_bps,n_signals_or_trades,gross_mean_signed_return_bps,net_mean_signed_return_bps,net_median_signed_return_bps,net_positive_share
cooldown_first_signal,book_only,10,no_cost,0.0,135,0.45454977937893953,0.45454977937893953,0.4484660459158629,0.9777777777777777
cooldown_first_signal,book_only,10,very_low_cost,1.0,135,0.45454977937893953,-0.5454502206210604,-0.5515339540841371,0.05185185185185185
cooldown_first_signal,book_only,10,low_cost,2.0,135,0.45454977937893953,-1.5454502206210607,-1.551533954084137,0.007407407407407408
cooldown_first_signal,book_only,10,medium_cost,3.0,135,0.45454977937893953,-2.5454502206210607,-2.551533954084137,0.0
cooldown_first_signal,book_only,10,high_cost,4.0,135,0.45454977937893953,-3.5454502206210607,-3.551533954084137,0.0
cooldown_first_signal,book_only,10,expensive_taker_like,5.0,135,0.45454977937893953,-4.545450220621059,-4.551533954084137,0.0
cooldown_first_signal,book_only,10,very_expensive_round_trip,9.0,135,0.45454977937893953,-8.54545022062106,-8.551533954084137,0.0
cooldown_first_signal,book_only,20,no_cost,0.0,117,0.49368702333848974,0.49368702333848974,0.4805555221831792,0.9658119658119658
cooldown_first_signal,book_only,20,very_low_cost,1.0,117,0.49368702333848974,-0.5063129766615103,-0.5194444778168208,0.09401709401709402
cooldown_first_signal,book_only,20,low_cost,2.0,117,0.49368702333848974,-1.5063129766615102,-1.5194444778168208,0.008547008547008548
cooldown_first_signal,book_only,20,medium_cost,3.0,117,0.49368702333848974,-2.50631297666151,-2.519444477816821,0.0
cooldown_first_signal,book_only,20,high_cost,4.0,117,0.49368702333848974,-3.50631297666151,-3.519444477816821,0.0
cooldown_first_signal,book_only,20,expensive_taker_like,5.0,117,0.49368702333848974,-4.50631297666151,-4.519444477816821,0.0
cooldown_first_signal,book_only,20,very_expensive_round_trip,9.0,117,0.49368702333848974,-8.50631297666151,-8.51944447781682,0.0
cooldown_first_signal,book_only,50,no_cost,0.0,45,0.5780301645882268,0.5780301645882268,0.56035190099335,0.9111111111111111
cooldown_first_signal,book_only,50,very_low_cost,1.0,45,0.5780301645882268,-0.42196983541177324,-0.43964809900665003,0.2222222222222222
cooldown_first_signal,book_only,50,low_cost,2.0,45,0.5780301645882268,-1.4219698354117731,-1.43964809900665,0.022222222222222223
