feature,count,mean,std,min,25%,50%,75%,max
trade_count,487044.0,2.6659439393566084,10.610727381014868,0.0,0.0,0.0,1.0,962.0
buy_trade_count,487044.0,1.3423202010495972,7.4675780775146,0.0,0.0,0.0,1.0,947.0
sell_trade_count,487044.0,1.3236237383070113,7.0973922549998285,0.0,0.0,0.0,1.0,909.0
trade_volume,487044.0,0.24669371350432404,2.2110423103191748,0.0,0.0,0.0,0.039,278.98799999999994
buy_trade_volume,487044.0,0.12480663554011548,1.568376123595848,0.0,0.0,0.0,0.002,277.625
sell_trade_volume,487044.0,0.12188707796420856,1.4400188132424274,0.0,0.0,0.0,0.003,240.811
signed_trade_volume,487044.0,0.0029195575759068987,2.0440664365655485,-227.644,0.0,0.0,0.0,277.01
trade_notional,487044.0,15532.145456117312,139285.85854804915,0.0,0.0,0.0,2425.2082250000003,17821512.301200002
buy_trade_notional,487044.0,7860.273059956596,98979.18127474507,0.0,0.0,0.0,124.93180000000001,17782123.2271
sell_trade_notional,487044.0,7671.872396160717,90507.45717442334,0.0,0.0,0.0,184.97685,14828779.539900001
signed_trade_notional,487044.0,188.40066379587887,128749.39172101235,-14408999.8055,0.0,0.0,0.0,17742734.152999997
trade_imbalance,487044.0,-0.01729083820119214,0.6539136327629036,-0.9999999999999957,0.0,0.0,0.0,0.9999999999999941
notional_imbalance,487044.0,-0.017290896119355786,0.6539136294972167,-1.0,0.0,0.0,0.0,1.0
trade_intensity_per_second,487044.0,25.998446728367185,103.42982778966133,0.0,0.0,0.0,9.803921568627452,9431.372549019608
