model,feature_set,horizon,split,n,accuracy,balanced_accuracy,precision_up,recall_up,roc_auc,up_share_true,up_share_predicted
logit_book_only_h10,book_only,10,validation,1593,0.8731952291274325,0.8685274356103023,0.875,0.83,0.9428235482322829,0.4394224733207784,0.41682360326428125
logit_book_only_h10,book_only,10,test,1695,0.8513274336283185,0.850752550379416,0.8561872909698997,0.8619528619528619,0.9404143703480353,0.5256637168141592,0.5292035398230088
logit_trade_flow_only_h10,trade_flow_only,10,validation,1594,0.6957340025094103,0.6910818152764462,0.65379113018598,0.6528571428571428,0.7496644295302013,0.43914680050188204,0.4385194479297365
logit_trade_flow_only_h10,trade_flow_only,10,test,1695,0.6530973451327433,0.6485376149555253,0.6498516320474778,0.7373737373737373,0.7002641115410602,0.5256637168141592,0.5964601769911504
logit_combined_h10,combined,10,validation,1593,0.8725674827369743,0.8679675251959686,0.8736842105263158,0.83,0.9415597504399296,0.4394224733207784,0.4174513496547395
logit_combined_h10,combined,10,test,1695,0.8584070796460177,0.8579723436688611,0.864501679731243,0.8664421997755332,0.9379896253859769,0.5256637168141592,0.5268436578171092
logit_book_only_h20,book_only,20,validation,2773,0.8406058420483231,0.8355501149089926,0.8324697754749568,0.7953795379537953,0.9037327980075394,0.43707176343310494,0.41759826902271907
logit_book_only_h20,book_only,20,test,3022,0.8196558570483123,0.8182365517086752,0.822560975609756,0.8415470991890206,0.9109329450550127,0.5304434149569821,0.542686962276638
logit_trade_flow_only_h20,trade_flow_only,20,validation,2774,0.6687094448449892,0.661824985315433,0.6242578456318915,0.6072607260726073,0.7081072543874105,0.43691420331651043,0.42501802451333814
logit_trade_flow_only_h20,trade_flow_only,20,test,3022,0.6184645929847783,0.612696991238679,0.6237623762376238,0.7074235807860262,0.6635884003610215,0.5304434149569821,0.6015883520847121
logit_combined_h20,combined,20,validation,2773,0.8380815001803101,0.8321089235765344,0.8349429323968394,0.7846534653465347,0.8996597129283714,0.43707176343310494,0.4107464839523981
logit_combined_h20,combined,20,test,3022,0.813368630046327,0.812714620270221,0.8244846970643348,0.8234560199625702,0.907881056352672,0.5304434149569821,0.5297816015883521
logit_book_only_h50,book_only,50,validation,5518,0.7799927509967379,0.774840465625774,0.7561912894961571,0.7336371168185584,0.8346906789432775,0.4374773468648061,0.42442914099311346
logit_book_only_h50,book_only,50,test,5806,0.7683430933517051,0.7642860245686829,0.7667367157009907,0.8180653427290199,0.8469628309645217,0.5377196004133655,0.5737168446434723
logit_trade_flow_only_h50,trade_flow_only,50,validation,5519,0.6354412031165066,0.6261782783467882,0.5887809187279152,0.552195526097763,0.655720988810575,0.4373980793622033,0.410219242616416
logit_trade_flow_only_h50,trade_flow_only,50,test,5808,0.600034435261708,0.5930587084113721,0.6148765077541642,0.6855587576048671,0.624448391849741,0.5377066115702479,0.5995179063360881
logit_combined_h50,combined,50,validation,5518,0.7783617252627764,0.7714569329256313,0.7626819585355095,0.7162386081193041,0.8332662934855952,0.4374773468648061,0.41083725987676695
logit_combined_h50,combined,50,test,5806,0.7635204960385807,0.76021988560583,0.7673494344237236,0.8039718129404229,0.8461675518482841,0.5377196004133655,0.5633827075439201
